,LQ_Company_Name,LQ_Company_Address,LQ_Service,LQ_Customer_Name,Calls Count,Connection Made Calls,TO_Event_O,timezone,season_status,TO_User_M,lgs_sentiment_style,lgs_agent_gender,TO_length_in_sec,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,customer_sentiment_lgs,customer_sentiment_omc,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,TO_OMC_User,TO_OMC_Disposiion,omc_agent_sentiment_style,omc_who_said_hello_first,customer_talk_percentage,total_discovery_questions,total_buying_signals,time_to_reason_seconds,location_mentioned,business_type_mentioned,within_45_seconds,call_structure_framed,total_objections,objections_acknowledged,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,objections_rebutted,total_interruptions,commitment_type,call_result_tag
LQ_Company_Name,1.0,0.06678341272065004,0.06180235430292288,0.09648373120619703,0.09708912214445256,0.07788117936186328,-0.14709477223427758,-0.0018744354920205227,-0.13674184562435543,-0.1852176619669103,-0.0948434195196548,0.04727970729006915,-0.07032519583845125,-0.035335298180599425,-0.0012364804699084098,-0.029677344257396022,-0.16022857717994105,-0.08977612863170259,-0.06538278103860512,-0.06951606491610905,-0.10032365990984189,-0.1548709218163382,-0.06329272304005082,0.03810372148540711,0.18228445604761695,-0.021838541846030613,-0.20450309644906642,1.4393596641950385e-05,-0.021544750587186346,0.10107996327100853,0.07661907952139171,-0.039687075603224244,0.06991842639589753,0.08505424854716864,0.054678986139652865,0.041271779428391504,0.06822874684999207,0.010011645349513905,-0.10950780826804701,-0.10382381682600304,0.02639538403881081,-0.34464793499542346,-0.1279347489025173,-0.2773856354273689,0.05234904780358425,-0.06573806760309765,0.04973238733396656
LQ_Company_Address,0.06678341272065004,1.0,0.14922426230633154,0.07249249968551645,0.09819204695469111,-0.002357484348250997,-0.019045020015100677,0.016106260524028193,0.025043300317192273,-0.021010815560131547,-0.013381217403130545,0.22167529023001786,0.231975812778673,-0.10327272601832531,-0.05418379540666544,0.023669491639435367,0.09895604301723984,0.09981348597831062,-0.09957067759994231,0.012426994048980332,-0.026268405997093597,0.005456935476267551,0.05336321789977087,0.23004587096561407,0.15084078779657223,-0.12137189602890092,0.14724929955902183,-0.06307993728334756,-0.07687558732246037,0.11704732432031675,-0.0024251898560322736,0.008066717699433583,0.049218959781993914,-0.04265706923998309,0.013862278176250022,-0.030322123661675388,-0.017832513381247927,0.05390885957430564,-0.06405536841366935,-0.1436914247673805,-0.04413096443165074,-0.05376662510029614,-0.0903068815782475,-0.03833777728738565,-0.006491354659909544,0.17648238195061003,-0.042947092788328964
LQ_Service,0.06180235430292288,0.14922426230633154,1.0,0.06447663947109061,0.14873253257976218,0.1261572119433093,0.12571474020418946,-0.15384522894127164,-0.004306175641712553,-0.15070770006902562,-0.06859605829779813,-0.23887039960707632,0.03734783354292437,-0.11763761587748295,-0.25946052698295297,0.020543593105067332,-0.10972719951337907,0.04813340765378496,0.10007363470292295,-0.12439425375995418,-0.1374487878937551,-0.05127316760989046,-0.09858954697157837,-0.025537584048818278,0.14384237985905682,-0.13965489032528702,-0.14691279837241028,0.17219787581892437,-0.1254779908746722,-0.06837270786048985,-0.014419789143002057,-0.04387101317204192,0.05561379536779644,-0.040893300848910207,0.12253211978579563,0.0733275347466507,0.22809867941063686,0.013486239599065556,0.045290277532452176,-0.024781427305836188,0.08880665834647682,0.04600259639764459,-0.12048980465928641,0.07709498157463594,0.16730070270693098,-0.05753346347235323,0.09121905848607258
LQ_Customer_Name,0.09648373120619703,0.07249249968551645,0.06447663947109061,1.0,0.14687665610228762,0.09811590694215185,0.06369534711253584,-0.14283241101034289,-0.07764865396000308,-0.017205999109581874,0.019895996960880166,0.020113674884377757,0.026145298694424557,-0.11921605681181209,-0.07128194016059505,-0.01880904576915585,-0.05693507542460962,0.0439683811819404,0.017034181244352506,0.024170997673056784,-0.0005528037111401572,-0.21955152191642485,-0.0916392269511881,-0.07933395603010124,-0.013615142137267288,0.08108571315573367,0.11997141337046849,0.10053342692961671,0.034107304242071396,-0.044861881231942145,0.07408580329743603,0.06311211102430145,-0.003795305807866741,0.02084098606960703,0.010020387873679747,0.055217595335745266,-0.02871213732637812,0.16379480178130357,-0.04646272811195094,-0.0960693618538521,0.13723329015446678,-0.06290568882769378,-0.12428039353597413,0.11316713078865087,-0.01458645391518899,0.031469799241907286,0.03762595529846033
Calls Count,0.09708912214445256,0.09819204695469111,0.14873253257976218,0.14687665610228762,1.0,0.5771715632542269,0.14248770654807946,0.036698740626748154,0.11434107746199003,-0.1398979420541068,0.1193322660792748,0.03331407093180918,-0.2743733794933703,-0.1006735522547388,-0.016686574849443744,0.14839778007009424,-0.015057042978797255,0.016574857951899103,-0.019946186851405943,0.0924828043916519,0.10121720729496538,-0.06317785630266784,-0.04592430644941553,0.03513729095650674,0.026773370873413832,0.02216170447342884,0.037552979364117445,0.04912947673739785,-0.1460427213241683,-0.010330302763599954,-0.19766748750022545,-0.09983173549235001,-0.057787600917029475,0.10557560337383616,0.007415128398285805,0.22755330231314605,0.2656732000214442,-0.019628281054285955,-0.12226827495248604,0.09767925083186954,-0.008610061731608656,-0.11147926893089143,-0.08098430328723916,-0.09708420813804468,-0.1430052337546853,0.04954471432756784,-0.0981714175189704
Connection Made Calls,0.07788117936186328,-0.002357484348250997,0.1261572119433093,0.09811590694215185,0.5771715632542269,1.0,0.14403068920542123,-0.04841010667224989,0.17336222548773408,-0.0474581385463784,0.06346624000962715,-0.09557415815997387,-0.17263821683607516,-0.15698672390039703,-0.14519937430669783,0.05171291725626285,0.07503432403986025,0.026031682974397705,0.05608175130731801,0.0606418976442706,0.16585367387114597,0.032812239892250135,-0.1394895408802698,0.13088461963153655,0.030748093013021692,-0.013512870805831424,-0.16337672837322637,-0.010369678185332342,-0.0754726744348398,-0.20900748874953748,-0.0851258749004035,-0.03971577271633164,0.12075511829854156,0.20185084720587335,0.11513106559736494,0.24234453529859498,0.29763429128415275,0.1000888158208248,-0.006745699236908543,0.11340376677384528,-0.002660939320147595,-0.03091663434970436,-0.048054699824740754,0.019419284482407206,-0.07122904749366947,-0.1172127929654249,0.06081632140408294
TO_Event_O,-0.14709477223427758,-0.019045020015100677,0.12571474020418946,0.06369534711253584,0.14248770654807946,0.14403068920542123,1.0,-0.13493783905581838,0.049373757716409665,0.07398934267834578,-0.27277800898637333,-0.036375567449198495,-0.027857980386678763,-0.04893410902028798,0.09730557601888898,-0.07394539654911034,-0.03735691426338034,0.0911899358208521,0.043620096953364496,0.09736875406220186,0.09111715638668066,0.06435176774376816,0.24479779690349326,-0.08519999986702145,0.23531447934706676,-0.2374863088304188,0.17658033030805514,-0.0004604032440784185,-0.039761942699398097,0.05029830038666572,0.10246739840970522,0.03199273035713271,-0.054266023322437684,-0.02963266463906554,0.040029901074591874,-0.007998338641355938,0.058125279550189,0.006543349214115979,-0.013260072654157257,0.03155511119731791,0.005367597915457791,0.019074690765638835,0.12412024168804621,0.07586229008580551,-0.029071700427103195,0.10182469509315181,-0.11279006951600681
timezone,-0.0018744354920205227,0.016106260524028193,-0.15384522894127164,-0.14283241101034289,0.036698740626748154,-0.04841010667224989,-0.13493783905581838,1.0,0.12278739191799887,0.04192482184491936,0.0872019886951355,-0.11966288971549724,0.04976380350300673,-0.09010900160637883,0.060415876376757646,0.19900558161243928,0.14481317079157996,0.10598788357678529,-0.09453982973882281,0.016055997515676337,0.18881666102657646,0.06689233468529468,-0.13597021679767796,0.2446504020204909,0.09054985848080614,0.12517882723598842,0.004811558387716205,0.048098023980695175,0.14435047937570572,-0.0729481666385544,-0.13654459763314217,-0.07475043994826816,-0.04782096836821362,0.12609930886169549,-0.18572782975888094,0.09368051125807397,0.016222175224416817,-0.14162807109467176,-0.09816127354338201,-0.047293252530181955,-0.05830037695648337,0.06653364940435075,-0.010359060687073703,-0.10471462422921307,-0.06197743785475448,-0.07828879570897257,-0.08815980642434387
season_status,-0.13674184562435543,0.025043300317192273,-0.004306175641712553,-0.07764865396000308,0.11434107746199003,0.17336222548773408,0.049373757716409665,0.12278739191799887,1.0,0.19632351160920564,0.14956442717365254,-0.08172944748567933,-0.1891316771822129,-0.02070520521547396,0.1176988816055062,0.0778675395711701,0.09792668375049347,0.15509824519399915,-0.009468483677446158,0.26084986327188353,0.31524313409250093,0.24087475826077212,0.17687217306799322,0.1806600196975621,-0.0253429671383719,-0.06693521821071063,0.0011283508372987138,-0.09885379763518712,0.007831721199527398,-0.07649857697093483,-0.2029905006686967,-0.029744167690214894,0.08609955724557619,0.05202093719248127,0.12445066010637819,0.057368965630577376,0.1377165369131038,0.0992519727294669,0.009550270788159223,0.04577251753387955,-0.24809890960800934,0.07139145389617962,-0.017588442286694067,-0.12717298580625525,-0.0963945893642105,-0.17394109843281166,-0.15431683183738942
TO_User_M,-0.1852176619669103,-0.021010815560131547,-0.15070770006902562,-0.017205999109581874,-0.1398979420541068,-0.0474581385463784,0.07398934267834578,0.04192482184491936,0.19632351160920564,1.0,0.09778142865738905,0.14987723051436702,-0.22669484758852124,0.11787902112009033,0.06121306517166265,0.1050379417565058,0.12843502197219103,-0.13319336673213336,0.16101734084692035,0.1805142656726419,0.17868825940103084,0.07697724768045029,-0.027047082219584226,-0.08590078790155888,-0.2927657950865767,0.04865125898308525,0.08488421684925056,0.08832223635722952,-0.10909597197410957,-0.15209385636899275,0.2822380256316511,0.2135937237000364,0.010780035170592808,0.24226855773934328,0.3390680322772257,0.22605754460135022,0.17496520855865758,0.2477209368235439,0.16909618007732632,0.09270954820186557,-0.015331593961979051,0.05745699335501528,0.11347011359470728,0.1558117439443347,0.006196086195853536,-0.049708670973366544,-0.0015076240169509577
