Variable,Correlation,Abs_Correlation,P_Value,Significant,Direction,Strength
LQ_Company_Address,0.8397785678585521,0.8397785678585521,0.0,Yes,Positive,Strong
TO_Event_O,0.8349092914555332,0.8349092914555332,1.2320446e-317,Yes,Positive,Strong
LQ_Customer_Name,0.7774917291347876,0.7774917291347876,3.450910041033288e-247,Yes,Positive,Strong
LQ_Company_Name,0.7757346928876453,0.7757346928876453,2.262879830073629e-245,Yes,Positive,Strong
LQ_Service,0.6607019315334685,0.6607019315334685,1.174223747711756e-153,Yes,Positive,Strong
total_buying_signals,0.6198754653279919,0.6198754653279919,3.359601195486577e-130,Yes,Positive,Strong
total_discovery_questions,0.5981615326187311,0.5981615326187311,4.432149591289785e-119,Yes,Positive,Strong
call_result_tag,0.5482496944583288,0.5482496944583288,1.6640648185008115e-96,Yes,Positive,Strong
total_interruptions,0.43071176588821114,0.43071176588821114,3.47803949114129e-56,Yes,Positive,Moderate
objections_rebutted,0.3974083760882501,0.3974083760882501,2.338284138078571e-47,Yes,Positive,Moderate
TO_OMC_Disposiion,0.3861149050851522,0.3861149050851522,1.3852865287950931e-44,Yes,Positive,Moderate
price_mentions_final_2min,0.3822224302824949,0.3822224302824949,1.1812232752798615e-43,Yes,Positive,Moderate
customer_sentiment_omc,0.3331437017313134,0.3331437017313134,5.898600087230099e-33,Yes,Positive,Moderate
total_objections,0.32985103348257844,0.32985103348257844,2.646038345766153e-32,Yes,Positive,Moderate
timeline_mentions_final_2min,0.30998725762099627,0.30998725762099627,1.5425920857883495e-28,Yes,Positive,Moderate
omc_agent_sentiment_style,0.305157352508067,0.305157352508067,1.1520026854520746e-27,Yes,Positive,Moderate
objections_acknowledged,0.3008342054439726,0.3008342054439726,6.748917368531394e-27,Yes,Positive,Moderate
commitment_type,0.29086824211658535,0.29086824211658535,3.548898920462243e-25,Yes,Positive,Weak
TO_User_M,0.24018295097835826,0.24018295097835826,1.9214693614924646e-17,Yes,Positive,Weak
customer_talk_percentage,0.21260634666796208,0.21260634666796208,6.470222147969789e-14,Yes,Positive,Weak
technical_quality_issues,0.18341967078943844,0.18341967078943844,1.1219121110083984e-10,Yes,Positive,Weak
TO_length_in_sec,0.18304568276800412,0.18304568276800412,1.2253289029712797e-10,Yes,Positive,Weak
location_mentioned,0.16107792468018156,0.16107792468018156,1.5787766208758513e-08,Yes,Positive,Weak
contract_mentions_final_2min,0.1527504718382972,0.1527504718382972,8.463310664864016e-08,Yes,Positive,Weak
omc_who_said_hello_first,0.14666533794282685,0.14666533794282685,2.730347915315171e-07,Yes,Positive,Weak
customer_sentiment_lgs,0.14313955162038783,0.14313955162038783,5.268368345136861e-07,Yes,Positive,Weak
call_structure_framed,0.14125107182717986,0.14125107182717986,7.443685431324789e-07,Yes,Positive,Weak
lgs_sentiment_style,0.1404377972796363,0.1404377972796363,8.626543427806341e-07,Yes,Positive,Weak
TO_OMC_User,0.1281289021661852,0.1281289021661852,7.2712718745519915e-06,Yes,Positive,Weak
ready_to_transfer,0.11415970194599405,0.11415970194599405,6.520755936088235e-05,Yes,Positive,Weak
business_type_mentioned,0.11051851429319906,0.11051851429319906,0.00011110505574990032,Yes,Positive,Weak
ready_for_customers,0.09728146129839722,0.09728146129839722,0.0006746244602517085,Yes,Positive,Weak
time_to_reason_seconds,0.096633560984697,0.096633560984697,0.0007329695062103759,Yes,Positive,Weak
is_decision_maker,0.08808877167490768,0.08808877167490768,0.0020901657061107148,Yes,Positive,Weak
who_said_hello_first_lgs,0.08174426062552477,0.08174426062552477,0.00430758271661418,Yes,Positive,Weak
Connection Made Calls,-0.07530521771191573,0.07530521771191573,0.008559186920095259,Yes,Negative,Weak
customer_availability,0.07199412584084847,0.07199412584084847,0.011961887176336705,Yes,Positive,Weak
customer_marketing_experience,0.06754284715897776,0.06754284715897776,0.018398063342628675,Yes,Positive,Weak
timezone,0.06488028856677931,0.06488028856677931,0.023551126939286925,Yes,Positive,Weak
customer_language,0.060234231849241676,0.060234231849241676,0.03556060640421364,Yes,Positive,Weak
forbidden_industry,0.05221874626673717,0.05221874626673717,0.06848555535697638,No,Positive,Weak
lgs_agent_gender,0.04850294073001933,0.04850294073001933,0.09064530252376002,No,Positive,Weak
customer_knows_marketing,0.04042028946914357,0.04042028946914357,0.15860168657858056,No,Positive,Weak
Calls Count,-0.03405819181973351,0.03405819181973351,0.2349318552725437,No,Negative,Weak
season_status,0.02886089342592264,0.02886089342592264,0.31421526326887605,No,Positive,Weak
within_45_seconds,0.012397371073647228,0.012397371073647228,0.6655678324542826,No,Positive,Weak
technical_quality_score,-0.011025246146302053,0.011025246146302053,0.7006848770634074,No,Negative,Weak
