Variable,RF_Importance,XGB_Importance,Abs_Correlation,RF_Importance_Norm,XGB_Importance_Norm,Abs_Correlation_Norm,Combined_Score
total_buying_signals,0.2077264745913952,0.23703071,0.6198754653279919,0.9566861949540243,1.0,0.738141563803758,0.9062826314145714
total_discovery_questions,0.21713125545976752,0.06219188,0.5981615326187311,1.0,0.262379,0.7122848278255682,0.6555180935851163
TO_Event_O,0.018400365938173787,0.01251695,0.8349092914555332,0.08474305506690726,0.052807294,0.9942017138929424,0.346403136282606
LQ_Company_Address,0.01128865245971309,0.011950272,0.8397785678585521,0.05198999303812701,0.050416555,1.0,0.335842292461616
LQ_Company_Name,0.012250806029083117,0.014979306,0.7757346928876453,0.056421200177480126,0.06319563,0.9237371880849262,0.31898704618781315
LQ_Customer_Name,0.009077404761812215,0.010672992,0.7774917291347876,0.04180607136725268,0.045027886,0.9258294494433255,0.30814072032543777
total_interruptions,0.06789430788780615,0.027541533,0.4307117658882111,0.31268786128483633,0.11619394,0.5128873043122933,0.3039748230698902
call_result_tag,0.028690518023929447,0.030642914,0.5482496944583288,0.13213444542186392,0.12927824,0.6528503053565343,0.2873495309203117
LQ_Service,0.011616952681558285,0.01071406,0.6607019315334685,0.05350198273832024,0.045201145,0.7867573153459587,0.27057328935157976
price_mentions_final_2min,0.058279854206259224,0.026991857,0.3822224302824949,0.26840840616360717,0.113874935,0.4551466837944767,0.27034317254775697
objections_rebutted,0.04883969427807955,0.026485184,0.3974083760882501,0.22493166253132593,0.11173735,0.4732299576323404,0.25980314065188725
TO_OMC_Disposiion,0.033846609625470266,0.03357577,0.3861149050851522,0.15588087285638036,0.14165156,0.45978180423174053,0.24207089133278714
timeline_mentions_final_2min,0.029292386701304872,0.044506516,0.3099872576209962,0.13490635716760035,0.18776688,0.3691297557300948,0.22367455667639996
customer_sentiment_omc,0.025898335563532954,0.03717326,0.3331437017313134,0.11927502334334213,0.15682888,0.39670421999555766,0.2156476315322995
total_objections,0.02669333731761412,0.029810224,0.3298510334825784,0.12293641125544985,0.12576523,0.3927833432611926,0.20488057964400536
omc_agent_sentiment_style,0.022872020323907286,0.015575694,0.305157352508067,0.10533730059026562,0.065711714,0.36337835256527545,0.168880661363272
omc_who_said_hello_first,0.004866026391796836,0.06783099,0.1466653379428268,0.022410529435263487,0.28616962,0.17464763159748836,0.16039733674009246
objections_acknowledged,0.01803316848022065,0.015474096,0.3008342054439726,0.0830519237870019,0.06528308,0.3582303918652084,0.15938637010650022
TO_length_in_sec,0.024312739185682962,0.021181025,0.1830456827680041,0.11197254459843481,0.08935983,0.21796898584203372,0.13585702555841048
commitment_type,0.011650612091377013,0.00247537,0.2908682421165853,0.0536570014607398,0.010443246,0.34636302145493386,0.12634399304496166
customer_talk_percentage,0.018369852400811237,0.012239592,0.212606346667962,0.0846025246891045,0.051637158,0.25316953159463373,0.1236347487213404
TO_User_M,0.010092942180708702,0.012279755,0.2401829509783582,0.0464831383180522,0.0518066,0.28600747884150973,0.12020365056179612
technical_quality_issues,0.005942693410938365,0.011543653,0.1834196707894384,0.027369129323896405,0.048701085,0.2184143270733395,0.09214887207036315
TO_OMC_User,0.008326216700573407,0.018219696,0.1281289021661852,0.0383464678217005,0.076866396,0.15257462749128714,0.0860968901324785
location_mentioned,0.0025437711853803936,0.012693349,0.1610779246801815,0.011715361659904977,0.053551495,0.1918099971173742,0.08038639899250805
call_structure_framed,0.0019145282253243124,0.016135873,0.1412510718271798,0.00881737740276207,0.06807503,0.16820037713914532,0.0773724553523869
time_to_reason_seconds,0.011267802771126371,0.016103271,0.096633560984697,0.051893969605007854,0.067937486,0.11507028719619986,0.07646209557640742
customer_sentiment_lgs,0.006293732549787549,0.010010107,0.1431395516203878,0.02898584331611218,0.042231265,0.17044916017015746,0.07606073556231249
lgs_sentiment_style,0.003048105143487247,0.01406021,0.1404377972796363,0.014038076356317267,0.059318095,0.16723193786399523,0.07584424148988114
ready_to_transfer,0.0030463027524716235,0.009885059,0.114159701945994,0.01402977542786822,0.041703705,0.1359402422439798,0.06028879054728539
contract_mentions_final_2min,0.0012390042843896812,0.0,0.1527504718382972,0.005706245661252844,0.0,0.18189374876262107,0.05656531061022481
ready_for_customers,0.0027543332701082967,0.008829916,0.0972814612983972,0.012685107283500464,0.037252203,0.11584180047183912,0.05223059879755647
customer_marketing_experience,0.003105636727902483,0.013357954,0.0675428471589777,0.014303038599055719,0.056355372,0.08042935333681231,0.04885924973565635
timezone,0.003464520801063996,0.012019848,0.0648802885667793,0.01595588250861443,0.05071009,0.07725880493976525,0.04651073131406717
Connection Made Calls,0.000759749587127995,0.011863657,0.0753052177119157,0.0034990337320127077,0.050051138,0.08967270729943148,0.04564437222777866
business_type_mentioned,0.0028335479774007017,0.0,0.110518514293199,0.013049931348670956,0.0,0.1316043520555935,0.044048781588712886
customer_knows_marketing,0.0016418770263682853,0.018190542,0.0404202894691435,0.007561679790832833,0.076743394,0.04813208030804578,0.043946398849368226
lgs_agent_gender,0.002399643838081802,0.010604784,0.0485029407300193,0.011051581832383566,0.044740126,0.05775682136506833,0.03685414361624724
who_said_hello_first_lgs,0.0040952358640532725,0.0,0.0817442606255247,0.01886064654939594,0.0,0.09734025581764225,0.03580330303758125
within_45_seconds,0.003598712842837769,0.017263703,0.0123973710736472,0.01657390519489065,0.07283319,0.014762666669692085,0.03572128257646551
technical_quality_score,0.005424969509328217,0.0147890905,0.011025246146302,0.0249847471191609,0.06239314,0.013128753898085948,0.034520887236651664
is_decision_maker,0.0013411102240608614,0.0,0.0880887716749076,0.006176495508309522,0.0,0.10489523672833814,0.03363034444640978
Calls Count,0.002604973664537031,0.00946871,0.0340581918197335,0.011997230242238014,0.039947186,0.04055615744824543,0.030347392429607066
customer_availability,0.002172543663017338,0.0,0.0719941258408484,0.010005669881183416,0.0,0.08572989189809224,0.029220952027841866
season_status,0.001492682320713817,0.011120534,0.0288608934259226,0.006874562197658355,0.046916,0.034367266003844696,0.02913687564350545
customer_language,0.0015085188511929192,0.0,0.0602342318492416,0.006947497484867784,0.0,0.07172632662302848,0.02394952210661227
forbidden_industry,5.547022872181705e-05,0.0,0.0522187462667371,0.00025546865007693555,0.0,0.06218156579048652,0.018743883764672883
