Variable,GB_Importance
TO_OMC_Duration,0.9999782584718477
TO_Event_O,5.486494339371283e-06
total_discovery_questions,5.307849908342923e-06
customer_talk_percentage,2.880991545012908e-06
LQ_Customer_Name,2.161899350662729e-06
total_buying_signals,1.6018914797356917e-06
timeline_mentions_final_2min,1.125597989206002e-06
LQ_Service,1.0181817646654278e-06
time_to_reason_seconds,7.450248246128654e-07
total_interruptions,6.841701403839217e-07
technical_quality_score,5.364087914786027e-07
lgs_sentiment_style,1.63486091894459e-07
LQ_Company_Name,1.4333065217535841e-08
omc_agent_sentiment_style,1.0178804018107956e-08
TO_length_in_sec,3.271640305738416e-09
LQ_Company_Address,1.1607275036316114e-09
customer_sentiment_lgs,4.796566324346417e-10
objections_acknowledged,1.0803220505121765e-10
total_objections,9.639556794463784e-16
customer_sentiment_omc,7.384686387370495e-18
ready_for_customers,1.9760637161129813e-18
omc_who_said_hello_first,0.0
Connection Made Calls,0.0
timezone,0.0
season_status,0.0
Calls Count,0.0
forbidden_industry,0.0
lgs_agent_gender,0.0
is_decision_maker,0.0
season_month,0.0
customer_marketing_experience,0.0
ready_to_transfer,0.0
customer_language,0.0
call_structure_framed,0.0
technical_quality_issues,0.0
TO_OMC_User,0.0
TO_OMC_Disposiion,0.0
customer_knows_marketing,0.0
customer_availability,0.0
who_said_hello_first_lgs,0.0
location_mentioned,0.0
contract_mentions_final_2min,0.0
within_45_seconds,0.0
business_type_mentioned,0.0
price_mentions_final_2min,0.0
commitment_type,0.0
objections_rebutted,0.0
call_result_tag,0.0
TO_User_M,-4.837949098069712e-18
