Variable,RF_Importance
TO_OMC_Duration,0.512826321184279
total_discovery_questions,0.1254422434744977
total_buying_signals,0.11031571770949938
price_mentions_final_2min,0.03619625410060373
total_interruptions,0.034178510614866424
objections_rebutted,0.02667972660217913
timeline_mentions_final_2min,0.014437765672773488
call_result_tag,0.013614106643756311
total_objections,0.013482226713523582
TO_OMC_Disposiion,0.013274162861484664
customer_sentiment_omc,0.012118398662162173
omc_agent_sentiment_style,0.00897731188646518
commitment_type,0.007122839424642162
TO_length_in_sec,0.006957400230760682
objections_acknowledged,0.006873788815234495
customer_talk_percentage,0.006566190258429333
TO_Event_O,0.005666851401446917
LQ_Service,0.0042596158254151854
LQ_Company_Name,0.00409192862148356
LQ_Company_Address,0.003948788656103069
time_to_reason_seconds,0.003557250184191963
TO_OMC_User,0.003008958680048083
TO_User_M,0.00287179210011591
LQ_Customer_Name,0.0026424583160494413
omc_who_said_hello_first,0.002395731186578198
customer_sentiment_lgs,0.0018703361415067774
lgs_sentiment_style,0.0018353606798997002
who_said_hello_first_lgs,0.001636390657689812
technical_quality_issues,0.0015505674589328074
technical_quality_score,0.0014082373789719737
customer_marketing_experience,0.001305974553615136
ready_to_transfer,0.0012328131545909283
within_45_seconds,0.0009420870822840936
Calls Count,0.0009178389244227965
call_structure_framed,0.0008796771373631563
timezone,0.0006056725457094
location_mentioned,0.0005665474965353894
ready_for_customers,0.0005653314611324833
lgs_agent_gender,0.0005646840441740957
contract_mentions_final_2min,0.0005568135023026676
business_type_mentioned,0.00039664426697902524
season_status,0.00035573392644172976
customer_availability,0.00033949621533229985
is_decision_maker,0.0003219230573497236
customer_knows_marketing,0.00030314498687467447
customer_language,0.00020478039397022155
Connection Made Calls,0.00013360510733132551
forbidden_industry,0.0
season_month,0.0
