Variable,Value,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Pct_Difference,Chi_Square,P_Value,Significant,Direction,Importance_Score
total_discovery_questions,13,0,6,6,0.0,100.0,100.0,7.3779,0.0066,Yes,Favors Long Calls,50.0
total_buying_signals,4,0,8,8,0.0,100.0,100.0,10.771,0.001,Yes,Favors Long Calls,50.0
call_result_tag,Disconnect - During Close Attempt,0,5,5,0.0,100.0,100.0,5.7289,0.0167,Yes,Favors Long Calls,50.0
commitment_type,Customer to Discuss with Partner,0,5,5,0.0,100.0,100.0,5.7289,0.0167,Yes,Favors Long Calls,50.0
price_mentions_final_2min,2,1,7,8,12.5,87.5,75.0,6.4342,0.0112,Yes,Favors Long Calls,37.5
total_discovery_questions,6,1,6,7,14.29,85.71,71.43,4.9099,0.0267,Yes,Favors Long Calls,35.71
total_interruptions,3,1,6,7,14.29,85.71,71.43,4.9099,0.0267,Yes,Favors Long Calls,35.71
total_discovery_questions,8,1,6,7,14.29,85.71,71.43,4.9099,0.0267,Yes,Favors Long Calls,35.71
objections_acknowledged,4,1,5,6,16.67,83.33,66.67,3.4647,0.0627,No,Favors Long Calls,33.33
customer_sentiment_omc,Interested,2,10,12,16.67,83.33,66.67,8.9733,0.0027,Yes,Favors Long Calls,33.33
TO_User_M,MARIAFRSAMANIEGO,1,5,6,16.67,83.33,66.67,3.4647,0.0627,No,Favors Long Calls,33.33
TO_OMC_Disposiion,P2P,2,10,12,16.67,83.33,66.67,8.9733,0.0027,Yes,Favors Long Calls,33.33
commitment_type,Customer to Review Materials,1,4,5,20.0,80.0,60.0,2.1322,0.1442,No,Favors Long Calls,30.0
objections_rebutted,4,1,4,5,20.0,80.0,60.0,2.1322,0.1442,No,Favors Long Calls,30.0
TO_User_M,JOLYDEETEDOY,1,4,5,20.0,80.0,60.0,2.1322,0.1442,No,Favors Long Calls,30.0
price_mentions_final_2min,4,2,6,8,25.0,75.0,50.0,3.2085,0.0733,No,Favors Long Calls,25.0
call_result_tag,Follow-up Scheduled,5,14,19,26.32,73.68,47.37,9.5476,0.002,Yes,Favors Long Calls,23.68
total_buying_signals,3,3,8,11,27.27,72.73,45.45,4.3348,0.0373,Yes,Favors Long Calls,22.73
total_buying_signals,2,3,8,11,27.27,72.73,45.45,4.3348,0.0373,Yes,Favors Long Calls,22.73
commitment_type,Follow-up Call Scheduled,4,10,14,28.57,71.43,42.86,5.511,0.0189,Yes,Favors Long Calls,21.43
