Variable,Value,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Pct_Difference,Chi_Square,P_Value,Significant,Direction,Importance_Score
customer_sentiment_omc,Neutral,44,1,45,97.78,2.22,-95.56,33.4477,0.0,Yes,Favors Short Calls,47.78
total_discovery_questions,0,42,3,45,93.33,6.67,-86.67,25.5713,0.0,Yes,Favors Short Calls,43.33
omc_agent_sentiment_style,Robotic & Script-Bound,13,1,14,92.86,7.14,-85.71,5.084,0.0241,Yes,Favors Short Calls,42.86
call_result_tag,Disconnect - During Discovery,25,2,27,92.59,7.41,-85.19,11.9525,0.0005,Yes,Favors Short Calls,42.59
TO_OMC_Disposiion,NQTO,11,1,12,91.67,8.33,-83.33,3.7661,0.0523,No,Favors Short Calls,41.67
call_result_tag,Early Disconnect - Before Discovery,31,3,34,91.18,8.82,-82.35,14.8227,0.0001,Yes,Favors Short Calls,41.18
LQ_Company_Address,-,9,1,10,90.0,10.0,-80.0,2.5328,0.1115,No,Favors Short Calls,40.0
total_discovery_questions,1,9,1,10,90.0,10.0,-80.0,2.5328,0.1115,No,Favors Short Calls,40.0
total_objections,0,43,5,48,89.58,10.42,-79.17,21.7647,0.0,Yes,Favors Short Calls,39.58
total_buying_signals,0,77,10,87,88.51,11.49,-77.01,59.3229,0.0,Yes,Favors Short Calls,38.51
technical_quality_issues,"Start-of-Call Latency, Intelligibility",14,2,16,87.5,12.5,-75.0,4.0075,0.0453,Yes,Favors Short Calls,37.5
TO_OMC_User,ISMAELMALENCOCORDOVA,14,2,16,87.5,12.5,-75.0,4.0075,0.0453,Yes,Favors Short Calls,37.5
total_discovery_questions,2,13,2,15,86.67,13.33,-73.33,3.4011,0.0652,No,Favors Short Calls,36.67
omc_who_said_hello_first,unknown,12,2,14,85.71,14.29,-71.43,2.8206,0.0931,No,Favors Short Calls,35.71
total_objections,1,17,3,20,85.0,15.0,-70.0,4.354,0.0369,Yes,Favors Short Calls,35.0
time_to_reason_seconds,0.0,16,3,19,84.21,15.79,-68.42,3.757,0.0526,No,Favors Short Calls,34.21
objections_rebutted,0,71,14,85,83.53,16.47,-67.06,37.187,0.0,Yes,Favors Short Calls,33.53
timezone,unknown,5,1,6,83.33,16.67,-66.67,0.4945,0.4819,No,Favors Short Calls,33.33
TO_User_M,GREGPHILIPSALAZAR,5,1,6,83.33,16.67,-66.67,0.4945,0.4819,No,Favors Short Calls,33.33
technical_quality_score,3.6,10,2,12,83.33,16.67,-66.67,1.752,0.1856,No,Favors Short Calls,33.33
