Variable,Value,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Pct_Difference,Chi_Square,P_Value,Significant,Direction,Importance_Score
LQ_Service,Home Renovation,5,0,5,100.0,0.0,-100.0,3.2132,0.073,No,Favors Short Calls,50.0
LQ_Service,Junk Removal  Hauling,1,4,5,20.0,80.0,60.0,0.8033,0.3701,No,Favors Long Calls,30.0
LQ_Service,Air Conditioning Services,4,1,5,80.0,20.0,-60.0,0.8033,0.3701,No,Favors Short Calls,30.0
LQ_Service,CAR MECHANIC,1,4,5,20.0,80.0,60.0,0.8033,0.3701,No,Favors Long Calls,30.0
LQ_Service,HANDYMAN,4,1,5,80.0,20.0,-60.0,0.8033,0.3701,No,Favors Short Calls,30.0
LQ_Service,Moving Services,1,4,5,20.0,80.0,60.0,0.8033,0.3701,No,Favors Long Calls,30.0
LQ_Service,remodeler,11,3,14,78.57,21.43,-57.14,3.5407,0.0599,No,Favors Short Calls,28.57
LQ_Service,Landscaping,17,6,23,73.91,26.09,-47.83,4.4315,0.0353,Yes,Favors Short Calls,23.91
LQ_Service,HVAC,5,2,7,71.43,28.57,-42.86,0.5747,0.4484,No,Favors Short Calls,21.43
LQ_Service,Painters,2,5,7,28.57,71.43,42.86,0.5747,0.4484,No,Favors Long Calls,21.43
LQ_Service,Junk removal,3,6,9,33.33,66.67,33.33,0.4478,0.5034,No,Favors Long Calls,16.67
LQ_Service,Remodeling,12,6,18,66.67,33.33,-33.33,1.4097,0.2351,No,Favors Short Calls,16.67
LQ_Service,Pressure Washing,8,4,12,66.67,33.33,-33.33,0.7575,0.3841,No,Favors Short Calls,16.67
LQ_Service,Mobile Mechanic,3,6,9,33.33,66.67,33.33,0.4478,0.5034,No,Favors Long Calls,16.67
LQ_Service,Roofing,8,4,12,66.67,33.33,-33.33,0.7575,0.3841,No,Favors Short Calls,16.67
LQ_Service,Flooring,8,4,12,66.67,33.33,-33.33,0.7575,0.3841,No,Favors Short Calls,16.67
LQ_Service,Painting Services,3,6,9,33.33,66.67,33.33,0.4478,0.5034,No,Favors Long Calls,16.67
LQ_Service,Junk Removal Services,9,14,23,39.13,60.87,21.74,0.709,0.3998,No,Favors Long Calls,10.87
LQ_Service,Junk Removal,20,30,50,40.0,60.0,20.0,1.6893,0.1937,No,Favors Long Calls,10.0
LQ_Service,New Construction,2,3,5,40.0,60.0,20.0,0.0,1.0,No,Favors Long Calls,10.0
LQ_Service,Construction,16,11,27,59.26,40.74,-18.52,0.606,0.4363,No,Favors Short Calls,9.26
LQ_Service,Mechanic,11,15,26,42.31,57.69,15.38,0.3537,0.552,No,Favors Long Calls,7.69
LQ_Service,Lawn Care,3,4,7,42.86,57.14,14.29,0.0,1.0,No,Favors Long Calls,7.14
LQ_Service,Renovations  Home Improvements,8,6,14,57.14,42.86,-14.29,0.0723,0.7881,No,Favors Short Calls,7.14
LQ_Service,JUNK REMOVAL,10,8,18,55.56,44.44,-11.11,0.0564,0.8123,No,Favors Short Calls,5.56
LQ_Service,Handyman,21,26,47,44.68,55.32,10.64,0.3541,0.5518,No,Favors Long Calls,5.32
LQ_Service,Painting,6,7,13,46.15,53.85,7.69,0.0,1.0,No,Neutral,3.85
LQ_Service,Handyman Services,25,22,47,53.19,46.81,-6.38,0.0885,0.7661,No,Neutral,3.19
LQ_Service,General Contractor,3,3,6,50.0,50.0,0.0,0.0,1.0,No,Neutral,0.0
