Variable,Value,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Pct_Difference,Chi_Square,P_Value,Significant,Direction,Importance_Score
TO_OMC_User,ARTURODELEON,101,66,167,60.48,39.52,-20.96,8.0221,0.0046,Yes,Favors Short Calls,10.48
TO_OMC_User,ISIREABELLO,47,64,111,42.34,57.66,15.32,2.5376,0.1112,No,Favors Long Calls,7.66
TO_OMC_User,MICHAELANGELORAMOS,34,46,80,42.5,57.5,15.0,1.6188,0.2033,No,Favors Long Calls,7.5
TO_OMC_User,ERNESTOALFAROCORONA,89,66,155,57.42,42.58,-14.84,3.5779,0.0586,No,Favors Short Calls,7.42
TO_OMC_User,LUISBERNAL,13,17,30,43.33,56.67,13.33,0.3076,0.5792,No,Favors Long Calls,6.67
TO_OMC_User,RAFAELVALDOVINOS,66,52,118,55.93,44.07,-11.86,1.5858,0.2079,No,Favors Short Calls,5.93
TO_OMC_User,MARYANNPERALTA,43,54,97,44.33,55.67,11.34,1.1201,0.2899,No,Favors Long Calls,5.67
TO_OMC_User,MANUELRAMIREZ,54,67,121,44.63,55.37,10.74,1.3213,0.2503,No,Favors Long Calls,5.37
TO_OMC_User,DARWINSANCHEZ24,66,80,146,45.21,54.79,9.59,1.3152,0.2515,No,Neutral,4.79
TO_OMC_User,JOHNMENARDESCOTE25,32,33,65,49.23,50.77,1.54,0.0,1.0,No,Neutral,0.77
TO_OMC_User,ISMAELMALENCOCORDOVA,64,64,128,50.0,50.0,0.0,0.0,1.0,No,Neutral,0.0
