Variable,Value,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Pct_Difference,Chi_Square,P_Value,Significant,Direction,Importance_Score
TO_User_M,GREGPHILIPSALAZAR,5,1,6,83.33,16.67,-66.67,0.4945,0.4819,No,Favors Short Calls,33.33
TO_User_M,MARIAFRSAMANIEGO,1,5,6,16.67,83.33,66.67,3.4647,0.0627,No,Favors Long Calls,33.33
TO_User_M,KARLBABONALES,14,3,17,82.35,17.65,-64.71,2.6429,0.104,No,Favors Short Calls,32.35
TO_User_M,JOLYDEETEDOY,1,4,5,20.0,80.0,60.0,2.1322,0.1442,No,Favors Long Calls,30.0
TO_User_M,CLIFFORDBOLARDE,12,4,16,75.0,25.0,-50.0,0.8425,0.3587,No,Favors Short Calls,25.0
TO_User_M,MARKCASEYALEGADO25,10,4,14,71.43,28.57,-42.86,0.2797,0.5969,No,Favors Short Calls,21.43
TO_User_M,JENNIFERLICUANAN,5,2,7,71.43,28.57,-42.86,0.0277,0.8678,No,Favors Short Calls,21.43
TO_User_M,ELIASPAULOJR,4,2,6,66.67,33.33,-33.33,0.0,1.0,No,Favors Short Calls,16.67
TO_User_M,ADELALUCAS,2,4,6,33.33,66.67,33.33,1.0131,0.3142,No,Favors Long Calls,16.67
TO_User_M,JERECHOCALOPE,14,8,22,63.64,36.36,-27.27,0.0001,0.9939,No,Favors Short Calls,13.64
TO_User_M,NATHANIELPASION,3,4,7,42.86,57.14,14.29,0.3939,0.5303,No,Favors Long Calls,7.14
TO_User_M,IVYSONGKIP,10,10,20,50.0,50.0,0.0,0.7479,0.3872,No,Neutral,0.0
