Variable,Value,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Pct_Difference,Chi_Square,P_Value,Significant,Direction,Importance_Score
technical_quality_issues,Dead Air Detected,0,5,5,0.0,100.0,100.0,3.2132,0.073,No,Favors Long Calls,50.0
technical_quality_issues,"Start-of-Call Latency, Audio Stability, Intelligibility",7,22,29,24.14,75.86,51.72,6.9235,0.0085,Yes,Favors Long Calls,25.86
technical_quality_issues,"Start-of-Call Latency, Intelligibility, Silence/Dead Air Indicators",2,5,7,28.57,71.43,42.86,0.5747,0.4484,No,Favors Long Calls,21.43
technical_quality_issues,"Start-of-Call Latency, Audio Stability, Intelligibility, Silence/Dead Air Indicators",14,6,20,70.0,30.0,-40.0,2.4909,0.1145,No,Favors Short Calls,20.0
technical_quality_issues,"Start-of-Call Latency, Silence/Dead Air Indicators",13,20,33,39.39,60.61,21.21,1.1213,0.2896,No,Favors Long Calls,10.61
technical_quality_issues,Silence/Dead Air Indicators,6,9,15,40.0,60.0,20.0,0.27,0.6033,No,Favors Long Calls,10.0
technical_quality_issues,"Audio Stability, Intelligibility",12,18,30,40.0,60.0,20.0,0.8544,0.3553,No,Favors Long Calls,10.0
technical_quality_issues,"Start-of-Call Latency (The ""Hello"" Loop)",3,2,5,60.0,40.0,-20.0,0.0,1.0,No,Favors Short Calls,10.0
technical_quality_issues,Intelligibility,33,23,56,58.93,41.07,-17.86,1.5161,0.2182,No,Favors Short Calls,8.93
technical_quality_issues,"Start-of-Call Latency, Audio Stability, Silence/Dead Air Indicators",7,10,17,41.18,58.82,17.65,0.2386,0.6252,No,Favors Long Calls,8.82
technical_quality_issues,"Start-of-Call Latency, Audio Stability",15,11,26,57.69,42.31,-15.38,0.3537,0.552,No,Favors Short Calls,7.69
technical_quality_issues,"Intelligibility, Silence/Dead Air Indicators",3,4,7,42.86,57.14,14.29,0.0,1.0,No,Favors Long Calls,7.14
technical_quality_issues,Environmental Distractions,5,4,9,55.56,44.44,-11.11,0.0,1.0,No,Favors Short Calls,5.56
technical_quality_issues,"Audio Stability, Intelligibility, Silence/Dead Air Indicators",7,6,13,53.85,46.15,-7.69,0.0,1.0,No,Neutral,3.85
technical_quality_issues,Start-of-Call Latency,110,124,234,47.01,52.99,5.98,0.894,0.3444,No,Neutral,2.99
technical_quality_issues,"Start-of-Call Latency, Intelligibility",37,34,71,52.11,47.89,-4.23,0.0598,0.8068,No,Neutral,2.11
technical_quality_issues,Audio Stability,6,6,12,50.0,50.0,0.0,0.0,1.0,No,Neutral,0.0
