Variable,Value,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Pct_Difference,Chi_Square,P_Value,Significant,Direction,Importance_Score
time_to_reason_seconds,0.0,16,3,19,84.21,15.79,-68.42,3.757,0.0526,No,Favors Short Calls,34.21
time_to_reason_seconds,13.0,4,1,5,80.0,20.0,-60.0,0.1652,0.6844,No,Favors Short Calls,30.0
time_to_reason_seconds,15.0,4,1,5,80.0,20.0,-60.0,0.1652,0.6844,No,Favors Short Calls,30.0
time_to_reason_seconds,18.0,6,2,8,75.0,25.0,-50.0,0.1978,0.6565,No,Favors Short Calls,25.0
time_to_reason_seconds,12.0,4,2,6,66.67,33.33,-33.33,0.0,1.0,No,Favors Short Calls,16.67
time_to_reason_seconds,9.0,6,4,10,60.0,40.0,-20.0,0.0,1.0,No,Favors Short Calls,10.0
time_to_reason_seconds,19.0,3,2,5,60.0,40.0,-20.0,0.0,1.0,No,Favors Short Calls,10.0
time_to_reason_seconds,8.0,2,3,5,40.0,60.0,20.0,0.2776,0.5983,No,Favors Long Calls,10.0
time_to_reason_seconds,14.0,2,3,5,40.0,60.0,20.0,0.2776,0.5983,No,Favors Long Calls,10.0
time_to_reason_seconds,16.0,3,4,7,42.86,57.14,14.29,0.3939,0.5303,No,Favors Long Calls,7.14
time_to_reason_seconds,10.0,7,8,15,46.67,53.33,6.67,0.8923,0.3449,No,Neutral,3.33
time_to_reason_seconds,20.0,5,5,10,50.0,50.0,0.0,0.1783,0.6729,No,Neutral,0.0
