Variable,Bin,Value_Range,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Pct_Difference,Direction,Importance_Score
TO_OMC_Duration,High,"[392.00, 753.00]",0,243,243,0.0,100.0,100.0,Favors Long Calls,50.0
TO_OMC_Duration,Very High,"[759.00, 3612.00]",0,244,244,0.0,100.0,100.0,Favors Long Calls,50.0
TO_OMC_Duration,Low,"[108.00, 221.00]",245,0,245,100.0,0.0,-100.0,Favors Short Calls,50.0
TO_OMC_Duration,Very Low,"[9.00, 107.00]",245,0,245,100.0,0.0,-100.0,Favors Short Calls,50.0
customer_talk_percentage,Very Low,"[0.00, 25.00]",175,85,260,67.31,32.69,-34.62,Favors Short Calls,17.31
customer_talk_percentage,Very High,"[50.34, 84.60]",43,86,129,33.33,66.67,33.33,Favors Long Calls,16.67
TO_length_in_sec,Very High,"[235.00, 1070.00]",87,155,242,35.95,64.05,28.1,Favors Long Calls,14.05
TO_length_in_sec,Very Low,"[0.00, 113.00]",153,91,244,62.7,37.3,-25.41,Favors Short Calls,12.7
time_to_reason_seconds,Very High,"[24.00, 401.00]",85,139,224,37.95,62.05,24.11,Favors Long Calls,12.05
customer_talk_percentage,High,"[44.83, 50.00]",141,216,357,39.5,60.5,21.01,Favors Long Calls,10.5
time_to_reason_seconds,Very Low,"[0.00, 6.00]",135,106,241,56.02,43.98,-12.03,Favors Short Calls,6.02
TO_length_in_sec,High,"[175.00, 234.00]",109,133,242,45.04,54.96,9.92,Neutral,4.96
TO_length_in_sec,Medium,"[141.00, 174.00]",132,115,247,53.44,46.56,-6.88,Neutral,3.44
customer_talk_percentage,Medium,"[37.33, 44.80]",129,113,242,53.31,46.69,-6.61,Neutral,3.31
customer_talk_percentage,Low,"[25.49, 37.14]",121,107,228,53.07,46.93,-6.14,Neutral,3.07
TO_length_in_sec,Low,"[114.00, 140.00]",128,115,243,52.67,47.33,-5.35,Neutral,2.67
time_to_reason_seconds,Low,"[7.00, 11.00]",125,139,264,47.35,52.65,5.3,Neutral,2.65
time_to_reason_seconds,High,"[17.00, 23.00]",118,109,227,51.98,48.02,-3.96,Neutral,1.98
TO_OMC_Duration,Medium,"[222.00, 391.00]",119,122,241,49.38,50.62,1.24,Neutral,0.62
time_to_reason_seconds,Medium,"[12.00, 16.00]",110,110,220,50.0,50.0,0.0,Neutral,0.0
