Value_Feature,RF_Importance,GB_Importance,RF_Norm,GB_Norm,Combined_Score
total_buying_signals_0.0,0.29879594146717897,0.5496470620714614,1.0,1.0,1.0
call_result_tag_Disconnect - During Discovery,0.1357793006792478,0.07817408824332309,0.45442150255632696,0.14222597306116305,0.298323737808745
total_discovery_questions_0.0,0.10627954063568051,0.07983891194009396,0.3556927182940158,0.1452548688956948,0.2504737935948553
TO_OMC_Disposiion_P2P,0.05645560960386024,0.07103806164775402,0.18894369624515656,0.12924304803892162,0.15909337214203909
call_result_tag_Early Disconnect - Before Discover,0.055942884603567514,0.00271011661751793,0.187227725814718,0.0049306487827011775,0.0960791872987096
total_discovery_questions_1.0,0.043907781570903213,0.01598801474395808,0.14694905611937917,0.029087783501841817,0.0880184198106105
call_result_tag_Follow-up Scheduled,0.033549549442162846,0.0049922327076532234,0.11228248040259299,0.009082615103661132,0.060682547753127064
call_result_tag_Disconnect - During Close Attempt,0.03580353399076348,0.0005832989199121898,0.1198260385163106,0.0010612244841515285,0.06044363150023106
total_discovery_questions_2.0,0.020139682610191414,0.028047160638689034,0.06740279841586684,0.05102758219608664,0.059215190305976745
omc_agent_sentiment_style_Robotic & Script-Bound,0.02414920023837048,0.006060034873928515,0.08082171437734582,0.011025320232023055,0.04592351730468444
total_buying_signals_4.0,0.021472237312983287,0.0036671032429493548,0.07186254675196747,0.006671741733921217,0.03926714424294435
customer_sentiment_omc_Interested,0.022543734937701183,0.001648688521011821,0.07544859822059358,0.0029995403137394916,0.03922406926716653
price_mentions_final_2min_2.0,0.01777857088624052,0.003946234825059226,0.05950071074908959,0.007179579583645919,0.033340145166367754
total_buying_signals_3.0,0.016334913425097367,0.0024974622411826483,0.054669127515213134,0.004543756191055462,0.029606441853134297
total_discovery_questions_11.0,0.008776775440370591,0.011076791932839624,0.029373810759523552,0.020152553697084064,0.024763182228303808
total_interruptions_3.0,0.01049196896673411,0.0073166850767135624,0.03511416157533918,0.01331160590423077,0.024212883739784974
total_discovery_questions_10.0,0.007457266275084624,0.01003879620411134,0.02495772278052767,0.01826407689013748,0.021610899835332577
TO_OMC_Disposiion_NQTO,0.011259081175772808,0.000430592007973721,0.03768150638354489,0.0007833972701517658,0.019232451826848327
TO_OMC_Disposiion_CALLBK,0.003788266079781197,0.013547441917400942,0.012678438874302167,0.02464752902770832,0.018662983951005244
objections_rebutted_3.0,0.005409124010871414,0.005657658310441291,0.018103070558157415,0.010293256711168812,0.014198163634663113
timeline_mentions_final_2min_3.0,0.006670486103365379,0.002442890199706411,0.022324553909973687,0.004444470585360471,0.013384512247667079
total_discovery_questions_9.0,0.0038435809521928507,0.007616173115751324,0.012863564790471045,0.013856479259705604,0.013360022025088325
total_interruptions_4.0,0.003445492155153968,0.0072924966116362355,0.011531254869914073,0.013267598637119822,0.012399426753516948
total_discovery_questions_13.0,0.003025176952882028,0.006218398865239419,0.010124558379298891,0.011313439649443528,0.010718999014371209
objections_rebutted_4.0,0.0054125813092998085,0.0016740700030491108,0.01811464132585733,0.0030457180954265874,0.010580179710641959
price_mentions_final_2min_3.0,0.004812244887052658,0.002304080772008002,0.01610545599589831,0.0041919277496446266,0.010148691872771468
