Value_Feature,GB_Importance
total_buying_signals_0,0.5305679244269504
customer_sentiment_omc_Neutral,0.12334250242973806
objections_rebutted_0,0.0871533866831023
call_result_tag_Disconnect - During Discovery,0.03959064250192086
ready_to_transfer_No,0.036107668446957376
ready_for_customers_unknown,0.028602041794116122
timeline_mentions_final_2min_0,0.02330475810624234
"technical_quality_issues_Start-of-Call Latency, In",0.017776941300860643
total_interruptions_0,0.015510878500414944
lgs_agent_gender_Male,0.01412713584941553
total_discovery_questions_0,0.013666883314463854
commitment_type_No Commitment Secured,0.00867663915153428
business_type_mentioned_No,0.00863206726175584
TO_OMC_User_RAFAELVALDOVINOS,0.0074460137024261845
TO_OMC_User_ERNESTOALFAROCORONA,0.007402414739518708
objections_acknowledged_0,0.005727568842486517
call_structure_framed_No,0.005112375545349712
price_mentions_final_2min_0,0.0045922031309732865
technical_quality_score_4.2,0.004559234302778849
objections_rebutted_2,0.003940180965623039
objections_acknowledged_1,0.002977836721622514
TO_OMC_Disposiion_HU,0.0028005025949864163
total_discovery_questions_2,0.002702502382388597
total_objections_0,0.001407917624761666
customer_sentiment_lgs_Skeptical/Cautious,0.001214436467062854
location_mentioned_No,0.0009678838574957219
TO_OMC_User_ARTURODELEON,0.0005954871126332826
objections_acknowledged_2,0.0004950139394142988
customer_sentiment_lgs_Not Angry/Frustrated,0.0004021816396274309
TO_User_M_MARKCASEYALEGADO25,0.00028470424384646845
total_discovery_questions_3,0.00018654826330150322
TO_User_M_KARLBABONALES,5.530411005678921e-05
time_to_reason_seconds_0.0,1.980968860741144e-05
total_objections_1,1.8158434313386163e-05
call_result_tag_Early Disconnect - Before Discover,1.5239051984154534e-05
customer_sentiment_omc_Interested,1.3359166596251553e-05
call_result_tag_Follow-up Scheduled,3.65370467226393e-06
time_to_reason_seconds_13.0,0.0
commitment_type_Customer to Review Materials,0.0
TO_OMC_Disposiion_LB,0.0
TO_User_M_MARIAFRSAMANIEGO,0.0
technical_quality_score_3.6,0.0
timezone_unknown,0.0
TO_OMC_Disposiion_P2P,0.0
total_discovery_questions_8,0.0
total_interruptions_3,0.0
objections_acknowledged_4,0.0
omc_agent_sentiment_style_Robotic & Script-Bound,0.0
price_mentions_final_2min_2,0.0
TO_OMC_User_ISMAELMALENCOCORDOVA,0.0
total_discovery_questions_6,0.0
omc_who_said_hello_first_unknown,0.0
LQ_Company_Address_-,0.0
TO_OMC_Disposiion_NQTO,0.0
total_discovery_questions_1,0.0
commitment_type_Customer to Discuss with Partner,0.0
total_discovery_questions_13,0.0
total_buying_signals_4,0.0
call_result_tag_Disconnect - During Close Attempt,0.0
TO_User_M_GREGPHILIPSALAZAR,0.0
price_mentions_final_2min_4,0.0
customer_knows_marketing_No,0.0
time_to_reason_seconds_18.0,0.0
objections_rebutted_4,0.0
customer_marketing_experience_SKEPTIC (Burned),0.0
time_to_reason_seconds_15.0,0.0
TO_User_M_JOLYDEETEDOY,0.0
commitment_type_Email/Information Send Agreed,0.0
TO_User_M_JENNIFERLICUANAN,0.0
timeline_mentions_final_2min_3,0.0
commitment_type_Follow-up Call Scheduled,0.0
LQ_Customer_Name_ ,0.0
omc_agent_sentiment_style_Not Found in Transcript,0.0
total_buying_signals_2,0.0
omc_agent_sentiment_style_Consultative & Validatin,0.0
total_buying_signals_3,0.0
Connection Made Calls_2,0.0
lgs_sentiment_style_Hesitant & Apologetic,0.0
TO_User_M_CLIFFORDBOLARDE,0.0
ready_for_customers_UNKNOWN,0.0
customer_availability_busy,0.0
total_objections_5,0.0
who_said_hello_first_lgs_unknown,0.0
total_discovery_questions_7,0.0
TO_OMC_Disposiion_CALLBK,0.0
is_decision_maker_unknown,0.0
customer_marketing_experience_NOVICE (Job Seeker),0.0
total_interruptions_2,0.0
lgs_sentiment_style_Robotic & Script-Bound,0.0
objections_rebutted_3,0.0
total_objections_4,0.0
time_to_reason_seconds_12.0,0.0
TO_User_M_ELIASPAULOJR,0.0
ready_for_customers_No,0.0
LQ_Service_Junk Removal,0.0
Calls Count_4,0.0
omc_agent_sentiment_style_Professional,0.0
TO_OMC_User_MARYANNPERALTA,0.0
TO_User_M_ADELALUCAS,0.0
customer_availability_unknown,0.0
