Variable,Value,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Pct_Difference,Chi_Square,P_Value,Significant,Direction,Importance_Score
total_discovery_questions,13,0,6,6,0.0,100.0,100.0,7.3779,0.0066,Yes,Favors Long Calls,50.0
total_buying_signals,4,0,8,8,0.0,100.0,100.0,10.771,0.001,Yes,Favors Long Calls,50.0
call_result_tag,Disconnect - During Close Attempt,0,5,5,0.0,100.0,100.0,5.7289,0.0167,Yes,Favors Long Calls,50.0
commitment_type,Customer to Discuss with Partner,0,5,5,0.0,100.0,100.0,5.7289,0.0167,Yes,Favors Long Calls,50.0
customer_sentiment_omc,Neutral,44,1,45,97.78,2.22,-95.56,33.4477,0.0,Yes,Favors Short Calls,47.78
total_discovery_questions,0,42,3,45,93.33,6.67,-86.67,25.5713,0.0,Yes,Favors Short Calls,43.33
omc_agent_sentiment_style,Robotic & Script-Bound,13,1,14,92.86,7.14,-85.71,5.084,0.0241,Yes,Favors Short Calls,42.86
call_result_tag,Disconnect - During Discovery,25,2,27,92.59,7.41,-85.19,11.9525,0.0005,Yes,Favors Short Calls,42.59
call_result_tag,Early Disconnect - Before Discovery,31,3,34,91.18,8.82,-82.35,14.8227,0.0001,Yes,Favors Short Calls,41.18
total_objections,0,43,5,48,89.58,10.42,-79.17,21.7647,0.0,Yes,Favors Short Calls,39.58
total_buying_signals,0,77,10,87,88.51,11.49,-77.01,59.3229,0.0,Yes,Favors Short Calls,38.51
technical_quality_issues,"Start-of-Call Latency, Intelligibility",14,2,16,87.5,12.5,-75.0,4.0075,0.0453,Yes,Favors Short Calls,37.5
price_mentions_final_2min,2,1,7,8,12.5,87.5,75.0,6.4342,0.0112,Yes,Favors Long Calls,37.5
TO_OMC_User,ISMAELMALENCOCORDOVA,14,2,16,87.5,12.5,-75.0,4.0075,0.0453,Yes,Favors Short Calls,37.5
total_discovery_questions,6,1,6,7,14.29,85.71,71.43,4.9099,0.0267,Yes,Favors Long Calls,35.71
total_interruptions,3,1,6,7,14.29,85.71,71.43,4.9099,0.0267,Yes,Favors Long Calls,35.71
total_discovery_questions,8,1,6,7,14.29,85.71,71.43,4.9099,0.0267,Yes,Favors Long Calls,35.71
total_objections,1,17,3,20,85.0,15.0,-70.0,4.354,0.0369,Yes,Favors Short Calls,35.0
objections_rebutted,0,71,14,85,83.53,16.47,-67.06,37.187,0.0,Yes,Favors Short Calls,33.53
customer_sentiment_omc,Interested,2,10,12,16.67,83.33,66.67,8.9733,0.0027,Yes,Favors Long Calls,33.33
TO_OMC_Disposiion,P2P,2,10,12,16.67,83.33,66.67,8.9733,0.0027,Yes,Favors Long Calls,33.33
total_interruptions,0,70,19,89,78.65,21.35,-57.3,24.8635,0.0,Yes,Favors Short Calls,28.65
objections_acknowledged,0,77,23,100,77.0,23.0,-54.0,27.4788,0.0,Yes,Favors Short Calls,27.0
price_mentions_final_2min,0,84,29,113,74.34,25.66,-48.67,27.921,0.0,Yes,Favors Short Calls,24.34
call_result_tag,Follow-up Scheduled,5,14,19,26.32,73.68,47.37,9.5476,0.002,Yes,Favors Long Calls,23.68
total_buying_signals,3,3,8,11,27.27,72.73,45.45,4.3348,0.0373,Yes,Favors Long Calls,22.73
total_buying_signals,2,3,8,11,27.27,72.73,45.45,4.3348,0.0373,Yes,Favors Long Calls,22.73
location_mentioned,No,51,20,71,71.83,28.17,-43.66,5.3429,0.0208,Yes,Favors Short Calls,21.83
commitment_type,Follow-up Call Scheduled,4,10,14,28.57,71.43,42.86,5.511,0.0189,Yes,Favors Long Calls,21.43
lgs_agent_gender,Male,50,20,70,71.43,28.57,-42.86,4.7782,0.0288,Yes,Favors Short Calls,21.43
total_interruptions,2,4,10,14,28.57,71.43,42.86,5.511,0.0189,Yes,Favors Long Calls,21.43
commitment_type,No Commitment Secured,86,36,122,70.49,29.51,-40.98,18.6684,0.0,Yes,Favors Short Calls,20.49
timeline_mentions_final_2min,0,82,36,118,69.49,30.51,-38.98,12.6031,0.0004,Yes,Favors Short Calls,19.49
TO_OMC_Disposiion,CALLBK,4,9,13,30.77,69.23,38.46,4.2558,0.0391,Yes,Favors Long Calls,19.23
objections_acknowledged,2,5,11,16,31.25,68.75,37.5,5.4478,0.0196,Yes,Favors Long Calls,18.75
objections_acknowledged,1,7,14,21,33.33,66.67,33.33,6.6973,0.0097,Yes,Favors Long Calls,16.67
objections_rebutted,2,9,18,27,33.33,66.67,33.33,9.3913,0.0022,Yes,Favors Long Calls,16.67
TO_OMC_User,MANUELRAMIREZ,7,12,19,36.84,63.16,26.32,4.3442,0.0371,Yes,Favors Long Calls,13.16
total_objections,2,17,23,40,42.5,57.5,15.0,6.9913,0.0082,Yes,Favors Long Calls,7.5
ready_to_transfer,Yes,24,30,54,44.44,55.56,11.11,8.8527,0.0029,Yes,Favors Long Calls,5.56
ready_for_customers,Yes,22,27,49,44.9,55.1,10.2,7.1362,0.0076,Yes,Favors Long Calls,5.1
customer_sentiment_omc,Resistant,45,39,84,53.57,46.43,-7.14,3.9224,0.0476,Yes,Neutral,3.57
customer_sentiment_lgs,Happy/Optimistic,21,24,45,46.67,53.33,6.67,4.8799,0.0272,Yes,Neutral,3.33
omc_agent_sentiment_style,Confident & Assumptive,54,49,103,52.43,47.57,-4.85,9.0825,0.0026,Yes,Neutral,2.43
location_mentioned,Yes,44,40,84,52.38,47.62,-4.76,5.3429,0.0208,Yes,Neutral,2.38
lgs_agent_gender,Female,23,25,48,47.92,52.08,4.17,4.457,0.0348,Yes,Neutral,2.08
