Variable,Unique_Values,Most_Common,Most_Common_Count,Most_Common_Pct
TO_User_M,22,ADELALUCAS,62,10.180623973727423
TO_Event_O,533,12/9/2025 7:47,4,0.6568144499178982
TO_OMC_User,11,DARWINSANCHEZ24,80,13.136288998357964
TO_OMC_Call_Date_O,555,12/16/2025 14:24,4,0.6568144499178982
TO_OMC_Disposiion,17,NI,158,25.94417077175698
LQ_User,20,DARWINSANCHEZ24,78,12.807881773399016
LQ_Customer_Name,441, ,104,17.077175697865353
LQ_Company_Name,399,Junk Removal Service,2,0.3284072249589491
LQ_Company_Address,519,-,67,11.001642036124796
LQ_Service,316,Junk Removal,30,4.926108374384237
