Variable,Unique_Values,Most_Common,Most_Common_Count,Most_Common_Pct
TO_User_M,21,MARKCASEYALEGADO25,54,8.866995073891626
TO_Event_O,555,12/11/2025 8:16,3,0.49261083743842365
TO_OMC_User,11,ARTURODELEON,101,16.58456486042693
TO_OMC_Call_Date_O,564,12/15/2025 7:54,3,0.49261083743842365
TO_OMC_Disposiion,21,HU,185,30.377668308702795
LQ_User,33,ARTURODELEON,82,13.464696223316913
LQ_Customer_Name,424, ,104,17.077175697865353
LQ_Company_Name,448,Electrical Services,2,0.3284072249589491
LQ_Company_Address,510,-,66,10.83743842364532
LQ_Service,300,Handyman Services,25,4.105090311986864
