Variable,Category_Value,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Importance_Score,Direction
tone_assessment,Not Found in Transcript - No agent verbiage,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,Not Found in Transcript - No customer verbiage,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,N/A - Recording Incomplete,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,N/A - No interaction,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,N/A - Call ended before closing segment,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,Resistant/Hesitant,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,Resistant/Positive,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,Slightly Resistant,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,Skeptical/Hesitant,0,2,2,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,Skeptical/Interested,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,Neutral/Slightly Positive,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,Interested,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,Not Captured - Recording Incomplete,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,Skeptical/Neutral,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,Positive/Decisive,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_closing,Positive/Interested,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_late_middle,Neutral/Slightly Skeptical,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_late_middle,Neutral to Skeptical,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_late_middle,Positive/Neutral,0,1,1,0.0,100.0,50.0,Favors Long Calls
sentiment_late_middle,Neutral/Positive,0,2,2,0.0,100.0,50.0,Favors Long Calls
