Variable,RF_Importance,GB_Importance,Correlation,Abs_Correlation,RF_Importance_Norm,GB_Importance_Norm,Correlation_Norm,Combined_Score
total_call_duration,0.25337773007718223,0.9064443269986907,0.6313652351917203,0.6313652351917203,1.0,1.0,1.0,1.0
total_discovery_questions,0.04927089860685396,0.02297105351696663,0.5615377107632036,0.5615377107632036,0.19445631070988517,0.025341935332118648,0.8894023292123253,0.3437500848783989
extended_monologues_count,0.046012448781418094,1.4526577738528313e-05,0.5183262467822074,0.5183262467822074,0.1815962624947429,1.602589073134471e-05,0.8209610189018604,0.3098526066054741
goal2_questions,0.04351417722927649,0.000871839696044908,0.48440790787207116,0.48440790787207116,0.1717363922078767,0.0009618237657591599,0.7672388038992611,0.2906160167605509
long_monologues,0.050395830218911905,0.004492929884865922,0.4613917826674409,0.4613917826674409,0.19889605216512385,0.004956652880979873,0.7307842702605168,0.2905837278442913
goal1_questions,0.03331003090822419,0.00028627861902319175,0.49014459382881975,0.49014459382881975,0.1314639250184991,0.0003158259260897832,0.7763249645508,0.2790204021958461
total_buying_signals,0.05049899160575145,9.943425443602227e-07,0.4043922897384757,0.4043922897384757,0.19930319681358258,1.0969703430684707e-06,0.6405045244780986,0.26190786016780354
medium_monologues,0.02579150912067779,0.006232376137268343,0.40283888506642923,0.40283888506642923,0.10179074977434424,0.006875630363206349,0.6380441345398171,0.22944647341008784
time_in_final_stage,0.026268977109882127,0.0006483818813572645,0.3472728275287454,0.3472728275287454,0.10367516159324755,0.0007153024869206347,0.550034763037424,0.20154709133928608
short_monologues,0.029227908467079834,0.002812012521009314,0.33277524625571864,0.33277524625571864,0.1153531072291816,0.003102245154228182,0.5270724894357989,0.19958112016493307
price_timeline_contract_before_dropoff,0.011430805283487082,0.00010178349073398959,0.3792965843229004,0.3792965843229004,0.045113693614687866,0.00011228873931066768,0.6007562076295241,0.19605595611275672
very_long_monologues,0.012500089020566757,0.00029057934079192556,0.367149833711671,0.367149833711671,0.049333810894742265,0.0003205705327254426,0.5815173424938139,0.19183423624775786
objections_rebutted,0.0024389068698938312,1.0424686047786489e-09,0.37239984960021966,0.37239984960021966,0.009625577074792278,1.1500635766901928e-09,0.5898326813752055,0.1803187567912612
total_objections,0.0026620820537151067,8.016299957923155e-07,0.33515953123688874,0.33515953123688874,0.010506377387247889,8.843676019757068e-07,0.5308488851704264,0.16293220716532536
total_interruptions,0.009877484429858136,0.002155818018251852,0.31092436911640703,0.31092436911640703,0.038983238293473235,0.0023783236918586462,0.49246355641040607,0.16221561361798797
price_mentions_final_2min,0.0028914797666594553,0.00032186739678190067,0.3325693302617528,0.3325693302617528,0.011411736010811495,0.0003550878826145112,0.5267463454188522,0.16214229198835475
total_resistance_signals,0.002651051062315512,0.0002954923181471438,0.33116939971555104,0.33116939971555104,0.010462841629798983,0.0003259905868963209,0.5245290384336543,0.16113480280593964
longest_monologue_length,0.01862490792993385,0.00026514649474074204,0.2570086736178454,0.2570086736178454,0.07350649137262559,0.0002925127190311436,0.40706814264140184,0.1479500942245004
objections_acknowledged,0.00018812128126882659,0.0,0.28719910560026646,0.28719910560026646,0.0007424538897381484,0.0,0.4548858403853288,0.136725610977007
empathy_responses,0.00019255234857734656,5.602088335988852e-05,0.26604963934782166,0.26604963934782166,0.000759941880127715,6.180289477388879e-05,0.42138785051576855,0.12670396582594612
timeline_mentions_final_2min,0.003944159751971391,0.0,0.2530745419066691,0.2530745419066691,0.015566323649556521,0.0,0.4008369922835877,0.1256993109624211
rapport_elements_count,0.0004385444349249957,0.0001395500701357329,0.22195503292456448,0.22195503292456448,0.0017307931316276662,0.00015395327211963948,0.35154775802181387,0.10612398864785572
acknowledgement_rate,0.0003432813150002315,2.4543913240820893e-08,0.2155916382212417,0.2155916382212417,0.0013548203896832742,2.7077132604588904e-08,0.34146897263954545,0.10291488840524919
customer_talk_percentage,0.0014089164184288426,0.00045127992712370774,0.206573304509341,0.206573304509341,0.005560537692083941,0.000497857302078255,0.3271851109233358,0.1002759715249575
goal3_questions,0.0012864557683538928,0.0,0.2002787329669897,0.2002787329669897,0.0050772250898373,0.0,0.31721533243143024,0.09694162851087212
signal_ratio,0.0669797322359482,0.011257497222501307,0.0,0.0,0.26434735292460504,0.012419402810733867,0.0,0.09686836450736862
TO_length_in_sec,0.004927589888186896,0.0010788744304016922,0.18314024549897576,0.18314024549897576,0.01944760451791042,0.0011902269099900832,0.2900702086382115,0.09424430359122862
empathy_response_rate,0.00024220851130337922,6.5516395479404375e-06,0.19464631386740341,0.19464631386740341,0.0009559187037850536,7.227845497840378e-06,0.30829431685179365,0.0928253963477871
