,TO_length_in_sec,TO_OMC_Duration,Calls Count,Connection Made Calls,Dial Attempt Calls,technical_quality_score,customer_talk_percentage,agent_talk_percentage,total_discovery_questions,goal1_questions,goal2_questions,goal3_questions,total_buying_signals,total_resistance_signals,time_to_reason_seconds,total_objections,objections_acknowledged,objections_rebutted,acknowledgement_rate,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,price_timeline_contract_before_dropoff,average_monologue_length,longest_monologue_length,extended_monologues_count,short_monologues,medium_monologues,long_monologues,very_long_monologues,total_interruptions,interruption_rate,name_usage_count,rapport_elements_count,empathy_responses,empathy_response_rate,total_call_duration,time_in_final_stage,call_duration_group
TO_length_in_sec,1.0,0.17207428056064492,-0.06318737036083152,-0.09088563253395689,-0.041381550163081406,-0.07134448852171282,0.06889919460302885,-0.042974004632790774,0.05789819194819311,0.05032066294243695,0.055697082042800834,0.013537668285817395,0.07711754676332998,0.11644449067609319,0.11796848603132418,0.1244638824658495,0.12410274443347391,0.08810909053962306,0.05988368170384463,0.09340424565315732,0.11046512292970981,0.03133756076243818,0.10208135844615804,-0.040550937852975644,0.03434703314363562,0.11484141548749154,0.08541876369393034,0.09678193772402047,0.10320057191562204,0.08846143031745593,0.07977552091789905,0.015957060426908126,0.03783277960583678,0.07336233686771851,0.13408101407205525,0.06735539243165772,0.1816378941124667,0.09678236264652716,0.18314024549897717
TO_OMC_Duration,0.17207428056064492,1.0,-0.04466401403141698,-0.05610975300272458,-0.0318895762632773,0.009352027848694463,0.11500634102307285,-0.06950361335936386,0.5717359702676953,0.5129977877093479,0.4154433582482207,0.3013896163932075,0.5792409957769648,0.38227864173100573,0.12444718984156533,0.3642639881587099,0.3567930452890856,0.48165859537447486,0.2354450377841371,0.3225027244914871,0.28429693241549586,0.13860537382808508,0.41466029925309505,0.05132867335643434,0.34702646235271817,0.6732350095637792,0.40567962390894974,0.5282181516926739,0.6390915876552159,0.6066553001850887,0.40783574187990823,0.04664924892860578,0.08315146642852608,0.16008648601415293,0.32938734654516844,0.21071003712674966,0.9638053631918866,0.5431221053800499,0.6397430447614442
Calls Count,-0.06318737036083152,-0.04466401403141698,1.0,0.49917145657398654,0.9596573241805801,-0.0014328439209116118,-0.02155115250942391,0.006615068852507681,-0.06878560536770821,-0.061748636916908496,-0.06218585627936288,-0.018503388116118177,-0.03332209395822183,-0.02620759529388615,-0.02021711386852229,-0.013681246812085823,-0.01630939090401099,-0.009566555045056194,-0.028197126404691335,-0.023021330729132813,0.03363776772429725,-0.001389235446234205,0.026055938687371372,-0.002135054273278937,-0.03892373755940755,-0.06519833758669637,0.008128711057876836,-0.0026701535915704218,-0.041029948275160134,-0.02755868662652824,0.01656265426030277,0.009900604486575655,0.024727795116192774,-0.0402937795348998,0.022488825730111014,0.0003466359231942148,-0.05220924248044936,-0.03982770446482662,-0.056362484646983804
Connection Made Calls,-0.09088563253395689,-0.05610975300272458,0.49917145657398654,1.0,0.23539690160461615,0.028870127609005165,-0.008807998368331243,0.028783174484380555,-0.04280111177684694,-0.03488928363319843,-0.03891402996025403,-0.024333493533470685,-0.02341309083711756,-0.0015521153779866539,-0.00421141328564528,-0.003090187729669005,-0.001749827523110498,0.0007596710121086468,-0.013607301370400428,-0.06660781205110297,0.002865023080264893,-0.00475645218052387,-0.04247411768423768,0.021449628135654472,-0.014676946250300282,-0.06325770243687118,-0.0037054914810797203,-0.011520008566208086,-0.06672400365230531,-0.009500288061384378,0.04852199045768828,0.0724417184788444,-0.007943240222582117,-0.05711968174113492,0.005433702470988942,0.011301011742745799,-0.07342008060514203,-0.06366540539736419,-0.07858384401202302
Dial Attempt Calls,-0.041381550163081406,-0.0318895762632773,0.9596573241805801,0.23539690160461615,1.0,-0.011021261622895774,-0.021313880039758242,-0.0019202555568378864,-0.06326493496766351,-0.057939150666681635,-0.057123640850700354,-0.012858622534302188,-0.029778509822153004,-0.028891854173988832,-0.02129446285907196,-0.014342749399212018,-0.017725486843026057,-0.01097671556241477,-0.02721183591968246,-0.004209347034689149,0.0367987551335613,-1.4891774599541832e-05,0.04300697280785133,-0.009354828427338247,-0.03889472638124238,-0.052603749980343395,0.010319805597040144,0.0007429559037412803,-0.024370820333887842,-0.027828342224693194,0.0028333605505983864,-0.012400307513898978,0.030313016741905004,-0.02666142555859458,0.0234612746192043,-0.0032780466972390987,-0.034735519602390866,-0.02401021188135499,-0.037718343332886164
technical_quality_score,-0.07134448852171282,0.009352027848694463,-0.0014328439209116118,0.028870127609005165,-0.011021261622895774,1.0,0.12543598607075798,0.14638369570738297,0.04726077758199683,0.036316521537889765,0.03957972023146927,0.028611059793348624,0.0393711958457481,0.018044428837873557,0.04249758950406521,0.019785173545185823,0.0064430487422651814,0.019052617658474866,0.031376449700148225,0.006841193001176285,-0.0010815270243010133,0.021130754492731843,0.011262768727630787,0.06659683195824784,0.055785488788955784,0.05546900926522933,0.029027045044759815,0.009592305438626747,0.04160697353499503,0.05825576772119808,0.03293176332550338,0.035866884334870584,0.07413936105045411,0.11320300803644287,-0.001175498676526022,0.029796207654749312,0.0033725056897784805,0.01673143262142599,0.04358729110434812
customer_talk_percentage,0.06889919460302885,0.11500634102307285,-0.02155115250942391,-0.008807998368331243,-0.021313880039758242,0.12543598607075798,1.0,0.15414667279667787,0.40547137613122325,0.39660283708391986,0.3095576143595049,0.086781040018581,0.16979036877994744,0.3613413814125255,0.1675585285078832,0.3600969920182446,0.22573948856152354,0.2564503500092989,0.25819031195051567,0.18817082373484095,0.19338802088704568,0.06468101486024881,0.23288770171192621,0.014297685272271324,0.15625388258794803,0.33925527285065377,0.01691256406722811,0.13857924742946595,0.23239108208120954,0.16117084481065985,0.15753938072796517,0.15259047700392894,0.35317256461293195,0.5685251346591191,0.18322908431628676,0.1855277110725302,0.10105489721594572,0.12262034107835192,0.20657330450933983
agent_talk_percentage,-0.042974004632790774,-0.06950361335936386,0.006615068852507681,0.028783174484380555,-0.0019202555568378864,0.14638369570738297,0.15414667279667787,1.0,0.14894036802686647,0.13744337658835998,0.12093094484286132,0.03978206520904298,0.08246547222880551,0.13567710351141732,0.11607611570317974,0.14349433589457894,0.1067092683367364,0.08799725256145546,0.1345695994857594,0.06795910279209247,0.053675762073394626,0.02209098642279805,0.07244965475215662,0.28399311603160166,0.1350156727252775,0.08939192723444032,0.2565031612907972,0.18802815178951274,0.12323938716285965,0.0692386565360195,0.07747734344442356,0.10637979920650262,0.34714153189443653,0.4449612838276723,0.07715783034605085,0.09572290216412042,-0.08888121851972912,-0.0029971605837570284,-0.057635184713132497
total_discovery_questions,0.05789819194819311,0.5717359702676953,-0.06878560536770821,-0.04280111177684694,-0.06326493496766351,0.04726077758199683,0.40547137613122325,0.14894036802686647,1.0,0.9047983499234461,0.7460998130119936,0.4688574805928155,0.5207797777195162,0.32571676347347084,0.14384231925969282,0.278644123425411,0.2705114960010551,0.30760797335728945,0.2504803807001799,0.2375149184748705,0.21884702537353773,0.10618424082914316,0.3094607578219935,0.008287195046170374,0.23846907329225728,0.5650749444176454,0.3863110790011321,0.5043742433780107,0.5246684162267599,0.42237960784507156,0.3609284186911903,0.12721244363877351,0.19506259805036502,0.40159239634136173,0.2642098933183949,0.20910790447450514,0.526521930150652,0.3406366761708014,0.5615377107632045
goal1_questions,0.05032066294243695,0.5129977877093479,-0.061748636916908496,-0.03488928363319843,-0.057939150666681635,0.036316521537889765,0.39660283708391986,0.13744337658835998,0.9047983499234461,1.0,0.4607246090105029,0.24445838337099085,0.45643120916716284,0.2733354072683996,0.15620291875361483,0.23528203102181727,0.2285544645171734,0.28195943674394447,0.2210726711212148,0.21211310428756028,0.19874687515308634,0.04915781796791133,0.27745904827950885,0.010943203579724586,0.21774249116299074,0.5189288090681794,0.35807424374908015,0.4668334638416327,0.4785342041911698,0.407773206376799,0.3460729263183483,0.12239373117274702,0.20153985160479676,0.3915001748891194,0.21975611596016828,0.18577233863522502,0.4672302950894434,0.2956452662352344,0.4901445938288207
