,TO_length_in_sec,TO_OMC_Duration,Calls Count,Connection Made Calls,Dial Attempt Calls,technical_quality_score,customer_talk_percentage,agent_talk_percentage,total_discovery_questions,goal1_questions,goal2_questions,goal3_questions,total_buying_signals,total_resistance_signals,time_to_reason_seconds,total_objections,objections_acknowledged,objections_rebutted,acknowledgement_rate,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,price_timeline_contract_before_dropoff,average_monologue_length,longest_monologue_length,extended_monologues_count,short_monologues,medium_monologues,long_monologues,very_long_monologues,total_interruptions,interruption_rate,name_usage_count,rapport_elements_count,empathy_responses,empathy_response_rate,total_call_duration,time_in_final_stage,call_duration_group
TO_length_in_sec,1.0,0.08146073858060854,-0.035058263934263645,-0.07626858563628658,-0.014835930146117844,-0.09695025073346142,-0.02352166416073774,-0.04584164734225681,-0.06389755247800809,-0.05848564909812732,-0.03557668040126722,-0.028942852871319553,0.00021704429038834142,0.042252937160274624,0.10649016635071758,0.04870767460564178,0.09314852728112318,0.0031817681507900954,0.022024906614878655,0.022192311284666043,0.07036545552147436,0.01939196102313731,0.02212030939614518,-0.03108845867940268,-0.00783711905304282,0.03661889643536348,0.025020550428978657,0.020931459779232796,0.03548525253296286,0.02947941704431059,0.02218924836154894,-0.03223058523536583,-0.033512205721776815,-0.0018262899002074139,0.11810063124448057,0.04680105537672613,0.09816438123747313,0.034799731498806365,
TO_OMC_Duration,0.08146073858060854,1.0,-0.00712650390570531,0.007655653534732239,-0.010449650936142038,-0.043778970365974654,-0.11057893086195084,-0.04877435197717365,0.33647528297671825,0.30486411971119165,0.14507964845290408,0.2338187097790661,0.45805597297727,0.24968225809564623,0.05795496364664515,0.21518246069883817,0.2526798346543571,0.3593981414629946,0.1424913015180849,0.15354375857409386,0.17917999836850212,0.07699114458256616,0.2479668329229795,0.14846261667291627,0.25837726957626467,0.5317590277624994,0.26261731003160554,0.38124510649561427,0.51180711070523,0.5308526247424321,0.28594389549003574,-0.010275956988912871,-0.011093332334318001,-0.011025546712139796,0.2283365575152089,0.12949633563193297,0.9387423728311957,0.4492098878125655,
Calls Count,-0.035058263934263645,-0.00712650390570531,1.0,0.5010812585593329,0.9606435167207344,-0.01788277153665454,0.005303448373508272,-0.02547028929852428,-0.0185783873911298,-0.007985388080825122,-0.03792467279020509,0.0035715308834988945,-0.001562336640880868,0.0213014263267894,0.014216937603956347,0.03365506812547001,0.030629611383038435,0.030605816618332612,0.02033025595192598,-0.0186393661337338,0.0906152042050111,0.020176479005635947,0.08289262306038829,-0.09076395775995587,-0.05545277359517816,-0.0596533853237092,0.06977651070086992,0.04225865213101817,-0.009428768685343486,-0.029236321460977804,0.07002971773601072,0.08233615972232902,0.05201521156912443,-0.03055692962453284,0.07533117003964104,0.02182571709244827,-0.022891103247196096,-0.031075839740024393,
Connection Made Calls,-0.07626858563628658,0.007655653534732239,0.5010812585593329,1.0,0.24096599312529898,0.018391708829555535,0.0477450104100462,-0.01001633049669278,0.07602601354205334,0.08020113788087806,0.05302371020580164,-0.0026385867656082483,0.02973351051534496,0.07104193396361524,0.04325499226598689,0.0590598108128818,0.04912897933397617,0.06651706282961618,0.02094614428503865,-0.05894036373739989,0.03608064237804043,-0.011516189686045406,-0.022300377147269033,-0.05444210799864858,0.008704133509718763,-0.023156718017301656,0.0754930399385681,0.0414373764284918,-0.04085658541216375,0.0303461455609264,0.13202111272998132,0.17865861495219343,0.02415206898242726,-0.02810747611225912,0.05194755315619293,0.02673348854815469,-0.028728970237151104,-0.05591526207173366,
Dial Attempt Calls,-0.014835930146117844,-0.010449650936142038,0.9606435167207344,0.24096599312529898,1.0,-0.02613595580904153,-0.009378952009000475,-0.02534857536082587,-0.04523711503799854,-0.03469700088601131,-0.059551371871943856,0.004852388259961542,-0.01129542494978192,0.0010881993618824758,0.0022187498896766916,0.018788712037955915,0.018583023890377397,0.012975469903377874,0.016077733547486973,-0.0019867831277652665,0.09003910537456505,0.02632436058317037,0.10012245672791928,-0.08431173940262057,-0.06498215171367548,-0.05946952941819918,0.054024888561226676,0.03409380634974562,0.002538840412568157,-0.04252871881835891,0.036165649611449496,0.03499871057261574,0.05058377060587695,-0.025248558468914904,0.06781164104984017,0.015897406600208313,-0.016450343690867578,-0.016901025698293763,
technical_quality_score,-0.09695025073346142,-0.043778970365974654,-0.01788277153665454,0.018391708829555535,-0.02613595580904153,1.0,0.07001037926092984,0.041918724657473,0.022965653226905358,0.01539346231051617,0.0032845848166761877,0.03328683535092371,0.03494535060018264,-0.0148822851297038,0.029601326950244804,-0.013159694523634783,0.0021189068443081423,0.0013400961085914195,0.044421484962925216,-0.031170964127170703,-0.00761335724831659,0.017656116828112328,-0.013397193329303793,0.07220423330528823,0.0455283565375015,0.0434612429400344,-0.002815082068687853,-0.02652859746531421,0.02765253276592031,0.06670972764279591,0.030716990637389426,0.036951290452639514,0.05872696484391557,0.07218857172117787,-0.014794150526256213,0.026317179410626713,-0.05289675862866934,0.02457465821572476,
customer_talk_percentage,-0.02352166416073774,-0.11057893086195084,0.005303448373508272,0.0477450104100462,-0.009378952009000475,0.07001037926092984,1.0,0.3187243250958841,0.3636691091045901,0.3412115272282624,0.2684005931906573,0.06609871724416602,0.11354908881722812,0.26658825340918424,0.13731610806097103,0.2605389234450395,0.16116132369701702,0.18879393034966482,0.193425299700916,0.14385831278209615,0.17695616952857954,0.053297458194260794,0.19761285900349593,0.24694934900518623,0.15536785402753353,0.33665925576911593,-0.14316472847454248,-0.018885761050156186,0.15085787471136697,0.14783315178244139,0.09821913527568514,0.07659031026827919,0.30021578034639307,0.5513617924727711,0.14169857120075105,0.14919976081960507,-0.14129027826916893,0.08508702982940891,
agent_talk_percentage,-0.04584164734225681,-0.04877435197717365,-0.02547028929852428,-0.01001633049669278,-0.02534857536082587,0.041918724657473,0.3187243250958841,1.0,0.3550999988296092,0.3112085405184181,0.2836421972761756,0.08158938819900344,0.19811333040190288,0.2595080854973264,0.14113187789033677,0.2692291236197487,0.2003874456564148,0.20202626617056377,0.2413498687261105,0.15760125742301972,0.10733333913931846,0.04910524451293053,0.1632799510593296,0.14922383302852307,0.1390025540880276,0.19789532184045652,0.42605567363820074,0.36870090367437114,0.2709564657355005,0.13900380326400233,0.16323433273359272,0.17037940602513102,0.3743356250701827,0.5408277922807014,0.14367575741072286,0.1652153305815851,-0.08826344413745708,0.08376135792061486,
total_discovery_questions,-0.06389755247800809,0.33647528297671825,-0.0185783873911298,0.07602601354205334,-0.04523711503799854,0.022965653226905358,0.3636691091045901,0.3550999988296092,1.0,0.8634594817398894,0.6533191112539921,0.48358122251389485,0.4292389715161831,0.17423785534909816,0.10068344036325211,0.08692540175356647,0.1311665102768247,0.12908051332262477,0.15807542677672076,0.061057392023905706,0.1056776329061457,0.034895690480924446,0.1309147234424197,0.10798090275026122,0.13758174559847552,0.41693403970241627,0.2261219868474823,0.3652289566831397,0.38684860361310713,0.32386367311497954,0.24151764188554847,0.09761191281150627,0.13489284413133465,0.327598438126951,0.15487567980807326,0.13759097977421955,0.2590112875128532,0.19197279870536904,
goal1_questions,-0.05848564909812732,0.30486411971119165,-0.007985388080825122,0.08020113788087806,-0.03469700088601131,0.01539346231051617,0.3412115272282624,0.3112085405184181,0.8634594817398894,1.0,0.28968256266265124,0.18867743745983784,0.37069281685900135,0.12655430886338334,0.12831784469588728,0.057312512152843505,0.09982787059830744,0.11441570334853034,0.1452836195925231,0.06198392644250763,0.1043623477723232,-0.02390334976702486,0.1264863884725744,0.11683317278112464,0.13020263303432303,0.39501650633040436,0.21517652378749963,0.3414556907149736,0.36034427200792507,0.33087371695125883,0.24429725370954397,0.08873702667844865,0.15550743775197848,0.3253269739843294,0.10910737095034333,0.1177648722931181,0.2279680840340824,0.15722352176434587,
