,TO_length_in_sec,TO_OMC_Duration,Calls Count,Connection Made Calls,Dial Attempt Calls,technical_quality_score,customer_talk_percentage,agent_talk_percentage,total_discovery_questions,goal1_questions,goal2_questions,goal3_questions,total_buying_signals,total_resistance_signals,time_to_reason_seconds,total_objections,objections_acknowledged,objections_rebutted,acknowledgement_rate,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,price_timeline_contract_before_dropoff,average_monologue_length,longest_monologue_length,extended_monologues_count,short_monologues,medium_monologues,long_monologues,very_long_monologues,total_interruptions,interruption_rate,name_usage_count,rapport_elements_count,empathy_responses,empathy_response_rate,total_call_duration,time_in_final_stage,call_duration_group
TO_length_in_sec,1.0,0.1005244699711588,-0.07754451330077312,-0.0860507351953491,-0.058863413786541766,-0.06943430199904256,0.09377590545080264,-0.024575956249998643,-0.03242116215112877,-0.016031008141128122,-0.04382119997049066,-0.008846873914603922,0.04359899926908182,0.09849369005959985,0.08574027397459519,0.11029962256429707,0.03974744493049926,0.08260328806963639,0.021100870018195786,0.08517544426070427,0.06392545005733832,-0.02989636636979943,0.09435041395872237,-0.05686134984734488,-0.039119942781513345,-0.023008630376884415,0.044700919044367564,0.08414159156406087,-0.039919630112742535,0.004578709149332605,0.0586427121659274,0.056054997411384706,0.08752449344650608,0.08072318225521737,0.019724225730244554,0.010902087621618027,0.10237239953192473,0.084233128752892,
TO_OMC_Duration,0.1005244699711588,1.0,-0.06571623555701794,-0.11635428345276805,-0.035754543337398664,0.0210547091862662,0.426635977979188,-0.135353070917108,0.6365510897804372,0.5539065768235356,0.4877613996079313,0.08194528148130815,0.35569706612083823,0.38480614754438025,0.1561594598084385,0.38592888677323484,0.2883705059457862,0.28994009750664773,0.28706655637618317,0.2082653694970122,0.15868888707647527,0.07095965015440814,0.25356409682536823,-0.1828686607090868,0.002088806973346793,0.34434488596984236,0.4389085847003639,0.5395428886326198,0.35121437611708944,0.0037669508368142024,0.32396434074521324,0.1492616149932073,0.16393861241499214,0.32608488685805026,0.1860920462915435,0.1785262716415818,0.9745669884135862,0.3301923312320846,
Calls Count,-0.07754451330077312,-0.06571623555701794,1.0,0.4946857700158144,0.9591905917698819,0.012484263331105368,-0.019659379582765694,0.01926575515580987,-0.09455309297563669,-0.08765201802448011,-0.051239121160358024,-0.06932409965638923,-0.09140490646972313,-0.043917505852871096,-0.06413222328535309,-0.027733546043528207,-0.040740449548830396,-0.015255562745400287,-0.04831029774633751,0.0206946989176371,0.00292281996014265,-0.021173314802603056,0.013145526622307177,0.044956998291338424,0.032846314672523094,-0.032120363713933286,-0.05531729867800277,-0.023395228884603596,-0.06240898565418544,0.08567655491574072,-0.03621888944828991,-0.04326149860516793,0.01577707132535554,-0.02726249783976266,-0.008366632046216533,0.002345717413073837,-0.0671222596117267,-0.018798208873002188,
Connection Made Calls,-0.0860507351953491,-0.11635428345276805,0.4946857700158144,1.0,0.22875886891336378,0.040451840450669525,-0.016564125630925134,0.04306051454284286,-0.10664059103523278,-0.0950187806049773,-0.07675874738341655,-0.05261370960034791,-0.07618864631465569,-0.023712491774035307,-0.055234262682320914,-0.013005635965225503,-0.010042599224685813,-0.014662788102977364,-0.0113370561500269,-0.033289434958318646,0.011085723342731842,0.04322103336205737,-0.004083045387183357,0.061610785324271444,0.002179870786405556,-0.060872385343533356,-0.08901564397681248,-0.01844769474906752,-0.05694981665282417,0.020476548603781113,-0.009590759790655,-0.0027174944054489196,-0.016950061640976524,-0.05031766868848303,-0.0035837238563688743,0.028958011944941655,-0.11921856903952831,-0.036394038100182984,
Dial Attempt Calls,-0.058863413786541766,-0.035754543337398664,0.9591905917698819,0.22875886891336378,1.0,0.0008555491873514945,-0.01663199115825298,0.007570238612504015,-0.07121632776044608,-0.06726741068662546,-0.03242089596436984,-0.06053442711946131,-0.07759772806131994,-0.04147872898281442,-0.05381275806898009,-0.026833982903965322,-0.04236759991456328,-0.012317712387934663,-0.05042573439585771,0.034011997706695406,-0.0003328688766816195,-0.037779449579198335,0.016053299307259,0.030312557564757533,0.03608326463566756,-0.016173961388737196,-0.03300113878930511,-0.02020383318882289,-0.05137773281419075,0.08930759682729968,-0.03744982488329554,-0.047574818952885345,0.023187399622337457,-0.014166538132983094,-0.008205811252655393,-0.006794214445068291,-0.036397567593218424,-0.009213415788539282,
technical_quality_score,-0.06943430199904256,0.0210547091862662,0.012484263331105368,0.040451840450669525,0.0008555491873514945,1.0,0.1483940601110288,0.21054916069101054,0.04066931412165632,0.022382504435214893,0.050453980126513816,0.0024795972139863482,0.022943821902140556,0.02580951458732641,0.06868087476882313,0.028235473258822977,-0.018889922237407552,0.006512449719624482,0.004840831927208919,0.031495517287001215,-0.021030619336816422,0.020269475757298303,0.006662313824062579,0.06394604256390302,0.08762959008346327,0.06004507268767086,0.07505896411704702,0.045439994678976,0.04217585010327102,0.04226853655970709,0.011794999680987423,0.030774251248892853,0.08034067183257447,0.13194717781317666,-0.015150813324349009,0.01866745283011395,0.005850189756700227,-0.09199676013450961,
customer_talk_percentage,0.09377590545080264,0.426635977979188,-0.019659379582765694,-0.016564125630925134,-0.01663199115825298,0.1483940601110288,1.0,0.08868161276755869,0.43379424331950034,0.4143278725947544,0.26302628210037504,0.05329418974506041,0.23562991572340633,0.41687962382074256,0.21672436518317106,0.4230088217706177,0.22978106344158003,0.28654338494377807,0.25513652275745846,0.16094792779449366,0.13949461989655237,0.03207217799838029,0.20565313077716765,-0.10924955694530114,0.07911011648895912,0.36773872736364527,0.12307043759064383,0.4798080770075965,0.3724707924883952,0.03245728910605936,0.244377919591642,0.200249393485191,0.3766990080810638,0.5484655963464468,0.16877234439163824,0.16090549394055711,0.4204963129272391,0.02749664362995521,
agent_talk_percentage,-0.024575956249998643,-0.135353070917108,0.01926575515580987,0.04306051454284286,0.007570238612504015,0.21054916069101054,0.08868161276755869,1.0,0.10194743105333572,0.08702273740127975,0.06968977956199317,0.04351454185503516,0.024998317220889094,0.08782129752857908,0.14029504354517258,0.09675264839113823,0.07109334107454289,0.03562110091846469,0.08739533256961912,0.02735805091119401,0.04211497216971771,0.011301670897213737,0.04906202397299226,0.34943143564693546,0.3422543497001283,0.1362887610640343,0.24625531784376908,0.14503447463683938,0.0923510746036413,0.1455785830523542,0.04978742336391445,0.0697091398250895,0.35860388131137555,0.4316721974162496,0.06091754763246191,0.0687235747405688,-0.14965991162124323,-0.1856571579948472,
total_discovery_questions,-0.03242116215112877,0.6365510897804372,-0.09455309297563669,-0.10664059103523278,-0.07121632776044608,0.04066931412165632,0.43379424331950034,0.10194743105333572,1.0,0.9069198250182897,0.6608579230036044,0.22857393989372152,0.1852331367452044,0.1957857302726017,0.05264577270404215,0.20312423882792094,0.15980788666977427,0.12636207426680612,0.1807732017199489,0.08586929263061958,0.06277422490671786,0.08163221899639218,0.10747217787353606,-0.12138662789048178,0.005506757625036312,0.2560929633956148,0.4779146572806042,0.5599077460830709,0.26911948475298697,-0.02831523093514567,0.28333760154759496,0.145341016770999,0.20980446085880147,0.4268123403808088,0.10117617010469122,0.09733029642886297,0.6244481065962392,0.23111280964659026,
goal1_questions,-0.016031008141128122,0.5539065768235356,-0.08765201802448011,-0.0950187806049773,-0.06726741068662546,0.022382504435214893,0.4143278725947544,0.08702273740127975,0.9069198250182897,1.0,0.3029608846148585,0.12514229903788845,0.10234470222806352,0.15753343890324878,0.049286967600954495,0.1639079282984437,0.12049782984495187,0.1595239343501949,0.1261415820256572,0.05367103277745708,0.04106830999726392,0.022403764507125414,0.0638651216451501,-0.11171651261107383,0.006227055121861401,0.19942531649388673,0.4090391568696542,0.4986908082247694,0.20503769180947817,-0.01367193702699859,0.257817133625587,0.1383877637198597,0.19043229585941943,0.3821127110640123,0.09823800743516804,0.08446398591408508,0.5400704205635339,0.20552853449700967,
