Variable,Importance
total_call_duration,0.9064443269986907
total_discovery_questions,0.02297105351696663
signal_ratio,0.011257497222501307
stages_skipped,0.006350390271384498
medium_monologues,0.006232376137268343
sentiment_early_middle,0.005826903568014724
long_monologues,0.004492929884865922
LQ_Service,0.004375354342703603
LQ_Customer_Name,0.003204919222790968
short_monologues,0.002812012521009314
service,0.0026534461835189356
primary_disconnect_reason,0.0025753199716918264
total_interruptions,0.002155818018251852
disconnect_stage,0.0018570810825165678
average_monologue_length,0.0016976809696726157
interruption_rate,0.001448118265780009
notable_sentiment_shifts,0.0012349869077507118
TO_length_in_sec,0.0010788744304016922
TO_Event_O,0.0008739576746372709
goal2_questions,0.000871839696044908
sentiment_opening,0.0007675522639782315
Calls Count,0.0007319183365549166
time_in_final_stage,0.0006483818813572645
omc_agent_sentiment_style,0.000579553875811009
advanced_discovery_used,0.0005610513625601756
sentiment_closing,0.00048499562150895997
customer_talk_percentage,0.00045127992712370774
ready_to_transfer,0.00043911255495275624
TO_OMC_Disposiion,0.0003853729228201355
LQ_Company_Name,0.00038414960493121783
price_mentions_final_2min,0.00032186739678190067
total_resistance_signals,0.0002954923181471438
sentiment_late_middle,0.00029508874261087404
very_long_monologues,0.00029057934079192556
goal1_questions,0.00028627861902319175
TO_User_M,0.000266692428461438
longest_monologue_length,0.00026514649474074204
ready_for_customers,0.00024574152461184106
call_structure_clarity,0.0002365915828713387
discovery_quality,0.00022014925565272663
technical_quality_issues,0.0001971178872545433
LQ_Company_Address,0.0001494246843394825
rapport_elements_count,0.0001395500701357329
within_45_seconds,0.00013272849464552168
roi_calculation_presented,0.00013083625539233386
TO_OMC_Call_Date_O,0.00012623016075214878
time_to_reason_seconds,0.00011832230408397618
price_timeline_contract_before_dropoff,0.00010178349073398959
empathy_responses,5.602088335988852e-05
hang_up_initiated_by,5.544613601006413e-05
assumptive_language_used,3.3085319790707484e-05
stages_out_of_order,2.9364791328168152e-05
name_usage_count,2.7887700843423012e-05
season_status,2.352695574061019e-05
lgs_call_not_transferred,2.204092507980492e-05
commitment_clarity,2.0017660836659132e-05
extended_monologues_count,1.4526577738528313e-05
TO_OMC_User,1.333347333460334e-05
timezone,7.321480106758256e-06
empathy_response_rate,6.5516395479404375e-06
followup_scheduled,5.915138785040922e-06
interruption_pattern,2.7961197854991407e-06
customer_sentiment_omc,2.1249907547492757e-06
script_adherence,2.033812355076693e-06
commitment_type,2.011891791283762e-06
omc_who_said_hello_first,1.709202854981106e-06
technical_quality_score,1.681464054176609e-06
agent_talk_percentage,1.056203009793346e-06
customer_sentiment_lgs,1.0012847625906848e-06
total_buying_signals,9.943425443602227e-07
total_objections,8.016299957923155e-07
customer_frustrations,5.949023706519502e-07
location_mentioned,1.363752247156168e-07
customer_knows_marketing,9.076841844822696e-08
acknowledgement_rate,2.4543913240820893e-08
call_result_tag,1.7190295624624914e-08
customer_marketing_experience,4.669146944690352e-09
is_decision_maker,3.3773483853350295e-09
objections_rebutted,1.0424686047786489e-09
LQ_User,8.071339362845902e-10
talk_ratio_classification,4.1000294041309234e-10
lgs_agent_gender,1.745442529643664e-13
season_month,0.0
Connection Made Calls,0.0
customer_language,0.0
lgs_extraction_success,0.0
who_said_hello_first_lgs,0.0
Dial Attempt Calls,0.0
lgs_sentiment_style,0.0
forbidden_industry,0.0
goal3_questions,0.0
customer_availability,0.0
contract_mentions_final_2min,0.0
objections_acknowledged,0.0
business_type_mentioned,0.0
timeline_mentions_final_2min,0.0
call_structure_framed,0.0
premature_closing_attempt,0.0
tone_assessment,0.0
personal_greeting,0.0
common_ground_established,0.0
sentiment_progression,0.0
name_used_first_minute,0.0
conversation_balance,0.0
full_sale_closed,0.0
payment_info_collected,0.0
