Variable,Importance
total_call_duration,0.25337773007718223
signal_ratio,0.0669797322359482
sentiment_late_middle,0.05258997610488746
total_buying_signals,0.05049899160575145
long_monologues,0.050395830218911905
total_discovery_questions,0.04927089860685396
extended_monologues_count,0.046012448781418094
goal2_questions,0.04351417722927649
discovery_quality,0.036228186186992827
goal1_questions,0.03331003090822419
short_monologues,0.029227908467079834
time_in_final_stage,0.026268977109882127
medium_monologues,0.02579150912067779
script_adherence,0.021383635764407865
longest_monologue_length,0.01862490792993385
stages_skipped,0.01778674209727223
disconnect_stage,0.013392935029450295
very_long_monologues,0.012500089020566757
price_timeline_contract_before_dropoff,0.011430805283487082
roi_calculation_presented,0.010324708466842457
total_interruptions,0.009877484429858136
sentiment_early_middle,0.009753774512351968
assumptive_language_used,0.007455629905282108
TO_OMC_Disposiion,0.007367032560454141
TO_length_in_sec,0.004927589888186896
call_result_tag,0.004474470098438775
average_monologue_length,0.004286994658864343
timeline_mentions_final_2min,0.003944159751971391
agent_talk_percentage,0.003512597758440912
talk_ratio_classification,0.003330323749851247
TO_Event_O,0.0031098486516095997
price_mentions_final_2min,0.0028914797666594553
total_objections,0.0026620820537151067
total_resistance_signals,0.002651051062315512
objections_rebutted,0.0024389068698938312
TO_OMC_Call_Date_O,0.002332232873870455
sentiment_opening,0.0022009300881194595
conversation_balance,0.002143493577183151
sentiment_closing,0.002140059809298991
interruption_rate,0.002120290011573945
advanced_discovery_used,0.0021106159654872034
primary_disconnect_reason,0.002023839967977865
interruption_pattern,0.001975669224587995
LQ_Service,0.0018077666354313062
time_to_reason_seconds,0.0016716664679750737
LQ_User,0.0016626862515825337
notable_sentiment_shifts,0.0016393308462534742
service,0.0016337281669622742
customer_frustrations,0.0015590490305429187
customer_sentiment_omc,0.0015034176211835989
LQ_Company_Address,0.0014866962298004497
LQ_Company_Name,0.0014264271272174573
omc_agent_sentiment_style,0.0014169383169901652
customer_talk_percentage,0.0014089164184288426
goal3_questions,0.0012864557683538928
sentiment_progression,0.0012531853827765823
TO_OMC_User,0.0012519240195720937
name_usage_count,0.001213606546169033
TO_User_M,0.0010912289261390885
LQ_Customer_Name,0.0010910096168652511
call_structure_clarity,0.001073105627187219
stages_out_of_order,0.001002031418757105
commitment_type,0.0009251023395823077
customer_marketing_experience,0.0007930212621214852
technical_quality_score,0.000773240353145128
omc_who_said_hello_first,0.0007272061467249772
tone_assessment,0.000690618919968746
lgs_sentiment_style,0.000669176386058398
ready_to_transfer,0.0006452525996394265
customer_availability,0.0006367698409218719
is_decision_maker,0.0006096996601067031
commitment_clarity,0.0005621432150359642
customer_sentiment_lgs,0.0005604817768139243
customer_language,0.000551215332773902
name_used_first_minute,0.0005502610513293839
technical_quality_issues,0.0005043176577640662
ready_for_customers,0.00048420826265241487
Calls Count,0.0004445905869752898
rapport_elements_count,0.0004385444349249957
customer_knows_marketing,0.0003998256769749666
hang_up_initiated_by,0.00037884929024154494
Dial Attempt Calls,0.00037612501054992925
lgs_agent_gender,0.0003468554937271324
acknowledgement_rate,0.0003432813150002315
who_said_hello_first_lgs,0.0003430926193016675
personal_greeting,0.0003293137089421163
timezone,0.00028434591739932277
empathy_response_rate,0.00024220851130337922
lgs_call_not_transferred,0.00022612849265862337
empathy_responses,0.00019255234857734656
objections_acknowledged,0.00018812128126882659
location_mentioned,0.00018706727520114574
within_45_seconds,0.00016612303752741307
season_status,0.0001504545315090181
business_type_mentioned,6.452573217066699e-05
followup_scheduled,5.6144246203969026e-05
Connection Made Calls,2.1313775470702024e-05
call_structure_framed,1.7874010205143417e-05
lgs_extraction_success,0.0
forbidden_industry,0.0
season_month,0.0
contract_mentions_final_2min,0.0
common_ground_established,0.0
premature_closing_attempt,0.0
full_sale_closed,0.0
payment_info_collected,0.0
