Variable,Correlation,Abs_Correlation,P_Value,Significant
total_call_duration,0.9387423728311953,0.9387423728311953,5.046462980118021e-283,Yes
extended_monologues_count,0.5317590277625,0.5317590277625,1.1167459555379689e-45,Yes
very_long_monologues,0.5308526247424323,0.5308526247424323,1.6798830501639798e-45,Yes
long_monologues,0.5118071107052304,0.5118071107052304,6.76148112036936e-42,Yes
total_buying_signals,0.4580559729772704,0.4580559729772704,7.223226378044983e-33,Yes
time_in_final_stage,0.44920988781256554,0.44920988781256554,1.7626602788140547e-31,Yes
medium_monologues,0.38124510649561427,0.38124510649561427,1.8088591735193e-22,Yes
objections_rebutted,0.35939814146299526,0.35939814146299526,5.63019868390382e-20,Yes
total_discovery_questions,0.33647528297671836,0.33647528297671836,1.4689625398262737e-17,Yes
goal1_questions,0.30486411971119187,0.30486411971119187,1.524437307836942e-14,Yes
total_interruptions,0.2859438954900354,0.2859438954900354,6.633329640528803e-13,Yes
short_monologues,0.2626173100316053,0.2626173100316053,4.768025548932574e-11,Yes
longest_monologue_length,0.2583772695762651,0.2583772695762651,1.0287226711078416e-10,Yes
objections_acknowledged,0.2526798346543571,0.2526798346543571,2.6068880698267077e-10,Yes
total_resistance_signals,0.2496822580956462,0.2496822580956462,4.291083064518949e-10,Yes
price_timeline_contract_before_dropoff,0.24796683292297944,0.24796683292297944,5.690754118474865e-10,Yes
goal3_questions,0.23381870977906616,0.23381870977906616,5.391178080699713e-09,Yes
empathy_responses,0.22833655751520893,0.22833655751520893,1.2406212044591904e-08,Yes
total_objections,0.21518246069883834,0.21518246069883834,8.421069428763341e-08,Yes
timeline_mentions_final_2min,0.17917999836850204,0.17917999836850204,8.936820605269944e-06,Yes
price_mentions_final_2min,0.1535437585740937,0.1535437585740937,0.00014423040598518432,Yes
average_monologue_length,0.14846261667291677,0.14846261667291677,0.00024203002205774862,Yes
goal2_questions,0.14507964845290394,0.14507964845290394,0.00033199019702088983,Yes
acknowledgement_rate,0.1424913015180849,0.1424913015180849,0.0004246517092571182,Yes
empathy_response_rate,0.12949633563193313,0.12949633563193313,0.0013743301101019935,Yes
customer_talk_percentage,-0.11057893086195109,0.11057893086195109,0.006388862136117254,Yes
TO_length_in_sec,0.08146073858060854,0.08146073858060854,0.04448492535592262,Yes
contract_mentions_final_2min,0.07699114458256626,0.07699114458256626,0.057784214016745224,No
time_to_reason_seconds,0.05795496364664519,0.05795496364664519,0.15520417281905535,No
agent_talk_percentage,-0.04877435197717367,0.04877435197717367,0.23017467782712966,No
technical_quality_score,-0.04377897036597476,0.04377897036597476,0.2896328639529435,No
name_usage_count,-0.011093332334317958,0.011093332334317958,0.7848677653216045,No
rapport_elements_count,-0.01102554671213986,0.01102554671213986,0.7861503670060901,No
Dial Attempt Calls,-0.01044965093614204,0.01044965093614204,0.7969063355289685,No
interruption_rate,-0.010275956988912805,0.010275956988912805,0.8003715596295653,No
Connection Made Calls,0.007655653534732278,0.007655653534732278,0.8504531550942555,No
Calls Count,-0.007126503905705398,0.007126503905705398,0.8606802942241101,No
