Variable,Correlation,Abs_Correlation,P_Value,Significant
total_call_duration,0.974566988413586,0.974566988413586,0.0,Yes
total_discovery_questions,0.6365510897804363,0.6365510897804363,1.6884174893048746e-70,Yes
goal1_questions,0.5539065768235347,0.5539065768235347,2.9062225841032464e-50,Yes
medium_monologues,0.5395428886326198,0.5395428886326198,2.677612139545221e-47,Yes
goal2_questions,0.48776139960793147,0.48776139960793147,1.0195310880658599e-37,Yes
short_monologues,0.43890858470036287,0.43890858470036287,4.567050616855822e-30,Yes
customer_talk_percentage,0.42663597797918856,0.42663597797918856,2.4811164699176463e-28,Yes
total_objections,0.38592888677323456,0.38592888677323456,4.5964116227699285e-23,Yes
total_resistance_signals,0.38480614754438025,0.38480614754438025,6.274926942027781e-23,Yes
total_buying_signals,0.3556970661208376,0.3556970661208376,1.332015497860185e-19,Yes
long_monologues,0.3512143761170895,0.3512143761170895,4.0476005868708324e-19,Yes
extended_monologues_count,0.3443448859698419,0.3443448859698419,2.147937391093114e-18,Yes
time_in_final_stage,0.3301923312320841,0.3301923312320841,6.238270036848743e-17,Yes
rapport_elements_count,0.32608488685804987,0.32608488685804987,1.4897389382241893e-16,Yes
total_interruptions,0.32396434074521274,0.32396434074521274,2.393399819526607e-16,Yes
objections_rebutted,0.2899400975066474,0.2899400975066474,2.9261264789523996e-13,Yes
objections_acknowledged,0.288370505945786,0.288370505945786,3.9730644260643484e-13,Yes
acknowledgement_rate,0.2870665563761828,0.2870665563761828,5.115045034904365e-13,Yes
price_timeline_contract_before_dropoff,0.2535640968253682,0.2535640968253682,2.1725137216774304e-10,Yes
price_mentions_final_2min,0.20826536949701205,0.20826536949701205,2.1489456051264013e-07,Yes
empathy_responses,0.18609204629154352,0.18609204629154352,3.7754564597689744e-06,Yes
average_monologue_length,-0.18286866070908678,0.18286866070908678,5.574911352734354e-06,Yes
empathy_response_rate,0.17852627164158172,0.17852627164158172,9.324986869486303e-06,Yes
name_usage_count,0.16393861241499214,0.16393861241499214,4.805596156057634e-05,Yes
timeline_mentions_final_2min,0.1586888870764755,0.1586888870764755,8.388694959507375e-05,Yes
time_to_reason_seconds,0.15615945980843832,0.15615945980843832,0.00017477311519300867,Yes
interruption_rate,0.1492616149932073,0.1492616149932073,0.00021848304357725127,Yes
agent_talk_percentage,-0.13535307091710774,0.13535307091710774,0.0008116433475223916,Yes
Connection Made Calls,-0.11635428345276803,0.11635428345276803,0.0040370171653077895,Yes
TO_length_in_sec,0.1005244699711587,0.1005244699711587,0.013067358422001265,Yes
goal3_questions,0.08194528148130811,0.08194528148130811,0.0432295217752314,Yes
contract_mentions_final_2min,0.07095965015440826,0.07095965015440826,0.08016225238553468,No
Calls Count,-0.06571623555701776,0.06571623555701776,0.10519787342070229,No
Dial Attempt Calls,-0.03575454333739866,0.03575454333739866,0.37841696904945543,No
technical_quality_score,0.02105470918626619,0.02105470918626619,0.6094747863329535,No
very_long_monologues,0.0037669508368142184,0.0037669508368142184,0.9260863843774558,No
longest_monologue_length,0.0020888069733468163,0.0020888069733468163,0.9589736563773389,No
