Feature,Mean_Abs_SHAP_RF,Mean_Abs_SHAP_GB,RF_Norm,GB_Norm,Combined_SHAP_Score
total_call_duration,0.16475443332684,6.194239884263829,1.0,1.0,1.0
total_discovery_questions,0.04556368537047574,0.4841850689996044,0.27655513997663694,0.07816698707934341,0.1773610635279902
signal_ratio,0.041789684806022104,0.3477908841896474,0.2536483174514624,0.056147467758424004,0.1548978926049432
long_monologues,0.029748403723517183,0.47347011513042825,0.18056208335530657,0.07643716161740144,0.128499622486354
total_buying_signals,0.03782296952404511,0.05607388851079929,0.22957178608366713,0.009052585879544692,0.11931218598160591
sentiment_late_middle,0.03305992825474469,0.18716524143550106,0.2006618431272218,0.03021601438313447,0.11543892875517814
medium_monologues,0.031570489095900565,0.18301431731230225,0.19162148452339972,0.029545887910676725,0.11058368621703822
short_monologues,0.017887365666193103,0.6802070981481847,0.10856985942653288,0.10981284400628694,0.10919135171640991
extended_monologues_count,0.0230158309142089,0.021395791142326544,0.13969779416223704,0.003454143130084699,0.07157596864616086
time_in_final_stage,0.015069689872828857,0.05929214006329338,0.0914675834120566,0.009572141404132931,0.050519862408094765
discovery_quality,0.013547527004890324,0.09066247576570148,0.08222860369417026,0.014636578088624752,0.04843259089139751
goal2_questions,0.014231780585584814,0.0210936875252696,0.08638177618778728,0.0034053714288426423,0.04489357380831496
goal1_questions,0.012897075969432872,0.01694391933038142,0.078280600460976,0.0027354315698083693,0.04050801601539218
longest_monologue_length,0.009849814795662923,0.09221366316668943,0.05978482397570966,0.014887002261722838,0.03733591311871625
sentiment_early_middle,0.008824588909727798,0.11136152789472652,0.05356207254357502,0.017978239457214946,0.03577015600039499
stages_skipped,0.00711270772184281,0.10024218492169819,0.043171571035861674,0.016183129293451917,0.029677350164656793
disconnect_stage,0.00762549601452133,0.0380498125549205,0.04628401106144357,0.006142773490510795,0.026213392275977184
TO_length_in_sec,0.004062558170987846,0.08935037463459256,0.02465826314323536,0.01442475207677748,0.01954150761000642
script_adherence,0.0037872944745656525,0.054126567493306986,0.022987511765783043,0.008738209773052695,0.01586286076941787
average_monologue_length,0.002330365252932704,0.07849850152303417,0.014144476757780005,0.012672822330057941,0.013408649543918974
total_interruptions,0.0023489553225830148,0.07349578032796492,0.014257311776995737,0.011865181475240802,0.01306124662611827
very_long_monologues,0.0036444337685973527,0.002626398427687664,0.02212039879599186,0.00042400657332627756,0.011272202684659068
TO_OMC_Disposiion,0.003289601024680402,0.008919978422098608,0.019966691992770163,0.001440044071389516,0.01070336803207984
call_result_tag,0.0027164349528084335,0.030121361542055112,0.01648778061965451,0.004862801910300083,0.010675291264977295
TO_Event_O,0.0014580936625563097,0.0680083019654823,0.008850102744511536,0.010979281273599711,0.009914692009055624
price_timeline_contract_before_dropoff,0.0032306656320491758,0.0,0.01960897541154585,0.0,0.009804487705772925
rapport_elements_count,0.0009545807100462505,0.08369192798866736,0.005793960689073249,0.013511250702654043,0.009652605695863646
roi_calculation_presented,0.0026079553726382275,0.019421485417326256,0.01582934868565608,0.003135410604078414,0.009482379644867247
total_objections,0.0016720475843542452,0.04511698335744811,0.010148725898241753,0.007283699727559092,0.008716212812900422
price_mentions_final_2min,0.0020652810904787464,0.025918411229411232,0.012535511480784495,0.004184276313750089,0.008359893897267292
agent_talk_percentage,0.0021949106425473144,0.010495555276162192,0.013322316117545975,0.0016944056853247886,0.007508360901435382
interruption_rate,0.0008951381865003016,0.05505983926816968,0.0054331660060675,0.008888877456626532,0.007161021731347016
total_resistance_signals,0.0018066352633861393,0.02017666134036669,0.010965624577774696,0.003257326438329348,0.007111475508052022
talk_ratio_classification,0.001886849360080719,0.006040647283434253,0.011452495219582866,0.0009752039630851607,0.0062138495913340135
customer_talk_percentage,0.0011399101269745225,0.03256543705888527,0.006918843420214179,0.005257374216587286,0.006088108818400733
time_to_reason_seconds,0.0008486453701645756,0.04086880750031829,0.005150971376175548,0.0065978729051394255,0.005874422140657486
timeline_mentions_final_2min,0.0017578813932443882,0.0,0.01066970616661405,0.0,0.005334853083307025
acknowledgement_rate,0.0012345795262642969,1.2435158928947517e-07,0.007493452536206639,2.0075358980749914e-08,0.00374673630578281
assumptive_language_used,0.0006048690541970986,0.02239554390809821,0.0036713370437635433,0.003615543525363463,0.0036434402845635034
objections_rebutted,0.0011517475777774937,0.0017123766652941763,0.006990692478014571,0.0002764466177108167,0.003633569547862694
name_usage_count,0.0007347440602272483,0.009921782640563958,0.004459631497561357,0.0016017756538247371,0.003030703575693047
objections_acknowledged,0.0008503867984348901,0.004276313462874409,0.005161541217818958,0.0006903693661813421,0.00292595529200015
technical_quality_score,0.0003650329878764954,0.01983865073987943,0.002215618605857741,0.003202757902592468,0.0027091882542251045
Calls Count,0.0004707198903724046,0.002567378542849536,0.0028570999934101316,0.00041447838488978104,0.0016357891891499562
empathy_responses,0.0001386069605901162,0.01357080968238985,0.0008412942692421975,0.0021908757064552577,0.0015160849878487275
empathy_response_rate,0.0004196982493215907,0.0,0.0025474170305875344,0.0,0.0012737085152937672
Dial Attempt Calls,0.00040588122966014797,1.6385136875511762e-05,0.00246355270364689,2.645221557714841e-06,0.0012330989626023023
Connection Made Calls,6.756854865667146e-05,0.0,0.00041011672519081113,0.0,0.00020505836259540557
contract_mentions_final_2min,0.0,0.0,0.0,0.0,0.0
goal3_questions,0.0,0.0,0.0,0.0,0.0
