Feature,Mean_Abs_SHAP
total_call_duration,6.194239884263829
short_monologues,0.6802070981481847
total_discovery_questions,0.4841850689996044
long_monologues,0.47347011513042825
signal_ratio,0.3477908841896474
sentiment_late_middle,0.18716524143550106
medium_monologues,0.18301431731230225
sentiment_early_middle,0.11136152789472652
stages_skipped,0.10024218492169819
longest_monologue_length,0.09221366316668943
discovery_quality,0.09066247576570148
TO_length_in_sec,0.08935037463459256
rapport_elements_count,0.08369192798866736
average_monologue_length,0.07849850152303417
total_interruptions,0.07349578032796492
TO_Event_O,0.0680083019654823
time_in_final_stage,0.05929214006329338
total_buying_signals,0.05607388851079929
interruption_rate,0.05505983926816968
script_adherence,0.054126567493306986
total_objections,0.04511698335744811
time_to_reason_seconds,0.04086880750031829
disconnect_stage,0.0380498125549205
customer_talk_percentage,0.03256543705888527
call_result_tag,0.030121361542055112
price_mentions_final_2min,0.025918411229411232
assumptive_language_used,0.02239554390809821
extended_monologues_count,0.021395791142326544
goal2_questions,0.0210936875252696
total_resistance_signals,0.02017666134036669
technical_quality_score,0.01983865073987943
roi_calculation_presented,0.019421485417326256
goal1_questions,0.01694391933038142
empathy_responses,0.01357080968238985
agent_talk_percentage,0.010495555276162192
name_usage_count,0.009921782640563958
TO_OMC_Disposiion,0.008919978422098608
talk_ratio_classification,0.006040647283434253
objections_acknowledged,0.004276313462874409
very_long_monologues,0.002626398427687664
Calls Count,0.002567378542849536
objections_rebutted,0.0017123766652941763
Dial Attempt Calls,1.6385136875511762e-05
acknowledgement_rate,1.2435158928947517e-07
price_timeline_contract_before_dropoff,0.0
Connection Made Calls,0.0
timeline_mentions_final_2min,0.0
contract_mentions_final_2min,0.0
empathy_response_rate,0.0
goal3_questions,0.0
