Feature,Mean_Abs_SHAP
total_call_duration,0.16475443332684
total_discovery_questions,0.04556368537047574
signal_ratio,0.041789684806022104
total_buying_signals,0.03782296952404511
sentiment_late_middle,0.03305992825474469
medium_monologues,0.031570489095900565
long_monologues,0.029748403723517183
extended_monologues_count,0.0230158309142089
short_monologues,0.017887365666193103
time_in_final_stage,0.015069689872828857
goal2_questions,0.014231780585584814
discovery_quality,0.013547527004890324
goal1_questions,0.012897075969432872
longest_monologue_length,0.009849814795662923
sentiment_early_middle,0.008824588909727798
disconnect_stage,0.00762549601452133
stages_skipped,0.00711270772184281
TO_length_in_sec,0.004062558170987846
script_adherence,0.0037872944745656525
very_long_monologues,0.0036444337685973527
TO_OMC_Disposiion,0.003289601024680402
price_timeline_contract_before_dropoff,0.0032306656320491758
call_result_tag,0.0027164349528084335
roi_calculation_presented,0.0026079553726382275
total_interruptions,0.0023489553225830148
average_monologue_length,0.002330365252932704
agent_talk_percentage,0.0021949106425473144
price_mentions_final_2min,0.0020652810904787464
talk_ratio_classification,0.001886849360080719
total_resistance_signals,0.0018066352633861393
timeline_mentions_final_2min,0.0017578813932443882
total_objections,0.0016720475843542452
TO_Event_O,0.0014580936625563097
acknowledgement_rate,0.0012345795262642969
objections_rebutted,0.0011517475777774937
customer_talk_percentage,0.0011399101269745225
rapport_elements_count,0.0009545807100462505
interruption_rate,0.0008951381865003016
objections_acknowledged,0.0008503867984348901
time_to_reason_seconds,0.0008486453701645756
name_usage_count,0.0007347440602272483
assumptive_language_used,0.0006048690541970986
Calls Count,0.0004707198903724046
empathy_response_rate,0.0004196982493215907
Dial Attempt Calls,0.00040588122966014797
technical_quality_score,0.0003650329878764954
empathy_responses,0.0001386069605901162
Connection Made Calls,6.756854865667146e-05
contract_mentions_final_2min,0.0
goal3_questions,0.0
