Variable,Std_Dev,Mean,Coefficient_of_Variation,Variability
goal3_questions,0.2650491627626575,0.04597701149425287,576.4819290087801,High
price_mentions_final_2min,0.8287098427416669,0.2545155993431856,325.6027704707581,High
total_buying_signals,0.7891743879996471,0.33004926108374383,239.10806084168414,High
objections_acknowledged,0.9458624744570151,0.47783251231527096,197.94853846883925,High
Dial Attempt Calls,1.7250010802865858,0.8866995073891626,194.5417884989872,High
objections_rebutted,0.8407938878027629,0.4367816091954023,192.49754799694833,High
goal2_questions,1.1769443098823813,0.6518883415435139,180.5438500550051,High
acknowledgement_rate,38.58865529261356,22.326223316912973,172.84004887374377,High
goal1_questions,2.149330168009896,1.7733990147783252,121.19834002944691,High
total_resistance_signals,1.6662717750140437,1.3842364532019704,120.37479371097896,High
total_objections,1.452968792859619,1.2479474548440066,116.42868353309316,High
total_discovery_questions,2.789725909612778,2.4729064039408866,112.81162542856455,High
time_to_reason_seconds,15.405346041460652,14.762652705061083,104.35350847330598,High
Calls Count,1.9322445072719991,2.12807881773399,90.79760068893886,High
customer_talk_percentage,18.654882390100564,32.43233169129721,57.51939936870576,High
TO_OMC_Duration,76.0778250668354,142.26272577996716,53.47699100360438,High
TO_length_in_sec,81.49409230642841,164.57799671592775,49.5170034467563,Medium
Connection Made Calls,0.561244565937986,1.2413793103448276,45.211367811671096,Medium
agent_talk_percentage,25.01866818786997,55.580000000000005,45.013796667632185,Medium
technical_quality_score,1.1645958358820694,4.1407783417935695,28.125046543245467,Medium
