,LQ_Company_Name,LQ_Company_Address,LQ_Service,LQ_Customer_Name,Calls Count,Connection Made Calls,TO_Event_O,timezone,season_status,TO_User_M,lgs_sentiment_style,lgs_agent_gender,TO_length_in_sec,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,customer_sentiment_lgs,customer_sentiment_omc,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,TO_OMC_Disposiion,omc_agent_sentiment_style,omc_who_said_hello_first,customer_talk_percentage,total_discovery_questions,total_buying_signals,time_to_reason_seconds,location_mentioned,business_type_mentioned,within_45_seconds,call_structure_framed,total_objections,objections_acknowledged,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,objections_rebutted,total_interruptions,commitment_type,call_result_tag
LQ_Company_Name,1.0,0.7068363454884249,0.6915752253039384,0.6837031032917423,-0.053810464612920286,0.019224548253458255,0.6384518380882926,0.05327923437038997,-0.04001765534890495,0.28756076701257666,0.15357541211526912,0.024395453416737708,0.1698683829923189,0.050899097825303594,0.08139256309444845,0.0,0.09730469690387787,0.18434625536213328,0.23811881302557159,0.05782462424539381,0.06726152850868972,0.06599869954926006,0.09985630415061343,0.12519326924256632,-0.03639657413445604,0.2967075166684672,0.4269227174983525,0.21945682068091332,0.1491094738337828,0.11312849223608189,0.5324423881364628,0.49151426421949135,-0.0009229630861222997,0.14555468144514103,0.09994028892229648,0.11703976396686865,0.24491750067641868,0.28578714303311237,0.24986274656237842,0.31111042189144594,0.22735757253219202,0.1334411949321779,0.25028714035312516,0.3760998228888329,0.22047041393266426,0.44131523015857943
LQ_Company_Address,0.7068363454884249,1.0,0.6785637707130229,0.7765291762116516,-0.025060157564745486,0.0006775317338862785,0.729152624346623,0.202597301478678,-0.06915909530835422,0.38704941933429254,0.20664698564193135,0.18063372004249478,0.22373604850329915,0.2091541037753871,0.15547181413722894,0.10917109228534479,0.13737336070601144,0.2728772159712475,0.3199501938878262,0.17434400201158515,0.1502092783961489,0.14268308624107282,0.13944896563398554,0.23896875295022954,0.030243310134836714,0.2272913285580844,0.5565199690244349,0.2733548002169631,0.20662208569710885,0.23854906940350853,0.5701246890297688,0.5398774491805943,0.1455244403278865,0.21427009866470403,0.14318544444005984,0.15464588934395074,0.331249175331378,0.4142009760709135,0.32945892194893134,0.4686077431063756,0.38045173450377556,0.0915381794027484,0.3138266418642467,0.4589151179578288,0.2884894340212997,0.5354665381427376
LQ_Service,0.6915752253039384,0.6785637707130229,1.0,0.6885007519665886,-0.03335985871583981,-0.008649082964241992,0.6875640528552351,0.10429181443629584,0.03297733685800872,0.3834203379065488,0.12579778897115265,0.11112450574847446,0.15858953570901618,0.09166172628732672,0.1376787508975663,0.07969569422877248,0.08952074036926974,0.20119379033523802,0.3018235506940154,0.03332429009396368,0.1332019441438562,0.09425693189871644,0.03608439866402617,0.10640761387279664,-0.017061945485694664,0.2294178394022058,0.4555002711598456,0.2084659951384115,0.1662448213703515,0.19194052889978014,0.4635736390885525,0.4163850146083867,-0.00042641717856037564,0.207462431297306,0.08875340529871825,0.17858393588618518,0.3039887955814281,0.23815686324739008,0.22256311569778725,0.37087722725794553,0.2146835248703881,0.029961766635942372,0.21075771342818697,0.29444311567630316,0.2356073855957478,0.4029492321780049
LQ_Customer_Name,0.6837031032917423,0.7765291762116516,0.6885007519665886,1.0,-0.06423860170282374,-0.01846768777031381,0.705752177605587,0.12365436058005516,0.009623558604134105,0.3127698321155252,0.12076111279684461,0.1595787852418438,0.20832587864187424,0.09360544534815904,0.11061843984869925,0.062250593933138657,0.08958390605413893,0.209572923344468,0.34975768515227595,0.022133704474356596,0.0906825307117648,0.03009003819618858,0.05319272535376645,0.1450927780797246,-0.0014467193899538194,0.23192020172297984,0.4841591033091811,0.28518786463454954,0.13816947048406542,0.2228242950565739,0.5561311019863155,0.5166480201663759,0.07905710132419998,0.24571014694212404,0.1252563340610233,0.2037388415293149,0.33627592878116275,0.3178749876350708,0.249738588688399,0.40367709666042856,0.26100182045263937,0.08281408825863129,0.2980841353497567,0.34255114345715354,0.214579532347443,0.4952378512734851
Calls Count,-0.053810464612920286,-0.025060157564745486,-0.03335985871583981,-0.06423860170282374,1.0,0.5751772092361453,-0.05850957286625105,0.1816180443237042,0.02267066806086568,-0.047030352565943984,-0.015565881457962708,-0.1643655243071379,-0.1952218943001819,-0.1000038581756423,-0.10577467009931786,0.0,0.13348921475479406,-0.10015396667576189,-0.031568818383753125,0.07733354635826886,0.020237899366150957,-0.10566609643285713,-0.008238188799560247,0.06688480757464044,-0.0007657846781408703,-0.04576207080480544,-0.016054742561153384,-0.03802013547219358,-0.027660653037627884,-0.061658699718016394,-0.18259390144058688,-0.14962965759910066,-0.14899443752444982,-0.09880135207593238,-0.04138647924546167,-0.06229872620336109,-0.11496869439116703,-0.0035054816358973005,-0.03549581439617188,-0.060033344497776225,0.05085506013959197,-0.021632886008600798,0.03415432814475681,-0.13425857424244167,0.007912241419084323,-0.13186709166161376
Connection Made Calls,0.019224548253458255,0.0006775317338862785,-0.008649082964241992,-0.01846768777031381,0.5751772092361453,1.0,0.038145662253300926,0.2267204837494306,0.03740229572572615,-0.16369874763837935,-0.06441298891899776,-0.06832233625425295,-0.23347566977472395,-0.10322673608452859,-0.10111171506074311,0.0,0.11736664134574643,-0.1926279577959872,-0.03218069855457664,0.0019037497649967842,0.017362927177937436,-0.13294914659981574,-0.05649911297449664,-0.15143742673413513,0.08558462176670398,-0.036996676062517025,0.04431700135624141,-0.13925622959989425,0.09218211851120041,-0.033203435142919804,-0.1292226680483663,-0.06727902643837409,-0.08818450368860936,-0.04168646318377492,-0.04272126364483883,-0.018709135912210274,-0.0692541781184532,-0.0383772605638077,-0.05848580042032461,-0.14769876233634657,-0.027654943866523826,0.04099893945087023,-0.013761694224965537,-0.04691076269430376,0.0014734767439590509,-0.09850589631794833
TO_Event_O,0.6384518380882926,0.729152624346623,0.6875640528552351,0.705752177605587,-0.05850957286625105,0.038145662253300926,1.0,0.14449452948545238,0.014563843611127482,0.3713250137639271,0.10933180679100889,0.12420818610012893,0.18095015032320252,0.1508607361176388,0.10314711798830653,0.16789511490234005,0.15158435685874,0.18257115530881032,0.33896552199514784,0.11588633367752191,0.15509666848499284,0.10817931075533319,0.13558898549030765,0.11469249038490206,0.039942511220635815,0.23943319687378942,0.5850266632394077,0.24672359097085791,0.12913149921220676,0.16066925882713082,0.5316187683748073,0.5922736530373394,0.11152764347993806,0.18345850027219476,0.08155907749722997,0.13788439452656082,0.36220282168845647,0.2920280565246537,0.2640004294790033,0.46060597519072566,0.2828680792206375,0.15278932969825798,0.2779062880789872,0.37255507338120336,0.25272285898177094,0.4706882779491848
timezone,0.05327923437038997,0.202597301478678,0.10429181443629584,0.12365436058005516,0.1816180443237042,0.2267204837494306,0.14449452948545238,1.0,0.06700868131470447,0.08943061997447553,0.09241274938670159,0.11539508746824423,-0.17865644433342265,0.10307115543918037,-0.12683054932138124,0.09377677740180716,0.11024846970602281,-0.03739392910395249,0.0517257544199371,0.13988954271174361,0.12799832244835568,0.15731009316648759,0.11457693480319384,0.18423969748438523,0.18862970893764508,-0.037576404710704704,0.30771547780111247,0.006860789937764724,0.09676054052324269,0.06298115284101702,0.10576721057068184,0.12636530115475236,0.1187858232232138,0.15029715582767986,0.16274830123499764,0.21000069668613683,0.1487044525064842,0.16678787096263226,0.08505876996666621,0.05044408348665534,0.07270354970017304,0.07899285503342814,0.08858477039370283,0.11449567661628832,0.019660463490331077,0.05521184098105155
season_status,-0.04001765534890495,-0.06915909530835422,0.03297733685800872,0.009623558604134105,0.02267066806086568,0.03740229572572615,0.014563843611127482,0.06700868131470447,1.0,-0.0017756581810294068,-0.06084947580968903,0.06508257233757167,0.006373888239547394,0.046122792264745374,0.009180381903886025,0.055697184224364406,0.03004170778086806,0.059158405977398056,0.012475176093362406,0.004911308917595362,0.012678313832598667,0.0034511691610762067,0.0352461590310854,0.02866151455202177,0.0664058201664841,-0.00825082161279346,0.10246191616265578,0.125614006289852,0.05605517821196813,0.1432557895681226,0.025698077886539397,0.09648234195942679,0.025377052175676235,0.09952269477412942,0.02190633280805322,0.1441575543930286,0.02818741886162554,0.13978466850564594,0.01962682293049387,-0.06224654201497144,-0.034643273730019006,0.10010966361480482,0.03647787889155519,-0.12354057000924677,0.09611569295591285,-0.0396092013848032
TO_User_M,0.28756076701257666,0.38704941933429254,0.3834203379065488,0.3127698321155252,-0.047030352565943984,-0.16369874763837935,0.3713250137639271,0.08943061997447553,-0.0017756581810294068,1.0,0.18950481851561018,0.19648570491601955,0.336704859461675,0.29059233576755467,0.14102362709927221,0.19589214206999514,0.08551768258156035,0.24230545588591387,0.26432079318281304,0.1257923095591441,0.1251431037222575,0.18340660690394048,0.17946463239795726,0.20324875687689686,-0.07976661792618593,0.20818180044673584,0.30978246036242996,0.11320029331516858,0.06120872216370637,0.08460457570351855,0.2766355329980255,0.32088863011130825,0.0493530387102763,0.06951646143236628,-0.05706868477372894,0.007555272988675431,0.14485404450562112,0.0620784594014022,0.13125107633356214,0.26104243981187,0.22567681219293007,-0.05643246184120256,0.07613757436170317,0.2205067292193963,0.16539226765228904,0.13914990679375897
