,LQ_Company_Name,LQ_Company_Address,LQ_Service,LQ_Customer_Name,Calls Count,Connection Made Calls,TO_Event_O,timezone,season_status,TO_User_M,lgs_sentiment_style,lgs_agent_gender,TO_length_in_sec,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,customer_sentiment_lgs,customer_sentiment_omc,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,TO_OMC_Disposiion,omc_agent_sentiment_style,omc_who_said_hello_first,customer_talk_percentage,total_discovery_questions,total_buying_signals,time_to_reason_seconds,location_mentioned,business_type_mentioned,within_45_seconds,call_structure_framed,total_objections,objections_acknowledged,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,objections_rebutted,total_interruptions,commitment_type,call_result_tag
LQ_Company_Name,1.0,-0.2065445872334329,0.20126554659273804,0.032832704154003675,-0.22251142358958106,-0.17235824687565815,-0.1619200034251388,-0.07565842072706576,0.04781434473168443,-0.12257418868534545,-0.10685985541036677,0.031326624744485054,0.06725934947999011,-0.01896241406730802,-0.1587162927716178,0.0,0.07557017722900074,-0.00792257795767246,-0.24727436238344638,0.04567004474801391,0.13092608903248382,-0.0505384979935675,0.03787347975960971,-0.16191001103172326,-0.23952772193917798,0.031581747685950075,-0.024658107036501946,-0.04180905044224884,-0.18070104379726742,-0.007588858551718975,0.18947023282524372,-0.0031655574964104716,0.015633783174191104,0.1767875725938179,0.07866624043648356,0.1285727800682312,0.09418128219492033,-0.04054892333246558,0.032797295483404876,-0.04496964520029286,-0.12983143407549086,-0.0491323532912868,-0.06668610259512259,-0.18781493508003497,-0.015960995356129003,-0.1345531715886332
LQ_Company_Address,-0.2065445872334329,1.0,-0.15952354150070622,0.2096064974000965,0.12704357167052024,0.09880217828797243,0.07636467971390216,0.04773983969324808,-0.08656491456651096,-0.05330969012277074,0.11805957722979292,-0.15377352485338167,-0.2144606265777886,0.1052581772950113,0.05440117526144209,0.06605254324606517,-0.07332285462987549,-0.15935961386932723,0.22155644007343528,0.06800184517923288,-0.042336867387709,0.006038827286955989,-0.1101908371732217,0.06623135898114543,0.13333151614364488,-0.0674802715308697,0.02832920654485446,0.0904366184810163,0.025665681450011073,0.1790024976848761,0.09987855677057814,-0.03657040093909113,-0.031080190191346738,-0.04266999286754718,0.023796726791516693,-0.009026344645058056,-0.02171042107162109,0.19783773897835216,-0.00012580647191118345,0.11628231835391908,0.14291777862337404,0.03522984819070075,0.06692699234780815,0.13300047629922862,-0.03384736040765626,-0.09011642504338009
LQ_Service,0.20126554659273804,-0.15952354150070622,1.0,-0.01907189359249346,-0.24264573525523897,-0.19552370096688798,0.18340115287642283,-0.18798637548871028,0.15051792817858106,-0.0949337445621183,0.01767639170084707,0.014215869673883512,-0.01595360762833635,0.07884647941735573,-0.03582881280651948,-0.13223994450948612,0.007098497811360393,0.03514318003907964,-0.05117664965156649,-0.01650212463302864,-0.07158798397098315,-0.0693227382734824,-0.016376739783720035,-0.05183867464938634,-0.12863076827191608,-0.16825604090008753,0.03922894456715614,0.15154849151253424,0.10972100924051664,-0.06096841917568397,-0.08927316972681895,-0.14491481366072193,0.0669268690071948,-0.1634614780685906,-0.13389055741296615,-0.11746226815984148,-0.11771816287292466,-0.0948332935963252,-0.05168997972858626,0.05125355143771296,0.004352274102096142,-0.02780453832261594,-0.039337942232761366,-0.14897924782626396,-0.036198086849504256,-0.13505964074402166
LQ_Customer_Name,0.032832704154003675,0.2096064974000965,-0.01907189359249346,1.0,-0.020160952724643917,0.17342118669122336,0.09128026013289754,-0.13160522573350167,-0.07443559697640977,-0.1501548768782571,-0.12389636416694617,-0.13767415628040927,-0.194257179272013,0.12861601142679296,0.04173603275430768,0.020967194444675978,0.13078040191873305,-0.13770506235579805,-0.04150067025226879,0.10771178674738933,-0.054634092689177766,0.06286297592679117,0.0794251518035314,-0.2087332660675579,0.14879471648427062,-0.13706901205245298,-0.1627074447204457,0.01834676562650744,-0.01376527128570134,0.19717509641558392,0.016154785121238673,-0.06813272299228358,-0.06553746732091599,0.0758857416972148,0.05279008118067117,0.126201287822542,-0.016367510917378935,-0.1005175328880621,-0.20942549832653345,-0.054350502413225484,-0.1612955043380546,-0.12019179873695786,-0.0904924239893382,-0.0098771966041656,0.1400989052319238,-0.018406160510327656
Calls Count,-0.22251142358958106,0.12704357167052024,-0.24264573525523897,-0.020160952724643917,1.0,0.6059535400373084,-0.0809679356321706,0.17613359845302567,-0.07402569382278515,-0.1601982578961253,0.18857240537376616,0.2365602932828925,-0.1289837906236355,-0.0564928938684534,0.16697005941212892,-0.11717257794680137,-0.10904367327172068,0.06265511046878795,0.12079100901891296,0.0419118518182371,0.07779736835134712,0.2652519298428268,-0.014341085083835328,0.11396748761158526,0.036656953687874944,0.15201032845005755,0.0044221333949794285,0.12390237644533254,0.07380362248650385,-0.0822340860445075,-0.15173815043982772,-0.12572163617959203,-0.14585099181988864,-0.18501758189317435,-0.10586057520691936,-0.18501758189317435,-0.2207843794489088,-0.02838471880080663,-0.06912363444820051,-0.028277677724582187,0.1321572635649296,-0.013527825457490006,-0.0012380833038478584,-0.10356987321319569,-0.014047112416552635,0.17962336524411282
Connection Made Calls,-0.17235824687565815,0.09880217828797243,-0.19552370096688798,0.17342118669122336,0.6059535400373084,1.0,0.10460166062089848,0.047694539576152856,-0.07865144181098419,-0.23482304225576528,0.0312770200162997,0.05444669836246992,-0.0826283844876021,-0.16147802472477288,0.149926212870685,-0.06726727939963124,-0.17673067767375733,0.24726399414593583,0.05463979064668549,0.013290870380481667,-0.0738012404616746,0.2587815617258288,0.01633580335315152,0.0532881463811625,0.13532686724106563,0.1599164786991054,-0.028316160616094713,0.1379332898957041,0.1294033861261693,-0.1274300495469928,-0.10883125860181533,-0.050766515283878696,-0.17923411248661206,-0.15877683720748895,-0.15877683720748895,-0.15877683720748895,-0.21004201260420147,-0.0656982745114288,-0.04868564174169805,-0.19676888235701534,-0.029787387227518787,0.06222611740602559,-0.06592747961798733,-0.07567325564883212,-0.007213842708463089,0.2732294121916077
TO_Event_O,-0.1619200034251388,0.07636467971390216,0.18340115287642283,0.09128026013289754,-0.0809679356321706,0.10460166062089848,1.0,-0.07702434312957468,0.030252372419816667,-0.1079204546361253,-0.11755021203106823,-0.07614673968499003,-0.026877970864202693,-0.21140514398171883,0.09487045882529838,0.18375879671643178,-0.28724351334437626,0.047183765779890856,0.09849335551188697,-0.05548899346252455,-0.14721193871151553,0.003225700231591484,-0.05121427392761727,0.014767389093415753,0.23864798851850658,-0.15056392495714951,-0.035550878903120385,0.027185536697854555,0.02642758458364221,-0.0627957999745152,-0.11209139108118614,0.013903930540667284,-0.1883543325875017,-0.047466099560222845,-0.11948362992745751,-0.08347486474384018,-0.10645727318121173,0.0650523563565898,-0.05337486560048826,0.02087078581722638,-0.02626724737226862,0.1103728921842085,0.13509250137048315,-0.054947097126218356,-0.007961638422924319,0.09684878129830395
timezone,-0.07565842072706576,0.04773983969324808,-0.18798637548871028,-0.13160522573350167,0.17613359845302567,0.047694539576152856,-0.07702434312957468,1.0,-0.04311848691310912,0.07036858333362833,0.23195037128406826,0.14532535410102063,-0.043278942827050394,-0.12809463321566011,-0.06454960364855791,-0.003697680856379617,-0.20337834418475265,0.15724843353846785,0.14544681576194401,0.11945291197142861,-0.049899286377479056,0.170702600488914,-0.07925223687277377,0.2692207965795658,0.015831761219322754,0.050183560706285976,0.06405805394376002,-0.2688382073062566,-0.17686955168328716,0.36219959021126064,0.062458052594039755,0.03437553969743584,0.1735938680649899,0.2618387765724861,0.21121661310180545,0.21121661310180545,0.17607657279440173,0.10227577385106244,-0.06395565203038488,0.0477351033588172,0.16557042464794816,0.1475368343591496,0.024062699830825398,-0.03745081390012523,0.06416590118729802,-0.0895404596722497
season_status,0.04781434473168443,-0.08656491456651096,0.15051792817858106,-0.07443559697640977,-0.07402569382278515,-0.07865144181098419,0.030252372419816667,-0.04311848691310912,1.0,0.02988105633347127,0.09479332555214702,0.11166851486746181,0.053182584367014646,0.23930202875248655,0.09194418268231523,-0.15964592233400896,0.22524183405275977,0.13568976660207546,-0.08821689665320075,0.17859738431971942,0.1546773848589092,0.21369662421923522,0.2274488288144102,0.09211317795687617,-0.16970506792112205,-0.04397382195776122,-0.009591406872791247,0.17024038717707965,0.2016277240120855,-0.10414689674506732,-0.09620050179341855,-0.03275143105598767,-0.13388884977568333,-0.21229646193346774,-0.13799270025675403,-0.21229646193346774,-0.1544630016860827,0.026229032139214688,-0.0300663677023962,-0.026002340750253563,-0.09574925157047308,-0.006441364295908597,-0.05480165725269068,-0.03705746114244541,0.030609217534595404,0.10577649108614655
TO_User_M,-0.12257418868534545,-0.05330969012277074,-0.0949337445621183,-0.1501548768782571,-0.1601982578961253,-0.23482304225576528,-0.1079204546361253,0.07036858333362833,0.02988105633347127,1.0,0.07602286899053619,0.04424930516576686,-0.10338314842362602,-0.0007456860254948018,0.08856051528802406,0.17032997659129256,0.14040383726865055,0.037319779508881636,-0.04093549967042452,-0.05048145980461095,0.15789018959339993,0.09063527746040298,0.0010050939011759102,0.16970307074363844,-0.007972233734081536,-0.052207467579577164,0.08996693299494424,0.02466519827174742,0.23594682259255317,-0.18838116582093284,-0.007509800854160107,0.008341296043162734,0.023730334907367912,-0.09435743586763157,-0.16492038790777344,-0.14358740240726542,-0.0705522179461137,-0.00807620496949495,0.19044046613980978,0.05453686372741198,0.013312754746362452,-0.11387939729503435,0.09243538788356169,0.17615021049721016,-0.09773709846824115,0.12907888929112407
