Variable,SHAP_RF,SHAP_XGB,SHAP_Avg
total_discovery_questions,0.05912886014152148,0.8351271,0.44712798769557766
total_buying_signals,0.07212926559440375,0.3139497,0.1930394848823154
customer_marketing_experience,0.0077607210241461555,0.20042346,0.10409209260159258
TO_Event_O,0.006105377918981608,0.19596756,0.10103646648253158
LQ_Company_Name,0.005532501347085466,0.13816553,0.07184901744485926
customer_talk_percentage,0.0020484877464297434,0.14041689,0.07123268906459823
TO_length_in_sec,0.028217862621162368,0.10826985,0.06824385527532004
LQ_Service,0.00203859810823056,0.11327622,0.05765740948316382
LQ_Customer_Name,0.0008667519063039483,0.038558148,0.01971244987697819
total_interruptions,0.037013436515224096,0.0,0.018506718257612048
price_mentions_final_2min,0.030516304685320298,0.0,0.015258152342660149
objections_acknowledged,0.018372290070817532,0.0,0.009186145035408766
customer_sentiment_lgs,0.004291001574811778,0.010783952,0.007537476652173917
total_objections,0.01191628654945261,0.0,0.005958143274726305
TO_OMC_Disposiion,0.011339130108175659,0.0,0.005669565054087829
call_structure_framed,0.010544827847784795,0.0,0.005272413923892398
LQ_Company_Address,0.002455341767067104,0.0069297445,0.00469254313386698
omc_agent_sentiment_style,0.00690629518980702,0.0,0.00345314759490351
objections_rebutted,0.0061510844363949786,0.0,0.0030755422181974893
timeline_mentions_final_2min,0.005545394607544285,0.0,0.0027726973037721426
Calls Count,0.004649788236301357,0.0,0.0023248941181506786
lgs_sentiment_style,0.0043207399453058706,0.0,0.0021603699726529353
customer_sentiment_omc,0.0037548994530499365,0.0,0.0018774497265249682
TO_User_M,0.0032929281086416956,0.0,0.0016464640543208478
technical_quality_issues,0.002457543887524883,0.0,0.0012287719437624415
time_to_reason_seconds,0.002423778652606113,0.0,0.0012118893263030565
within_45_seconds,0.0021659752164764705,0.0,0.0010829876082382353
customer_language,0.0020480914137844196,0.0,0.0010240457068922098
commitment_type,0.001869620489510508,0.0,0.000934810244755254
customer_availability,0.0018515130705806192,0.0,0.0009257565352903096
call_result_tag,0.00171710673668581,0.0,0.000858553368342905
lgs_agent_gender,0.0016670544569567644,0.0,0.0008335272284783822
ready_for_customers,0.001141259162070968,0.0,0.000570629581035484
omc_who_said_hello_first,0.0009355207322591758,0.0,0.0004677603661295879
season_status,0.0008526441164891868,0.0,0.0004263220582445934
is_decision_maker,0.0008339997425773669,0.0,0.00041699987128868344
timezone,0.0007567300903735289,0.0,0.00037836504518676446
location_mentioned,0.0006931680714277634,0.0,0.0003465840357138817
technical_quality_score,0.0005354925587274938,0.0,0.0002677462793637469
who_said_hello_first_lgs,0.0005045733032594553,0.0,0.00025228665162972767
business_type_mentioned,0.00045791856199922795,0.0,0.00022895928099961397
customer_knows_marketing,0.00042847623810079186,0.0,0.00021423811905039593
ready_to_transfer,0.00013917997553845375,0.0,6.958998776922687e-05
Connection Made Calls,0.0,0.0,0.0
forbidden_industry,0.0,0.0,0.0
contract_mentions_final_2min,0.0,0.0,0.0
