Variable,Correlation,Abs_Correlation,P_Value,Significant,Direction,Strength
TO_Event_O,0.8466813645665886,0.8466813645665886,4.494890507706947e-47,Yes,Positive,Strong
LQ_Company_Address,0.8386585959008226,0.8386585959008226,2.129297680721444e-45,Yes,Positive,Strong
LQ_Customer_Name,0.8185951552457591,0.8185951552457591,1.396223519457525e-41,Yes,Positive,Strong
LQ_Service,0.7554888792135397,0.7554888792135397,4.0724445825066084e-32,Yes,Positive,Strong
LQ_Company_Name,0.6791647617510783,0.6791647617510783,6.252397763487176e-24,Yes,Positive,Strong
total_buying_signals,0.6077145064567888,0.6077145064567888,3.0826804997289578e-18,Yes,Positive,Strong
total_discovery_questions,0.5145267729066334,0.5145267729066334,1.1367604898292398e-12,Yes,Positive,Strong
TO_OMC_Disposiion,0.4079213770934363,0.4079213770934363,4.454512072131192e-08,Yes,Positive,Moderate
total_interruptions,0.3818592541455238,0.3818592541455238,3.5441476261271454e-07,Yes,Positive,Moderate
objections_rebutted,0.37136627721549864,0.37136627721549864,7.775592288659315e-07,Yes,Positive,Moderate
call_result_tag,0.3513405017477434,0.3513405017477434,3.231842888399056e-06,Yes,Positive,Moderate
technical_quality_issues,0.34383088536321127,0.34383088536321127,5.380354415748102e-06,Yes,Positive,Moderate
customer_marketing_experience,0.32878091503430873,0.32878091503430873,1.437232117706914e-05,Yes,Positive,Moderate
TO_User_M,0.3209966172513423,0.3209966172513423,2.3420144159800307e-05,Yes,Positive,Moderate
price_mentions_final_2min,0.320832104397348,0.320832104397348,2.365967469105169e-05,Yes,Positive,Moderate
omc_agent_sentiment_style,0.2983786592731338,0.2983786592731338,8.983035316873624e-05,Yes,Positive,Weak
objections_acknowledged,0.29167585980418403,0.29167585980418403,0.0001310529864652365,Yes,Positive,Weak
commitment_type,0.28759867817102736,0.28759867817102736,0.00016415545222010303,Yes,Positive,Weak
customer_sentiment_omc,0.27462517850376017,0.27462517850376017,0.0003286667175716504,Yes,Positive,Weak
total_objections,0.2670811404038158,0.2670811404038158,0.00048460320782167996,Yes,Positive,Weak
location_mentioned,0.24322482005663637,0.24322482005663637,0.0015388768501003775,Yes,Positive,Weak
contract_mentions_final_2min,0.23877239427151975,0.23877239427151975,0.0018866570201405894,Yes,Positive,Weak
customer_sentiment_lgs,0.2311263685177716,0.2311263685177716,0.0026542788572309598,Yes,Positive,Weak
lgs_sentiment_style,0.22031594217848866,0.22031594217848866,0.004223542403548121,Yes,Positive,Weak
timeline_mentions_final_2min,0.17208838473544308,0.17208838473544308,0.026162875748648947,Yes,Positive,Weak
technical_quality_score,-0.16273700229760163,0.16273700229760163,0.03561832603090336,Yes,Negative,Weak
omc_who_said_hello_first,0.14765010032873596,0.14765010032873596,0.056886937076829104,No,Positive,Weak
call_structure_framed,0.1444339627188856,0.1444339627188856,0.06256703330253098,No,Positive,Weak
TO_length_in_sec,0.14419135043504405,0.14419135043504405,0.06301372895801688,No,Positive,Weak
season_status,0.12260303075501448,0.12260303075501448,0.11446434941439358,No,Positive,Weak
time_to_reason_seconds,0.11903058654070649,0.11903058654070649,0.12549457330251002,No,Positive,Weak
customer_talk_percentage,0.11886814445767353,0.11886814445767353,0.12601498114730977,No,Positive,Weak
business_type_mentioned,0.11738246140761216,0.11738246140761216,0.1308521724079698,No,Positive,Weak
ready_to_transfer,0.110864339091006,0.110864339091006,0.15377515327453445,No,Positive,Weak
forbidden_industry,0.09449166985732543,0.09449166985732543,0.22449975795388358,No,Positive,Weak
is_decision_maker,0.09182216788632952,0.09182216788632952,0.2379260799270222,No,Positive,Weak
ready_for_customers,0.07192433930155419,0.07192433930155419,0.35565133286826456,No,Positive,Weak
customer_language,0.06798151949919799,0.06798151949919799,0.3827029885993316,No,Positive,Weak
customer_knows_marketing,0.05959754587298038,0.05959754587298038,0.4442324171746771,No,Positive,Weak
who_said_hello_first_lgs,0.05895816457543652,0.05895816457543652,0.44914365732916517,No,Positive,Weak
timezone,0.05839359482910706,0.05839359482910706,0.4535055095988584,No,Positive,Weak
Connection Made Calls,-0.05809229881500073,0.05809229881500073,0.4558429729077297,No,Negative,Weak
within_45_seconds,0.046723958468907444,0.046723958468907444,0.5487734679454435,No,Positive,Weak
Calls Count,-0.04039645801380099,0.04039645801380099,0.6042294730371065,No,Negative,Weak
customer_availability,0.035908180425974205,0.035908180425974205,0.6450144019903186,No,Positive,Weak
lgs_agent_gender,0.03494464072643301,0.03494464072643301,0.6539154621363644,No,Positive,Weak
