Variable,SHAP_RF,SHAP_XGB,SHAP_Avg
total_buying_signals,0.07244979031722286,0.74635696,0.4094033772142755
total_discovery_questions,0.030757909766583633,0.35093847,0.19084818946905385
objections_rebutted,0.026629732466621443,0.33852085,0.182575293589077
technical_quality_issues,0.016803898497177068,0.3325127,0.17465830250767514
LQ_Company_Address,0.011168653222811648,0.31051648,0.1608425649269881
LQ_Service,0.007723138270263811,0.26718572,0.13745442804569252
TO_User_M,0.005215873630010732,0.18178831,0.09350209201930147
technical_quality_score,0.006485249243211964,0.17792876,0.09220700494549286
LQ_Company_Name,0.009667254802978989,0.15435046,0.08200885718931603
customer_talk_percentage,0.004686089713527391,0.15689464,0.08079036442396721
TO_Event_O,0.0020765781456272914,0.0701089,0.03609273806482758
TO_length_in_sec,0.0031190003623195245,0.05820748,0.030663239368281154
LQ_Customer_Name,0.002001433959950242,0.058207322,0.030104377936000244
price_mentions_final_2min,0.022992932597338995,0.0,0.011496466298669497
total_interruptions,0.02074602377630709,0.0,0.010373011888153545
time_to_reason_seconds,0.006670347657628996,0.010541421,0.008605884509448282
customer_marketing_experience,0.014136679242747743,0.0,0.0070683396213738715
omc_agent_sentiment_style,0.013189147147282525,0.0,0.006594573573641262
total_objections,0.01165442371295405,0.0,0.005827211856477025
objections_acknowledged,0.011159224736730103,0.0,0.005579612368365051
customer_sentiment_omc,0.007029392259467549,0.0,0.0035146961297337744
call_result_tag,0.006523904444070089,0.0,0.0032619522220350447
location_mentioned,0.005727754961157912,0.0,0.002863877480578956
timeline_mentions_final_2min,0.004627695236546565,0.0,0.0023138476182732823
lgs_agent_gender,0.0029580335403596976,0.0,0.0014790167701798488
customer_sentiment_lgs,0.002839435509944098,0.0,0.001419717754972049
commitment_type,0.002355742944472505,0.0,0.0011778714722362525
lgs_sentiment_style,0.002029261285993616,0.0,0.001014630642996808
timezone,0.0015009162605980157,0.0,0.0007504581302990079
TO_OMC_Disposiion,0.0014160599025056797,0.0,0.0007080299512528398
ready_for_customers,0.0012449027637277542,0.0,0.0006224513818638771
who_said_hello_first_lgs,0.0009210292126155855,0.0,0.00046051460630779274
within_45_seconds,0.0009167522454585594,0.0,0.0004583761227292797
customer_availability,0.0007506031237524095,0.0,0.0003753015618762048
ready_to_transfer,0.000559231927699825,0.0,0.0002796159638499125
Calls Count,0.0002559939291535403,0.0,0.00012799696457677014
call_structure_framed,0.000247653367810065,0.0,0.0001238266839050325
business_type_mentioned,0.00021612077569416486,0.0,0.00010806038784708243
omc_who_said_hello_first,0.00020426449803019915,0.0,0.00010213224901509957
is_decision_maker,0.0,0.0,0.0
Connection Made Calls,0.0,0.0,0.0
season_status,0.0,0.0,0.0
customer_language,0.0,0.0,0.0
forbidden_industry,0.0,0.0,0.0
customer_knows_marketing,0.0,0.0,0.0
contract_mentions_final_2min,0.0,0.0,0.0
