Variable,LIME_RF,LIME_XGB,LIME_Avg
total_buying_signals,0.10775916288809903,0.22137446823792287,0.16456681556301095
objections_rebutted,0.04718125959497134,0.11572917609155893,0.08145521784326513
total_discovery_questions,0.042619310192391055,0.08480640772397563,0.06371285895818335
technical_quality_issues,0.022770263243072922,0.07741026974001687,0.050090266491544896
LQ_Company_Address,0.018982961829064265,0.05836421971489255,0.038673590771978406
price_mentions_final_2min,0.05773572010004479,0.010537532209538094,0.03413662615479144
LQ_Service,0.014496542008723348,0.04962325436014215,0.03205989818443275
TO_Event_O,0.016599617788913754,0.04289120364081338,0.029745410714863564
LQ_Company_Name,0.01632705029157849,0.03774051821777905,0.02703378425467877
technical_quality_score,0.008453577902008323,0.04156763301982187,0.025010605460915096
LQ_Customer_Name,0.014553925423910184,0.034805499858923006,0.024679712641416593
TO_User_M,0.010102273013690362,0.035604397156249405,0.022853335084969884
total_interruptions,0.029831022484785506,0.010471021231804862,0.020151021858295183
customer_talk_percentage,0.006754840279647093,0.03149035339017382,0.01912259683491046
omc_agent_sentiment_style,0.022086151494659763,0.012597123052498643,0.0173416372735792
contract_mentions_final_2min,0.00994253797696773,0.024532334716385752,0.01723743634667674
customer_marketing_experience,0.018035309200936524,0.013487020036120326,0.015761164618528424
forbidden_industry,0.007799579407934709,0.018416462099082636,0.013108020753508672
call_result_tag,0.00871874590022741,0.016456376689780363,0.012587561295003886
objections_acknowledged,0.01485907141702121,0.009919838092073386,0.012389454754547297
customer_sentiment_omc,0.011766697182560897,0.011639442951448687,0.011703070067004792
location_mentioned,0.012370064871135504,0.009395580078860717,0.01088282247499811
total_objections,0.011169445881831988,0.010240387190200078,0.010704916536016032
customer_language,0.006454770466580238,0.014342103387893443,0.01039843692723684
timeline_mentions_final_2min,0.009498314114880411,0.0112927664281758,0.010395540271528106
TO_OMC_Disposiion,0.0061139900979510515,0.014292899018077584,0.010203444558014318
TO_length_in_sec,0.005680910701706738,0.014590886359572558,0.010135898530639648
customer_availability,0.005203538448773225,0.01470392427797042,0.009953731363371823
commitment_type,0.006883973632423087,0.012987750980654586,0.009935862306538836
time_to_reason_seconds,0.008987075609505096,0.009895350766459015,0.009441213187982056
customer_knows_marketing,0.006253413510285606,0.012604061502626317,0.009428737506455962
Connection Made Calls,0.0054336607972946096,0.012793886550659717,0.009113773673977163
omc_who_said_hello_first,0.005465340465684141,0.01240751913853418,0.00893642980210916
lgs_sentiment_style,0.005894640594605106,0.011839468666903748,0.008867054630754427
customer_sentiment_lgs,0.006543309415874443,0.010906037286075303,0.008724673350974873
is_decision_maker,0.005160709503749069,0.012127345153823943,0.008644027328786505
timezone,0.005619372216895564,0.01130378516701118,0.008461578691953372
who_said_hello_first_lgs,0.005424090541077614,0.010836187278727946,0.00813013890990278
call_structure_framed,0.005281916323372019,0.010684758732429793,0.007983337527900905
season_status,0.004771205162793073,0.010754125905282554,0.007762665534037813
ready_for_customers,0.004863219059284365,0.010294673050215922,0.007578946054750143
lgs_agent_gender,0.005519747886258747,0.009303964270099324,0.007411856078179036
ready_to_transfer,0.003862520974477457,0.010786309669809903,0.00732441532214368
Calls Count,0.004141841207611301,0.010267885303604268,0.007204863255607784
business_type_mentioned,0.004531696306324395,0.009628927102702233,0.007080311704513314
within_45_seconds,0.004020831763854615,0.009137910259373222,0.006579371011613919
