,LQ_Company_Name,LQ_Company_Address,LQ_Service,LQ_Customer_Name,Calls Count,Connection Made Calls,TO_Event_O,timezone,season_status,TO_User_M,lgs_sentiment_style,lgs_agent_gender,TO_length_in_sec,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,customer_sentiment_lgs,customer_sentiment_omc,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,TO_OMC_Disposiion,omc_agent_sentiment_style,omc_who_said_hello_first,customer_talk_percentage,total_discovery_questions,total_buying_signals,time_to_reason_seconds,location_mentioned,business_type_mentioned,within_45_seconds,call_structure_framed,total_objections,objections_acknowledged,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,objections_rebutted,total_interruptions,commitment_type,call_result_tag,TO_OMC_Duration
LQ_Company_Name,1.0,0.7611806962469462,0.6062779710309136,0.7062999644821482,-0.06954937844203096,-0.017235824687565814,0.8050692613811928,0.258396245652547,0.06398291546086723,0.21915662511279957,0.07095425844409277,0.14329922703631112,-0.09367119886599001,0.1124017227677013,-0.029299271902043397,0.0,0.03538052881247389,0.034163844017272446,0.3780002473045717,0.0159314109586095,-0.07548891619890959,0.013441763349437369,0.005384854942124603,0.23753543987147693,-0.06324386815529048,0.32804363379613455,0.6376977439174879,0.29617358365406493,0.2652226571136592,-0.10166160992766027,0.2514309034300965,0.4504864919503438,0.015391022565896213,0.19032154944310536,0.19878028497391007,0.14210675691751867,0.10350616162015996,0.008542141807890312,0.22720783585182025,0.26730331366780063,0.29112437752935894,-0.06918310145129611,0.23305225041714456,0.1570499718746791,0.34176706489654285,0.5151999504798404,0.8056965349971035
LQ_Company_Address,0.7611806962469462,1.0,0.8221221535872747,0.8726931458491699,-0.005580796146794265,0.033440737266698356,0.8984425614231796,0.2176931676639606,0.08514731691645187,0.25851282045279067,0.12656662809460842,0.1456565996362571,-0.10567301438926385,0.09440919849486759,0.04872433289425,0.09386414040230315,0.11961397958808419,0.12785505733420352,0.3805775127847376,0.002060661975128269,0.08124101579803619,0.0910737037276854,0.027575411342587588,0.25275838479121665,-0.10411780710800596,0.3028782535471287,0.6790594954959668,0.3298078300348623,0.26000698088407237,-0.1407582218507511,0.3610767058252793,0.5204708048212243,0.00667055417442619,0.16903881789835995,0.17150054825610306,0.14360093753501452,0.0976968948222949,0.12679878345932183,0.3623729616929728,0.18005858120652932,0.23378028657282965,-0.024088253091521534,0.3458294848863694,0.24745482599298246,0.46441206857559925,0.6043504963145591,0.8984530918774357
LQ_Service,0.6062779710309136,0.8221221535872747,1.0,0.6636708862897971,-0.06348199758859357,-0.0022839155048042085,0.7486960710359108,0.21594046957054397,0.08093241237902006,0.32011711948842375,0.09393743609024227,0.18382503935695413,-0.061673508804431475,-0.019493679223389956,-0.05847992986944799,0.14277606576481297,0.0774876817452654,0.1530750721211665,0.3093496718395401,-0.012384931773204634,0.08997508463301121,0.03129109328149212,0.07725324649944637,0.3239529866364298,0.03232307712765775,0.22429403547557275,0.5780013262929561,0.1781725552843252,0.16491043009309486,-0.09839975048264518,0.32432673734283174,0.4670406580733467,0.0037979870880644473,0.10110204702818582,0.078908914753706,0.057537750341243955,0.021747225485864757,0.10899581718267691,0.26934830049364333,0.1723577563836042,0.19862780758434587,-0.037799121206265204,0.24788127665727472,0.3065818812221981,0.35058705406379986,0.5227910001758095,0.7488166811867892
LQ_Customer_Name,0.7062999644821482,0.8726931458491699,0.6636708862897971,1.0,-0.002608740553991138,-0.0802168484695086,0.8806117499167655,0.2679601326944139,0.04653373981419441,0.3180279818532071,0.03321637011445218,0.14315710200748796,-0.020988163538192557,0.13313167211108085,0.07806086275312892,0.0943523750010419,0.03126751511025976,0.11380257602750085,0.4011430400989159,-0.11599730880488082,0.008626435687764911,0.0010082768642922315,-0.017256651734133988,0.137103063170979,-0.11932980201808956,0.23254873962495756,0.6670845872671751,0.3218827997321141,0.2101891285815972,-0.1412953229957293,0.26202302357803486,0.4859319068978114,-0.048019776940754225,0.19301373431682897,0.12207706273030208,0.16084477859735746,0.09274922853181397,0.16108463161910366,0.3195729027179532,0.17212470838863178,0.2208636232461754,-0.03150263959607407,0.31974402451718414,0.27164747675536044,0.49902417753840733,0.5438799653654722,0.8803976187759911
Calls Count,-0.06954937844203096,-0.005580796146794265,-0.06348199758859357,-0.002608740553991138,1.0,0.6059535400373084,-0.049225445347223826,-0.11967295853209547,-0.07402569382278515,-0.08167735258549723,0.0033091353319080266,-0.2365602932828925,-0.1289837906236355,-0.07283713932738128,0.13139979336759083,-0.11717257794680137,-0.17299700574086133,0.10286851050689733,-0.005609166282711037,0.0419118518182371,0.07779736835134712,0.2652519298428268,-0.014341085083835328,0.09024676645388169,0.036656953687874944,-0.0508161571355411,-0.07288015999033404,0.07453644233811109,0.07906116817183155,-0.0822340860445075,-0.15173815043982772,-0.12572163617959203,-0.14585099181988864,0.18501758189317435,0.10586057520691936,0.18501758189317435,0.2207843794489088,-0.02838471880080663,-0.06912363444820051,-0.028277677724582187,0.1321572635649296,-0.013527825457490006,-0.0012380833038478584,-0.10356987321319569,0.03482936433184566,0.0890004261834831,-0.04865918548084771
Connection Made Calls,-0.017235824687565814,0.033440737266698356,-0.0022839155048042085,-0.0802168484695086,0.6059535400373084,1.0,-0.054574779454381814,-0.01535925850757465,-0.07865144181098419,-0.1968257862273243,0.12421445092187595,-0.05444669836246992,-0.0826283844876021,-0.2714205096437672,0.17634932011654822,-0.06726727939963124,-0.20371497735601402,0.01159715196233107,0.03808227832950807,0.013290870380481667,-0.0738012404616746,0.2587815617258288,0.01633580335315152,0.29808056881962774,0.13532686724106563,-0.1412127969799118,0.009438720205364905,0.18674045401264558,0.14161125274184566,-0.1274300495469928,-0.10883125860181533,-0.050766515283878696,-0.17923411248661206,0.15877683720748895,0.15877683720748895,0.15877683720748895,0.21004201260420147,-0.0656982745114288,-0.04868564174169805,-0.19676888235701534,-0.029787387227518787,0.06222611740602559,-0.06592747961798733,-0.07567325564883212,-0.0649245843761678,0.11798542799183058,-0.053817427181633674
TO_Event_O,0.8050692613811928,0.8984425614231796,0.7486960710359108,0.8806117499167655,-0.049225445347223826,-0.054574779454381814,1.0,0.28799754393141846,0.08443300322596069,0.28877887333218416,0.08008945914330216,0.1425533282825311,0.03852938954672231,0.1319112847646024,0.1039802754473445,0.11441585455928771,0.09935457112472691,0.06044535741646069,0.46229406649347204,-0.10481254320699081,-0.02282355638938225,-0.0013066127520370567,0.01752399631925252,0.21414645404601937,-0.08877291588588145,0.3553551567323273,0.7548997440160369,0.3697856437133034,0.23380861618070886,-0.11018000466204628,0.33434420073570387,0.5527674695273841,-0.042323649519630656,0.17840706386428587,0.20459525672509846,0.16858649154148114,0.11728343655557225,0.15929042908701616,0.3553556519833165,0.22559307826415237,0.28262294817978,-0.03125576558759785,0.34778427755310487,0.285351927866437,0.5504545738357378,0.6187327643980132,0.9999882793499724
timezone,0.258396245652547,0.2176931676639606,0.21594046957054397,0.2679601326944139,-0.11967295853209547,-0.01535925850757465,0.28799754393141846,1.0,0.0023265662237379804,-0.11156208883988593,0.10096940619796015,0.1105981129803547,0.08130740732152968,0.047488972387877235,0.25709593003524706,0.003697680856379617,0.2107098835567392,0.014391453826317676,0.27982828734825976,-0.14137087747077332,0.07667451321417514,-0.13586533508301318,0.08433704153297723,0.01227538084062487,-0.02530981395593223,-0.001372568193871989,0.18983935374990377,0.08847540728589193,0.1527514339988551,-0.35014128088111646,-0.06494307106357053,-0.018874835081101302,-0.1635493327171942,0.2618387765724861,0.21121661310180545,0.21121661310180545,0.18377390931000398,-0.08506835925747643,0.0580143800350944,-0.044061109448616104,-0.14608989998817432,-0.12608656093201723,-0.021233335016749028,0.045718331303970995,0.06895417932920067,0.23637657302469806,0.28836342064674686
season_status,0.06398291546086723,0.08514731691645187,0.08093241237902006,0.04653373981419441,-0.07402569382278515,-0.07865144181098419,0.08443300322596069,0.0023265662237379804,1.0,0.0881037725761952,0.077318662588762,-0.11166851486746181,0.053182584367014646,0.1243653918203521,0.00783741055906862,-0.15964592233400896,0.13801065360235634,-0.08121678627515926,0.2425342009059483,0.17859738431971942,0.1546773848589092,0.21369662421923522,0.2274488288144102,0.12026814859416644,-0.16970506792112205,0.030000481220490115,0.13689840270079348,0.05320012099283739,0.1913443428238553,-0.10414689674506732,-0.09620050179341855,-0.03275143105598767,-0.13388884977568333,0.21229646193346774,0.13799270025675403,0.21229646193346774,0.1544630016860827,0.026229032139214688,-0.0300663677023962,-0.026002340750253563,-0.09574925157047308,-0.006441364295908597,-0.05480165725269068,-0.03705746114244541,-0.03780713102278977,0.09796137613651883,0.08390951089671378
TO_User_M,0.21915662511279957,0.25851282045279067,0.32011711948842375,0.3180279818532071,-0.08167735258549723,-0.1968257862273243,0.28877887333218416,-0.11156208883988593,0.0881037725761952,1.0,-0.08835277393843181,0.17008225221089698,-0.08509689413839672,0.008486617147297983,0.07387182672087146,0.12166426899378041,-0.013396331371899784,0.06837770841184908,0.0024834673730136842,0.04017912106897606,0.07436856756210866,-0.059932270190618774,-0.10379375207812648,0.090072870438055,-0.0322344806709303,0.13190323244626298,0.2173448920712776,0.05624717938662241,0.09608582805024404,-0.16523920986989687,0.1777044235112843,0.09927871366311844,-0.04819653978829598,0.05005046598196109,0.0976394336369405,0.1107674247141762,0.11939606113957703,0.007680782470988521,0.07611832093348232,0.03402802811328987,0.06726305619123467,-0.15610766403348542,0.12434108161650093,0.1933686812447608,0.212550055590413,0.13579366300337384,0.28862949428989276
