,LQ_Company_Name,LQ_Company_Address,LQ_Service,LQ_Customer_Name,Calls Count,Connection Made Calls,TO_Event_O,timezone,season_status,TO_User_M,lgs_sentiment_style,lgs_agent_gender,TO_length_in_sec,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,customer_sentiment_lgs,customer_sentiment_omc,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,TO_OMC_Disposiion,omc_agent_sentiment_style,omc_who_said_hello_first,customer_talk_percentage,total_discovery_questions,total_buying_signals,time_to_reason_seconds,location_mentioned,business_type_mentioned,within_45_seconds,call_structure_framed,total_objections,objections_acknowledged,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,objections_rebutted,total_interruptions,commitment_type,call_result_tag
LQ_Company_Name,1.0,0.04212054619660286,0.23059448714180145,0.17350655660051342,-0.06265458989929515,-0.17312852937058282,0.09028308580053994,-0.168873408103388,0.10693383412201696,0.06740933340444194,-0.008002781094514765,-0.09222670806850158,0.09565061854196005,-0.0542622222834111,-0.08737080456217382,0.0,-0.11012602581904873,0.07088267079912769,0.0280778116999526,0.019389784342046135,-0.05297292115167697,0.046633230675958474,-0.10637383279647478,-0.045841595205664325,0.01910182300442316,0.024726628531205233,-0.2293849163485467,0.02786460630818538,0.005134518907951653,-0.05088596308693393,-0.13688075150869328,-0.10506330378527326,-0.11863362603914539,-0.1355089576037891,-0.056249001269497355,-0.14285936172426317,-0.172031463712264,-0.11080455249229694,-0.17953140407946905,-0.12890396124259812,-0.17106475822448663,,-0.029025866108336216,-0.08983681552777935,0.08375050595831068,0.13892566980638824
LQ_Company_Address,0.04212054619660286,1.0,0.0658405946677948,0.18424618257040287,0.13196540761738582,0.012200442785372238,-0.056787101653676876,-0.12450060115486067,-0.05487466971395336,0.028079491479110284,-0.06919756145373648,-0.10023174216338832,0.12874372289734745,-0.12683579401202552,-0.1777169671767761,-0.2600522891154247,-0.0021731004581756553,0.0033649399542210914,0.06747463153971223,-0.15137370507889877,-0.11366235132224052,-0.0795539262516591,-0.1829806808431972,0.048789328175632,0.1677992735794724,-0.3005247019209155,0.0402307607742061,0.016452325150155593,0.03665124139638087,-0.012679314642627598,0.16642652630973556,-0.1431253894357837,0.049934813539904754,0.08358823578710078,-0.001857516350824462,0.12219029518773471,0.2317534374480804,0.10798678769581162,0.12094825161442782,-0.07430065403297849,-0.011711610077828142,,0.10380428687888275,0.03370857574395249,-0.12248105621144575,0.07780415772477842
LQ_Service,0.23059448714180145,0.0658405946677948,1.0,0.1489546940102437,0.04766299134272779,-0.011678539858879063,0.2313431335793004,0.11530005566680346,0.28150654574988754,0.11338349854224182,0.2400476349578042,0.16960662038403523,0.00572170405300938,0.14740107927797963,0.052302984486710453,0.0,0.1563751776943754,-0.009265286253729785,-0.17588297296538866,0.26393462551126445,0.29858800223528664,0.2435309169946326,0.2685147265173391,0.14628756882766586,-0.015254758242385438,-0.07858756654515338,0.0646010642659568,0.015774942312850693,0.18748121114561253,-0.12390682011998508,0.01190843081299311,0.23969055104225317,-0.104916879836265,-0.05831519927168006,-0.0883179467230517,0.01407876646876647,-0.06935458172607638,-0.1502466643692386,0.036369630599620444,-0.03718650388339018,-0.03391076017949633,,-0.1002783637880785,-0.11512364595259866,-0.0745156256543504,0.08747264855855705
LQ_Customer_Name,0.17350655660051342,0.18424618257040287,0.1489546940102437,1.0,0.04366177442398469,-0.020116208156954068,0.07494265278036441,5.865213067608165e-05,-0.08569455744683475,-0.09956372382230361,0.06250671809787225,0.020162640779719486,-0.05402793634449375,0.11527708248016046,0.1243850343680106,-0.2424218674543603,0.32184376120926933,-0.12533524148274713,-0.0205410550460838,0.10364076511318879,0.028748125888591134,0.0495762142826805,0.04936030786536555,0.014053440434232444,-0.028416715927409034,-0.020730595970010732,-0.043957650845805905,0.06269388686240965,0.08448789703314312,-0.2573753949587778,-0.211118895931774,-0.15885330054801228,-0.11611312367546471,-0.21360248461013567,-0.09603635518384274,-0.09178063282084059,-0.027983177974249346,-0.0744128535358315,-0.1494657988121542,0.1631685646327425,0.05275068745007301,,-0.032221080524490825,0.01171788900799736,0.09814041861451578,0.15064025593132127
Calls Count,-0.06265458989929515,0.13196540761738582,0.04766299134272779,0.04366177442398469,1.0,0.5379906575098401,0.16002976631429092,0.018826957386072544,0.027794443559466087,-0.0688363153180407,-0.09619065674841495,0.05335149538421562,-0.2513152153799525,-0.1786073653588513,-0.09402820730366833,-0.15395667744040165,-0.14158798200374828,-0.011951862364706965,0.09034579420389592,-0.19522072364528487,-0.17262322400020574,-0.053999725063572195,-0.0983227987368759,0.04253338427538032,-0.05268736963839555,0.0024011966350940103,0.08038090760287935,-0.05278403203038117,0.05258955204124588,-0.0035901415500397427,-0.15741029194721182,-0.19508278956074426,-0.1329459236707263,-0.0009330707723660708,0.03592322473609372,0.06897391598034075,-0.007040893961138798,0.07174054636596222,0.05636238740351843,-0.015395667744040166,0.00757106841611183,,0.17921178221676126,-0.10575008721249773,0.04642958029212439,-0.007072421491857259
Connection Made Calls,-0.17312852937058282,0.012200442785372238,-0.011678539858879063,-0.020116208156954068,0.5379906575098401,1.0,0.2812520497104898,0.2014488809445694,0.012957147366904023,-0.2076274872688845,-0.08395861703528454,0.07738269054998195,-0.4323393781871117,-0.0839660608017175,0.0057251885535723815,-0.078948272117442,-0.09087639623812187,0.03615506632174555,0.014958053783314182,-0.017031743600708943,0.03885064123157386,0.031741371499965934,-0.05146561316405025,0.09991509348469063,0.04721358162615547,0.05417819125671897,0.05780197275411781,0.10333400802855787,-0.07671358183651059,0.09871247563960382,-0.10332652766669007,-0.006347889222611864,0.019261477412284744,0.06133171552925246,0.06602946395276968,0.10733127667820602,0.03323335982953193,0.003148000053549701,-0.09067599233388123,-0.078948272117442,0.006281795830526877,,0.07074977322270908,0.0392675918897318,0.027871739277974827,-0.08081845219038626
TO_Event_O,0.09028308580053994,-0.056787101653676876,0.2313431335793004,0.07494265278036441,0.16002976631429092,0.2812520497104898,1.0,0.22008696928936605,0.12183675122339548,-0.05929801570253997,-0.06258088196710294,0.06368506772467954,-0.09160768119721398,0.23020581600451526,0.18562995680337477,0.046397177157887916,-0.1037373824182884,0.13847525790028917,-0.1875710276596119,0.1630982212776456,0.12666377958453012,0.17862772095658458,0.16967096402037063,0.22565161179375212,0.07096578456690619,-0.041488520393562225,-0.04782669277996146,0.10222640067338663,0.3086007932142701,-0.06405525964526339,-0.19567357686327103,0.13650937489825682,-0.06938165924614538,-0.10797888502199371,-0.21713878909891546,-0.1993731522363387,-0.12731280379494572,-0.1961384612721986,-0.1838429549710164,-0.07423548345262067,-0.13995553334383048,,-0.11878708758492952,-0.27727375403092214,0.1395708135325176,-0.047561180043267794
timezone,-0.168873408103388,-0.12450060115486067,0.11530005566680346,5.865213067608165e-05,0.018826957386072544,0.2014488809445694,0.22008696928936605,1.0,-0.03492126144671968,-0.06986936315337276,0.1568847326426132,0.30653663058038977,-0.04395736126061369,0.013995493510307329,0.13082790120683557,0.3061902160748331,0.1355640293393538,0.27214864594132904,-0.14934910443102728,0.2655423185230346,0.302509886791385,0.34303872645015493,0.3003791600757617,0.3173769919409319,-0.0024805430534852505,0.07022080259337105,0.090115931427141,0.0980601730881016,0.11364858038555616,-0.2028883708917486,-0.1917463116582039,0.10608667145002881,-0.050019985652984524,-0.18116647607509387,-0.16295547092796203,-0.1984448929973506,-0.283916427803031,-0.19570849324235623,-0.1663322801312397,-0.020758658716937838,0.13650230819784778,,-0.12136718795261377,-0.22731913003985185,-0.05434049966282988,0.0517101228480623
season_status,0.10693383412201696,-0.05487466971395336,0.28150654574988754,-0.08569455744683475,0.027794443559466087,0.012957147366904023,0.12183675122339548,-0.03492126144671968,1.0,0.3374365433722837,-0.0386926825005485,0.24056261216234406,-0.05636832728949145,0.1848082445999836,0.20964509854246582,0.338501600193165,0.04918880661225127,0.26408939048099633,-0.25148354580791527,0.29571496774461187,0.33218082283505895,0.22908957437754193,0.23296623240568198,0.1282616267467449,-0.04587004405874892,-0.07156608228169642,0.0175985358627218,0.13633755652780513,0.21076430872027213,-0.0682066233929335,-0.11546973322270118,0.10539818700738411,-0.15459698790715656,-0.1846372364689991,-0.135400640077266,-0.06407815310317432,-0.11610509100320598,-0.27371993098639175,-0.0691609977324263,0.1692508000965825,-0.10690325008710676,,-0.22934924102076193,-0.07701458280831494,0.0,0.061568519124299476
TO_User_M,0.06740933340444194,0.028079491479110284,0.11338349854224182,-0.09956372382230361,-0.0688363153180407,-0.2076274872688845,-0.05929801570253997,-0.06986936315337276,0.3374365433722837,1.0,0.11035797792708765,0.09788286095311884,-0.11560367491201755,-0.06956355433645042,0.07394118450812857,0.19581053124886005,0.0689874715061097,-0.12360283213452168,-0.08695736917940891,0.063722000945601,-0.0048702676824973895,0.0652721557285866,0.01747229592215319,-0.06565257023594542,-0.1434220175780491,0.0344662705758219,0.18093908043113288,-0.10512013810827568,-0.036393012490667766,0.165852370488003,0.2747420118252401,-0.020091550373209557,-0.10689477330266998,0.07544215273224478,0.04382426175569725,0.07942889567319839,0.099944134122567,-0.11731314156121664,0.010321882325377367,-0.2167902310255236,-0.17262485688424054,,-0.11699243830632032,-0.06536029113324122,-0.013706462539196428,-0.1326216313305832
