Variable,Correlation,Abs_Correlation,P_Value,Significant,Direction,Strength
TO_Event_O,0.9999882793499725,0.9999882793499725,2.4193160029020684e-182,Yes,Positive,Strong
LQ_Company_Address,0.8984530918774357,0.8984530918774357,1.3101307344122743e-29,Yes,Positive,Strong
LQ_Customer_Name,0.8803976187759911,0.8803976187759911,5.443167207574734e-27,Yes,Positive,Strong
LQ_Company_Name,0.8056965349971036,0.8056965349971036,2.019895802213185e-19,Yes,Positive,Strong
TO_OMC_Disposiion,0.7552065758677741,0.7552065758677741,5.813348450857788e-16,Yes,Positive,Strong
LQ_Service,0.7488166811867892,0.7488166811867892,1.3887925658641202e-15,Yes,Positive,Strong
call_result_tag,0.618938061249327,0.618938061249327,9.403927594487747e-10,Yes,Positive,Strong
total_buying_signals,0.552916676474425,0.552916676474425,1.0475984365473992e-07,Yes,Positive,Strong
commitment_type,0.5500287774637999,0.5500287774637999,1.2584359494244137e-07,Yes,Positive,Strong
customer_sentiment_omc,0.46194104378484724,0.46194104378484724,1.6084052161330225e-05,Yes,Positive,Moderate
omc_agent_sentiment_style,0.36978997789221807,0.36978997789221807,0.0007355870867847787,Yes,Positive,Moderate
objections_acknowledged,0.35581151371285474,0.35581151371285474,0.0011991386319583068,Yes,Positive,Moderate
technical_quality_issues,0.35487488548908935,0.35487488548908935,0.001238091042146554,Yes,Positive,Moderate
objections_rebutted,0.3483287793273161,0.3483287793273161,0.0015439025135717157,Yes,Positive,Moderate
total_discovery_questions,0.33407744946446966,0.33407744946446966,0.0024570939585764596,Yes,Positive,Moderate
TO_User_M,0.28862949428989276,0.28862949428989276,0.00941896052737855,Yes,Positive,Weak
timezone,0.28836342064674686,0.28836342064674686,0.009487744796672888,Yes,Positive,Weak
total_interruptions,0.28555638992436233,0.28555638992436233,0.010240597448666238,Yes,Positive,Weak
timeline_mentions_final_2min,0.283080284117998,0.283080284117998,0.010947456687683392,Yes,Positive,Weak
omc_who_said_hello_first,0.2338113566017921,0.2338113566017921,0.03685323314489485,Yes,Positive,Weak
price_mentions_final_2min,0.22660155518491623,0.22660155518491623,0.04325267188594875,Yes,Positive,Weak
customer_marketing_experience,0.21366615356495422,0.21366615356495422,0.05703399320215601,No,Positive,Weak
business_type_mentioned,0.2045976547426062,0.2045976547426062,0.06868508698651296,No,Positive,Weak
location_mentioned,0.1784091549355526,0.1784091549355526,0.11334008165158242,No,Positive,Weak
within_45_seconds,0.1685884675079075,0.1685884675079075,0.13494276647640063,No,Positive,Weak
total_objections,0.1592863202448266,0.1592863202448266,0.15815442573891578,No,Positive,Weak
lgs_agent_gender,0.14347462522713644,0.14347462522713644,0.20420591928661594,No,Positive,Weak
is_decision_maker,0.13191283086872718,0.13191283086872718,0.24345267113236765,No,Positive,Weak
call_structure_framed,0.11728481120979799,0.11728481120979799,0.30015635269038543,No,Positive,Weak
forbidden_industry,0.11441719560319454,0.11441719560319454,0.3122100360142707,No,Positive,Weak
customer_talk_percentage,-0.11034550067255305,0.11034550067255305,0.3298547208933652,No,Negative,Weak
customer_language,-0.10481377169252691,0.10481377169252691,0.35482015546817214,No,Negative,Weak
ready_for_customers,0.10398149417804711,0.10398149417804711,0.35867502790125927,No,Positive,Weak
ready_to_transfer,0.09935573563853255,0.09935573563853255,0.3805676882578707,No,Positive,Weak
technical_quality_score,-0.08877395637435569,0.08877395637435569,0.43358626681570145,No,Negative,Weak
season_status,0.0839095108967138,0.0839095108967138,0.4592975516088831,No,Positive,Weak
lgs_sentiment_style,0.07955839641979999,0.07955839641979999,0.48298751078469015,No,Positive,Weak
customer_sentiment_lgs,0.060292356879490264,0.060292356879490264,0.595233347400934,No,Positive,Weak
Connection Made Calls,-0.053817427181633674,0.053817427181633674,0.6354102828586848,No,Negative,Weak
Calls Count,-0.048659185480847716,0.048659185480847716,0.668195927073763,No,Negative,Weak
time_to_reason_seconds,-0.042018810462588464,0.042018810462588464,0.7113257082501918,No,Negative,Weak
TO_length_in_sec,0.03881116641908312,0.03881116641908312,0.7324991406468752,No,Positive,Weak
contract_mentions_final_2min,-0.03125613192978142,0.03125613192978142,0.7831390243970441,No,Negative,Weak
customer_knows_marketing,-0.02282382389943447,0.02282382389943447,0.8407331845055865,No,Negative,Weak
who_said_hello_first_lgs,0.01811623555598674,0.01811623555598674,0.8732754448603671,No,Positive,Weak
customer_availability,-0.0013066280665673413,0.0013066280665673413,0.9908222119838259,No,Negative,Weak
