Variable,Correlation,Abs_Correlation,P_Value,Significant,Direction,Strength
TO_Event_O,0.8618924537115042,0.8618924537115042,2.617653195608075e-44,Yes,Positive,Strong
LQ_Company_Address,0.8452139345182856,0.8452139345182856,5.127611039164207e-41,Yes,Positive,Strong
LQ_Customer_Name,0.7983793871070527,0.7983793871070527,1.570684977432304e-33,Yes,Positive,Strong
LQ_Company_Name,0.7839120206563367,0.7839120206563367,1.3127492778757552e-31,Yes,Positive,Strong
LQ_Service,0.763566922735404,0.763566922735404,3.839444145390479e-29,Yes,Positive,Strong
total_buying_signals,0.6538128599912391,0.6538128599912391,3.664871949326675e-19,Yes,Positive,Strong
total_discovery_questions,0.6517138904608191,0.6517138904608191,5.184623694808045e-19,Yes,Positive,Strong
TO_OMC_Disposiion,0.6199169281876017,0.6199169281876017,7.240347340943629e-17,Yes,Positive,Strong
call_result_tag,0.5780652009851229,0.5780652009851229,2.1724441855118544e-14,Yes,Positive,Strong
price_mentions_final_2min,0.5206354188723429,0.5206354188723429,1.6276493600158182e-11,Yes,Positive,Strong
total_interruptions,0.4826747971798452,0.4826747971798452,6.84440974698278e-10,Yes,Positive,Moderate
call_structure_framed,0.4294610821024352,0.4294610821024352,6.334854998736997e-08,Yes,Positive,Moderate
TO_User_M,0.39089285116663336,0.39089285116663336,1.0711752086580991e-06,Yes,Positive,Moderate
customer_sentiment_omc,0.3653934865960182,0.3653934865960182,5.762218191207089e-06,Yes,Positive,Moderate
timeline_mentions_final_2min,0.3624187955175278,0.3624187955175278,6.948114449070171e-06,Yes,Positive,Moderate
total_objections,0.3564983531574935,0.3564983531574935,1.0028472992585731e-05,Yes,Positive,Moderate
objections_acknowledged,0.3550029703477583,0.3550029703477583,1.0989746152736363e-05,Yes,Positive,Moderate
omc_agent_sentiment_style,0.32000412309837617,0.32000412309837617,8.235637617731005e-05,Yes,Positive,Moderate
commitment_type,0.3186621599311634,0.3186621599311634,8.854664037187041e-05,Yes,Positive,Moderate
objections_rebutted,0.30650911486789545,0.30650911486789545,0.000168083378994678,Yes,Positive,Moderate
technical_quality_issues,0.29964459252854464,0.29964459252854464,0.00023850879273446435,Yes,Positive,Weak
TO_length_in_sec,0.2601064409798619,0.2601064409798619,0.00152113690607009,Yes,Positive,Weak
customer_sentiment_lgs,0.25645051587902407,0.25645051587902407,0.0017811223593252466,Yes,Positive,Weak
location_mentioned,0.2506388037425978,0.2506388037425978,0.0022784799205591427,Yes,Positive,Weak
lgs_sentiment_style,0.2485588695205796,0.2485588695205796,0.0024850499003608146,Yes,Positive,Weak
is_decision_maker,0.22155732603313455,0.22155732603313455,0.007197571048979569,Yes,Positive,Weak
who_said_hello_first_lgs,0.20672058071530397,0.20672058071530397,0.012299039398203548,Yes,Positive,Weak
omc_who_said_hello_first,0.20430203757309495,0.20430203757309495,0.013378960332887225,Yes,Positive,Weak
customer_marketing_experience,0.20321098103478843,0.20321098103478843,0.013892688456149027,Yes,Positive,Weak
within_45_seconds,0.20318402540628017,0.20318402540628017,0.013905595803355156,Yes,Positive,Weak
ready_for_customers,0.18392650399025504,0.18392650399025504,0.026264127320463772,Yes,Positive,Weak
customer_language,0.18201494000048482,0.18201494000048482,0.027892741774113237,Yes,Positive,Weak
customer_talk_percentage,0.17801245668349036,0.17801245668349036,0.031583389834132364,Yes,Positive,Weak
customer_availability,0.17351489444687737,0.17351489444687737,0.03621708233410304,Yes,Positive,Weak
forbidden_industry,0.1662874473660449,0.1662874473660449,0.044858724493490286,Yes,Positive,Weak
customer_knows_marketing,0.16066487313359692,0.16066487313359692,0.05271618880156109,No,Positive,Weak
business_type_mentioned,0.1527557022971797,0.1527557022971797,0.0656645092786864,No,Positive,Weak
contract_mentions_final_2min,0.15243383571424368,0.15243383571424368,0.06624201537877807,No,Positive,Weak
timezone,0.15044570335193075,0.15044570335193075,0.06990161214620644,No,Positive,Weak
time_to_reason_seconds,0.14872277890663457,0.14872277890663457,0.07320431833778795,No,Positive,Weak
lgs_agent_gender,0.13053589184387285,0.13053589184387285,0.1163125570280242,No,Positive,Weak
ready_to_transfer,0.1235386069717926,0.1235386069717926,0.13738793394800072,No,Positive,Weak
Calls Count,-0.07195151994102938,0.07195151994102938,0.38811553166492807,No,Negative,Weak
technical_quality_score,-0.040059884346500756,0.040059884346500756,0.6311722363610575,No,Negative,Weak
Connection Made Calls,-0.025858343775719855,0.025858343775719855,0.7567026242508632,No,Negative,Weak
season_status,0.013261131435890723,0.013261131435890723,0.8737756032644293,No,Positive,Weak
