Feature,Importance_RF,Importance_GB,Avg_Importance
TO_OMC_Disposiion,0.2003379250042914,0.3443983381848925,0.27236813159459194
LQ_Service,0.08881064876282826,0.27072399520771767,0.17976732198527295
customer_talk_percentage,0.04400411893884946,0.10933925295374305,0.07667168594629625
total_interruptions,0.0350343587625439,0.06514571458061452,0.05009003667157921
total_buying_signals,0.07866856618107966,0.01113156597869909,0.044900066079889375
total_discovery_questions,0.08287043876844229,0.006522533936716511,0.0446964863525794
technical_quality_score,0.08008854123661296,0.0023854712573618147,0.04123700624698739
call_result_tag,0.04520812041600828,0.020706339352336272,0.032957229884172275
time_to_reason_seconds,0.025291494817790347,0.016779477002450097,0.021035485910120222
omc_who_said_hello_first,0.02298067303444258,0.016509845858855884,0.019745259446649233
commitment_type,0.028884078440997572,0.009044805176724104,0.018964441808860838
objections_rebutted,0.013812557302808046,0.020755576917815394,0.01728406711031172
TO_User_M,0.01801287665394899,0.010818208333040733,0.014415542493494861
customer_sentiment_omc,0.02263353886011518,0.006053042333570044,0.014343290596842612
LQ_Company_Name,0.01569127226326921,0.01125699796634074,0.013474135114804976
TO_length_in_sec,0.016531800851356436,0.010149343931216089,0.013340572391286262
TO_Event_O,0.013899538845279747,0.012517019806650022,0.013208279325964883
timezone,0.02116898313377802,0.003020360165520535,0.012094671649649277
customer_marketing_experience,0.020372649962495156,0.0002430335656834968,0.010307841764089326
objections_acknowledged,0.017440436919338966,0.0016694674013291006,0.009554952160334033
LQ_Company_Address,0.011846175381055082,0.0052505280741011635,0.008548351727578122
location_mentioned,0.011548372079731504,0.004730895144187954,0.00813963361195973
Calls Count,0.012120833301997527,0.0031293923417840784,0.007625112821890803
lgs_agent_gender,0.002436624192320094,0.01224246164450847,0.007339542918414282
omc_agent_sentiment_style,0.012715151125764847,0.00020879847518950821,0.006461974800477178
is_decision_maker,0.008741785264989622,0.0014552232801215634,0.005098504272555593
LQ_Customer_Name,0.008337912612786144,0.0017977295624320682,0.005067821087609106
timeline_mentions_final_2min,0.006531672048562809,0.003360455247767213,0.004946063648165011
total_objections,0.0028237098005338664,0.0059299657159805315,0.004376837758257199
business_type_mentioned,0.006673691251845537,4.7975048909769546e-05,0.0033608331503776536
price_mentions_final_2min,0.004134772599841904,0.0005980569128518579,0.002366414756346881
ready_for_customers,0.0015374012817993314,0.002717163592403876,0.0021272824371016035
lgs_sentiment_style,0.0010670425633345119,0.0027559185663847377,0.001911480564859625
customer_availability,0.0013664052890267333,0.0018257002072488932,0.0015960527481378131
technical_quality_issues,0.0030693580180678986,0.00011252705877580126,0.00159094253842185
customer_language,0.002762249461783344,8.899063511625111e-05,0.0014256200484497974
customer_sentiment_lgs,0.002454041852672004,0.00030966343180290827,0.0013818526422374562
ready_to_transfer,0.0021779521795759612,0.0004096501096897157,0.0012938011446328385
customer_knows_marketing,0.0014578292574894945,0.0008319629104116931,0.0011448960839505937
within_45_seconds,0.0005372225743659416,0.001607219402918736,0.0010722209886423388
season_status,0.0014210201157632552,0.0005979513366575009,0.001009485726210378
who_said_hello_first_lgs,0.0013978105837181129,0.0005754484972379315,0.0009866295404780223
call_structure_framed,0.0006773255269992736,0.00013637441451254197,0.0004068499707559078
Connection Made Calls,0.0002114687458129762,0.00010621145959200344,0.00015884010270248984
contract_mentions_final_2min,0.0002095537338857053,3.3470181354832028e-06,0.00010645037601059424
forbidden_industry,0.0,0.0,0.0
