Variable,LIME_RF,LIME_XGB,LIME_Avg
total_discovery_questions,0.08297748138498662,0.250736960415355,0.1668572209001708
total_buying_signals,0.12261474506449513,0.10564038227054026,0.1141275636675177
price_mentions_final_2min,0.07015667841773328,0.010882630090041971,0.04051965425388762
total_interruptions,0.06766812738984213,0.010173219305066324,0.03892067334745422
TO_Event_O,0.018844443171757524,0.05087818769426426,0.034861315433010895
TO_length_in_sec,0.03610842692934328,0.027332482164661037,0.03172045454700216
customer_marketing_experience,0.01173160950576013,0.05133113724741576,0.03153137337658794
LQ_Company_Name,0.015287522636878128,0.044677646794506004,0.029982584715692068
LQ_Service,0.01494864181021461,0.04100385954116769,0.02797625067569115
LQ_Company_Address,0.01702385910544534,0.03789669158121621,0.027460275343330773
LQ_Customer_Name,0.0144922423406873,0.03245637569788251,0.023474309019284906
objections_acknowledged,0.0358829775038806,0.009990536201545787,0.022936756852713194
customer_talk_percentage,0.005175831533955203,0.038802125465315744,0.021988978499635475
forbidden_industry,0.013638750835957414,0.02638708318025632,0.020012917008106867
contract_mentions_final_2min,0.012649975316887285,0.024716018599917355,0.01868299695840232
call_structure_framed,0.025088079286678066,0.011478690327803001,0.018283384807240535
TO_OMC_Disposiion,0.0159716338449023,0.014459799647008418,0.015215716745955359
TO_User_M,0.009541272430661713,0.019252998099996078,0.014397135265328896
omc_agent_sentiment_style,0.01528823585295515,0.013242986501950327,0.014265611177452737
total_objections,0.01669381452686772,0.01005854557340923,0.013376180050138475
timeline_mentions_final_2min,0.013580648359323032,0.010345844627990517,0.011963246493656775
customer_sentiment_lgs,0.008494677387940953,0.014329712304076368,0.01141219484600866
technical_quality_issues,0.008183296440857524,0.014064661358588007,0.011123978899722765
commitment_type,0.008670661724746554,0.013141220200828824,0.01090594096278769
call_result_tag,0.006949778281318646,0.014631237678114297,0.010790507979716472
Calls Count,0.009100935221513588,0.011632929856667803,0.010366932539090695
customer_sentiment_omc,0.008399632233107983,0.012219806526328971,0.010309719379718477
objections_rebutted,0.010463993528410188,0.010103163311924264,0.010283578420167225
customer_language,0.007958582262865617,0.01235584928441853,0.010157215773642075
lgs_sentiment_style,0.007797596039908092,0.011614367916731774,0.009705981978319933
Connection Made Calls,0.005866101191460776,0.012747317861024286,0.009306709526242532
within_45_seconds,0.006926860743488737,0.011496521368652085,0.009211691056070411
is_decision_maker,0.005287124194048473,0.012686480375186857,0.008986802284617665
customer_availability,0.005547076385268239,0.011984498759395454,0.008765787572331846
timezone,0.0054197163003913695,0.011961528275095654,0.008690622287743512
business_type_mentioned,0.005137276615636502,0.01160439437957544,0.00837083549760597
ready_for_customers,0.005419300962247875,0.011189380216261953,0.008304340589254914
ready_to_transfer,0.005715716398574934,0.010852331161345274,0.008284023779960105
who_said_hello_first_lgs,0.005044649996339907,0.011488151514011186,0.008266400755175547
location_mentioned,0.0049217972130098635,0.011479381237955048,0.008200589225482457
omc_who_said_hello_first,0.004692133675135666,0.01170604930267075,0.008199091488903208
customer_knows_marketing,0.005108574535441857,0.01114169233014856,0.008125133432795209
season_status,0.005109956626585938,0.010891161698219668,0.008000559162402804
lgs_agent_gender,0.005508184161984565,0.010346369994721001,0.007927277078352783
time_to_reason_seconds,0.005435218979603365,0.008815141772628708,0.007125180376116036
technical_quality_score,0.004892848360164304,0.009271176081889956,0.007082012221027129
