,LQ_Company_Name,LQ_Company_Address,LQ_Service,LQ_Customer_Name,Calls Count,Connection Made Calls,TO_Event_O,timezone,season_status,TO_User_M,lgs_sentiment_style,lgs_agent_gender,TO_length_in_sec,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,customer_sentiment_lgs,customer_sentiment_omc,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,TO_OMC_Disposiion,omc_agent_sentiment_style,omc_who_said_hello_first,customer_talk_percentage,total_discovery_questions,total_buying_signals,time_to_reason_seconds,location_mentioned,business_type_mentioned,within_45_seconds,call_structure_framed,total_objections,objections_acknowledged,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,objections_rebutted,total_interruptions,commitment_type,call_result_tag
LQ_Company_Name,1.0,-0.08967395863477408,-0.02974295563045818,0.1096573253101441,-0.22907748333384192,-0.30320501249007364,-0.22166903028799856,0.18100325031807082,0.010848426477140799,-0.11563188120587854,-0.08305560000068385,-0.054417450680727036,0.010773172710015627,-0.16136545954392795,0.07623929105846328,0.0,0.03226675567533512,0.11656184159061679,0.1401331368932372,-0.12125954412742533,-0.12030762504000225,-0.03551616097372765,-0.1947249335512262,0.016137254218668483,-0.14431467311090737,-0.05302880334280975,0.16717119068920816,0.08610725722300198,0.12657240318352675,-0.06842773912707649,-0.11681920243364895,-0.2856884568021649,-0.031120582482961772,0.0954181244423505,0.10498911759780521,0.1630011007229217,-0.06946972337719406,-0.14481192898469092,-0.24556041639906712,-0.12038571836559155,-0.10927248368718105,-0.12516734805985072,-0.12568764429554616,-0.03477493813930193,0.03652369337874224,0.12000871847074356
LQ_Company_Address,-0.08967395863477408,1.0,-0.15424383270230033,0.11916938589431372,0.07139831872940156,0.22359226620107583,0.09298538672788095,0.3051179511554166,0.13216886607999104,0.05731267535719085,-0.12765866735823062,-0.057159232112313295,-0.06848242528376838,0.2309421167504157,0.3283378002318895,-0.03696268187778653,0.10021413679366371,-0.22021594983400525,0.11996330589104262,0.05104222259380956,0.010552473620734762,-0.10057815607796332,-0.0028667057191596903,0.013967451371285739,-0.17707094696154754,0.0567739649986577,-0.03798942822843998,-0.020254865382743226,-0.01920932162276091,-0.1292607518326971,0.108122317232965,-0.05863431783318669,-0.08299260566808465,0.07554132583969467,0.007470200076933685,-0.1270812993410025,-0.0511873156287279,-0.0760583012813126,-0.05049331791027306,-0.13849287402855942,-0.1383805260646198,-0.029482402465836825,0.022019008459448555,-0.07023903215336101,0.09241648613163438,-0.09360527492268662
LQ_Service,-0.02974295563045818,-0.15424383270230033,1.0,0.013090760714983461,0.17869509433771905,-0.01868266611318302,0.1389501126965771,0.039209634857144925,-0.17887131640670964,-0.056728073407556846,0.04827379780404961,-0.014177204211377444,-0.02277759410043564,-0.21355188163409894,-0.008630534285577533,0.04814629068819536,0.07471229724825082,0.06842242973939995,0.10073572654827297,-0.12533649542834194,-0.010556772586992273,-0.013868325912418607,-0.04601066751234912,0.2569567282561905,0.12175483176637777,-0.22462134118566665,-0.014690118911392514,0.06806395188650595,-0.2000720886025544,0.24057895922692205,0.09858187091784813,0.25628944127204095,0.12324675265638724,0.21177763068863006,0.1676141724471493,0.15337989846433436,0.16192853377385485,0.2147510858983885,0.16426670150959724,0.1265729996084702,0.1552956424948805,0.18513609702675737,0.24629992747799428,0.2554079019214206,-0.1941248829150073,0.08948854553995818
LQ_Customer_Name,0.1096573253101441,0.11916938589431372,0.013090760714983461,1.0,0.059621954605698906,0.08484989998953923,0.09340684034644203,0.029365000540910846,0.1297115142819655,-0.07053341283702265,-0.2135698599892397,-0.11296126860283617,-0.2035222966269386,0.007485752725926796,0.13238173266850795,-0.024786215615180757,0.25136644979654893,0.030251636381336332,0.0684840605161689,0.11613971035111974,0.1769591096278243,-0.20995331152087987,0.08123442361221157,0.06002065055412645,0.2302532419293397,-0.006877462793762745,0.05335524967793737,-0.30772534346361946,-0.22845151049829052,0.04727144071171337,0.22889981379232663,0.24973152180707744,-0.046746042984204324,0.26909858623050814,0.23932388822224573,0.3628073324651804,0.21468226411198482,0.0390196470767334,0.08608216406718719,0.0098232576693829,0.09879258105040638,-0.026036682634828192,0.022241590148591752,0.03581879604119491,-0.2490599437423743,0.09153947197205686
Calls Count,-0.22907748333384192,0.07139831872940156,0.17869509433771905,0.059621954605698906,1.0,0.41458789700202353,0.1632892860162535,-0.2143188711826453,-0.051112598758801905,0.12590236518901435,0.1459266683766618,0.05555515774066768,-0.21348175695637242,0.023979190012644872,0.04796506837054019,0.22484851548049173,-0.011494067407201455,-0.08896543747417274,0.014046773288527188,0.013390497244614196,0.16748533148802833,0.05396328268268073,-0.02769528346053366,-0.013208780011220576,0.04977862953994016,-0.05566568339531344,-0.17041001083705054,0.031089334090129605,0.05870987808886836,0.05287446273227437,-0.11494485097060445,0.07556310516992801,-0.22421053880862452,-0.11761533360089602,-0.17245747902040898,-0.28675591220736213,-0.14212498806089635,-0.09405741838610887,-0.014992063114164247,-0.13824062045722665,-0.0027252504846215215,-0.0397357882520612,-0.07633815869797042,0.0112392755430996,-0.1413215998896665,0.06265243130591659
Connection Made Calls,-0.30320501249007364,0.22359226620107583,-0.01868266611318302,0.08484989998953923,0.41458789700202353,1.0,0.2541889157900328,-0.11116184220113408,-0.032113739266598246,0.16415576627486883,-0.09747132931434307,0.03680904726325639,-0.0834209069534719,0.06375090225135444,0.06555143462138673,-0.025029568313113763,-0.18791444662539772,-0.033325798844113116,0.005924543635660274,-0.06084343084444759,0.16060401860990525,-0.12762625724537072,0.20241986805333995,-0.06053435254093637,0.05179551521858678,-0.10151956560335643,0.0002533168119866912,-0.04105639949592386,-0.10877139073679694,-0.04394860363985727,0.07732155640397938,0.16103073873382515,-0.0752111124708453,-0.11353088035946804,-0.11994004496253277,-0.24111729563559606,-0.05960287788775851,-0.02078738915139002,-0.020069738148018063,-0.034164510148797705,0.00485118429219631,-0.10872569806906476,-0.0076183337574623295,-0.07483378982373744,0.15145089259252534,-0.08783830405480735
TO_Event_O,-0.22166903028799856,0.09298538672788095,0.1389501126965771,0.09340684034644203,0.1632892860162535,0.2541889157900328,1.0,0.04517143800894198,-0.09133905827576812,0.0875839039510517,-0.17912821320314065,-0.07588871520401048,-0.1271594247842592,0.007770925101692315,0.1553431461330692,-0.20711979325562502,0.20497947226385432,-0.19524681166348803,0.015094778949069458,0.037117741726310334,0.1345299951343822,-0.04954652938664382,0.09471604074344243,-0.08953358232228378,0.07246847668334407,-0.19152022239702346,-0.13862271287761424,0.1442831263546903,-0.10481288131009363,-0.01844598842293762,0.18417130845418841,0.163151297839539,0.03842101106151097,-0.15370176934519503,0.045883582133195155,-0.09919504649158072,-0.00553318624475402,0.08736019724208174,0.12248820695906432,0.15709085658385008,0.14865200079380475,0.153552109739849,0.03902664111969318,0.12715883911611126,0.11481285965203374,0.038391636491919866
timezone,0.18100325031807082,0.3051179511554166,0.039209634857144925,0.029365000540910846,-0.2143188711826453,-0.11116184220113408,0.04517143800894198,1.0,0.045328468507968664,0.16301499479837725,-0.06868066538344446,-0.09665705625377885,-0.07678747700690598,-0.0604030474135721,0.09488422031818135,0.0018278169074145518,0.10081741556874815,-0.0756571051496805,0.22143565478839616,0.02485163430202919,0.031083865916694996,0.1026787822172551,-0.06955703451309894,0.13292322330584622,-0.15173485527425884,-0.0057189476220414,-0.0385434851070184,0.21208385959788992,0.05210182857869891,-0.28636887971264696,-0.2380403150516678,-0.285296515464756,-0.11827536328322899,0.14019111117191715,-0.060584024763854515,0.1501737814860902,-0.11262175246664036,-0.0009724619541509543,-0.009764824416271604,-0.28946303903534637,-0.07753196879801874,-0.0532911030849632,-0.033598268641484214,-0.2451354152832801,0.08167048300590839,0.04816340720487169
season_status,0.010848426477140799,0.13216886607999104,-0.17887131640670964,0.1297115142819655,-0.051112598758801905,-0.032113739266598246,-0.09133905827576812,0.045328468507968664,1.0,-0.07077001104475711,0.25297320880253776,-0.23262954850005563,0.04035510473235015,0.17832062587943967,0.11065534426484915,-0.009442147048117754,0.12859049551302806,0.08332856622278632,-0.06804383566881106,0.14345348813014266,0.1892154040658489,-0.03173238794109962,-0.10434656514434297,-0.014659492829633185,0.09936843915716953,0.14098415008616624,-0.005546529009466241,-0.12311676215917537,0.05963239110051062,-0.14191567680822262,-0.08098812517085807,-0.008744423571434035,-0.003778579062365634,-0.047793962698557985,-0.0950169098957875,0.034471729850178066,0.0342156534473022,-0.0024831199380016523,0.0705575186623048,-0.023105889715146842,-0.1457110275941695,0.06561468350301662,-0.04623795417778963,0.046376135278566044,0.03681876074832753,-0.10746022519995349
TO_User_M,-0.11563188120587854,0.05731267535719085,-0.056728073407556846,-0.07053341283702265,0.12590236518901435,0.16415576627486883,0.0875839039510517,0.16301499479837725,-0.07077001104475711,1.0,0.0,0.26952789054289095,-0.2748779417596618,-0.005526629141319352,0.028674521361694932,0.03303379060069997,-0.17496413053439056,-0.09797933793489164,0.18626438667096992,0.0,0.1323877548006643,-0.1089383110372123,-0.02401817662853178,0.13330942403630164,-0.3018392836830942,-0.10056619756183072,0.04416808516578275,0.041537632270305574,-0.014149506249442773,-0.13494362889206135,-0.1572053919149417,-0.14974016507821572,0.0008612095385513827,-0.041435018622381234,-0.24313281575763052,-0.2114786846422301,-0.11385654787194009,0.010387545556624968,0.11036514571202118,-0.22945398622051932,-0.14205350232855085,-0.12970886580021326,-0.08202250294950741,-0.1742044469827982,-0.06871073257236773,-0.09971057347280292
lgs_sentiment_style,-0.08305560000068385,-0.12765866735823062,0.04827379780404961,-0.2135698599892397,0.1459266683766618,-0.09747132931434307,-0.17912821320314065,-0.06868066538344446,0.25297320880253776,0.0,1.0,-0.02278029803788579,-0.21914455488076337,0.060970276737837614,0.10050243791177571,0.1532557495972961,0.12217029860019757,0.0863805357410751,-0.16109224220713883,0.4291078168714114,0.2724252575423138,0.38731754346562003,-0.0637781098419018,0.1568977516910942,0.026339077064112974,0.16227419305864071,-0.007868292390771766,0.010313327702696589,0.1852276538386952,0.004540293811750966,-0.1975674256967102,-0.047885816928862,-0.2553116595970486,-0.08799901113966609,-0.2796156008804061,-0.2653673739794322,-0.1812415802157458,-0.03340149966974134,-0.03570503718022511,-0.1535064865296344,-0.2102553448267656,-0.08946058323278012,-0.03260600156380431,-0.11990723360942161,-0.016177801941334308,-0.039631620376186595
lgs_agent_gender,-0.054417450680727036,-0.057159232112313295,-0.014177204211377444,-0.11296126860283617,0.05555515774066768,0.03680904726325639,-0.07588871520401048,-0.09665705625377885,-0.23262954850005563,0.26952789054289095,-0.02278029803788579,1.0,-0.1922085946874743,0.2502383605947822,0.032246880938672916,-0.08039698510314434,0.12780200495246694,0.13178305904321752,-0.07539889593290348,0.037583459613969784,0.2094017094017094,0.11705911420671976,0.03210275171392475,0.18352968687404314,-0.10012393931041151,-0.013569733502643169,-0.1730621922041644,-0.05530456944338723,-0.029318806929428495,-0.0392585639685338,-0.019662762365448956,-0.12113260611927064,-0.09170617380681861,0.06545364582274693,-0.03111691672907271,-0.1221877406820993,-0.031374623663209665,-0.14312187599655965,-0.1438525783623715,-0.1352156708940022,-0.04320142036474756,-0.19293439704177098,-0.08423061987451165,-0.10689860684746065,0.03497804574896718,-0.12593931751950088
TO_length_in_sec,0.010773172710015627,-0.06848242528376838,-0.02277759410043564,-0.2035222966269386,-0.21348175695637242,-0.0834209069534719,-0.1271594247842592,-0.07678747700690598,0.04035510473235015,-0.2748779417596618,-0.21914455488076337,-0.1922085946874743,1.0,-0.1323391328837248,-0.12627683511949517,-0.038292707292347426,0.12811260074130454,0.20965642928748163,0.08096541366881525,-0.16704553008015355,-0.17543304252048728,0.18050788544974242,0.1899484307822253,-0.031126184923032214,-0.12709051367388477,0.04534735717413526,-0.05911909225864276,0.18924112696543427,0.20824195502395962,0.11256661715276364,0.05682258486655226,-0.06210578651665286,0.12745421566403808,-0.13614864269664734,-0.09070862541473462,0.02131664058129151,-0.14664321119722656,0.08982497349374854,0.13948794330048714,0.12587462440920272,0.047278716464441504,0.155283532822308,0.05284944177301253,0.03500054010488142,0.23984370900348115,0.13501903457473613
is_decision_maker,-0.16136545954392795,0.2309421167504157,-0.21355188163409894,0.007485752725926796,0.023979190012644872,0.06375090225135444,0.007770925101692315,-0.0604030474135721,0.17832062587943967,-0.005526629141319352,0.060970276737837614,0.2502383605947822,-0.1323391328837248,1.0,0.3753022194449649,-0.22531362990033116,0.2517218761685395,0.11463907938039888,-0.20205221515223107,0.523893059337335,0.27923593886113035,0.08117077033708014,0.33773204632602855,-0.04765196589606033,0.0353829872321334,0.1833613803343843,-0.22284179735269372,0.015602819006422531,0.20709356191870087,-0.23269257484454475,-0.03252652973719027,-0.028963969959454227,-0.11552415163059182,-0.21074187463027305,-0.0677738993669886,-0.21984637816203972,-0.20500558638325708,-0.25026198819715123,-0.17624065289488133,-0.1258024110724434,-0.19539257792892462,-0.10716025128944916,-0.16964821390860246,-0.18010044776552747,0.056523994374393344,-0.15443911381819328
ready_for_customers,0.07623929105846328,0.3283378002318895,-0.008630534285577533,0.13238173266850795,0.04796506837054019,0.06555143462138673,0.1553431461330692,0.09488422031818135,0.11065534426484915,0.028674521361694932,0.10050243791177571,0.032246880938672916,-0.12627683511949517,0.3753022194449649,1.0,-0.11299815693457815,0.43519053110740014,-0.23973631004492024,-0.2187698540465403,0.3136892348128024,0.29980138085404345,-0.033690704717496724,0.047359554257117326,0.09210590222483121,0.10867779189524514,0.07025064303937739,-0.23573854391732746,-0.19857391938852167,0.04136098069812827,-0.04878773291821004,0.18383608502383492,0.05214164562650031,-0.2493637350866654,-0.0501668648650414,0.16543239763178744,0.0716714087868179,0.05321196538872081,0.008291146599252527,0.030726568583353802,-0.2076185167305482,-0.22823327926964782,-0.09061913121420549,0.14561470971053822,0.07217791126658157,0.06486229026629914,-0.11699353916593312
