,LQ_Company_Name,LQ_Company_Address,LQ_Service,LQ_Customer_Name,Calls Count,Connection Made Calls,TO_Event_O,timezone,season_status,TO_User_M,lgs_sentiment_style,lgs_agent_gender,TO_length_in_sec,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,customer_sentiment_lgs,customer_sentiment_omc,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,TO_OMC_Disposiion,omc_agent_sentiment_style,omc_who_said_hello_first,customer_talk_percentage,total_discovery_questions,total_buying_signals,time_to_reason_seconds,location_mentioned,business_type_mentioned,within_45_seconds,call_structure_framed,total_objections,objections_acknowledged,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,objections_rebutted,total_interruptions,commitment_type,call_result_tag
LQ_Company_Name,1.0,0.10063597509439387,-0.11808566265031217,0.06616125405088323,0.033485301238240256,0.07849571503012545,0.11881112035893254,-0.18089002781057156,-0.010689430610222959,-0.10674751386040053,-0.10346475606600906,-0.05331228520292372,-0.007376365426557871,-0.0705949564189922,0.010145689514997919,-0.06459128660203202,0.015097613709369871,-0.09316740930451047,0.05156940001756903,-0.1807003811319217,0.011311220304189167,-0.10164123924417419,0.12502690561579072,0.04917482122024991,-0.07832745542783241,0.19013274056093496,-0.022259584494250983,0.10634032838970223,0.013635916449700804,-0.0739645889653025,0.022801303555593077,0.03265726129172804,-0.10078108511581721,0.03385369345026922,-0.0988921377552212,-0.13102839185167353,0.0043238267418478455,0.07235175012982736,0.03929699965526187,0.18694145529634962,-0.06263991916374306,,0.025530595146412684,0.025378409030243042,0.0965650512489747,0.07457945411436762
LQ_Company_Address,0.10063597509439387,1.0,-0.006659943977084603,0.11342762110673178,-0.04442564390655397,-0.0717408188056497,0.024956353779051407,-0.06484551087584756,0.08445939159932471,-0.03293648679481884,-0.021150574792914417,0.0541017651735304,0.07379520874819205,0.09028540280913712,-0.181335286364962,0.06267302669591011,-0.12133568086584565,0.10442692468213632,-0.17506968524314168,0.10752441688451095,0.06978042547309458,0.04254143624391872,0.19252578498118023,-0.10130417248380061,0.16317122197574768,-0.026886049957148342,0.048920664626704094,0.15810215579206138,0.21647829950010708,-0.16657672887497876,-0.060324659310231656,0.053921299966339015,-0.1973339024957553,-0.09410944200897675,-0.032281333707195055,-0.07567359763880738,-0.08194333715087213,-0.17049662778619054,0.008102213247601839,0.08698683719959278,-0.09713585532266486,,-0.003231961983288163,-0.033411901950879584,0.20971955452339486,-0.0021144399857589624
LQ_Service,-0.11808566265031217,-0.006659943977084603,1.0,0.09486928394178255,0.0627628263446373,-0.11294979643954695,-0.05803800714182946,0.20642217797442824,0.10803840505304206,-0.021352314355611194,-0.017111097335589784,-0.015405832710569316,0.0673218676734074,-0.07703587953570581,-0.14034061379658122,0.12928068925569827,-0.09448023291819341,0.05050049197438441,0.11536870738972416,-0.07726414195995167,-0.01187082531118,0.0412403405674165,0.054412765362495556,-0.011851423298693535,0.03180844798807411,-0.12123475622790217,0.19542249936894654,0.036571029030371544,0.061618837012527655,0.015226713925318455,-0.16530468964914505,-0.07223514450356458,-0.15748684948937844,-0.02354353039314418,-0.13229060584224298,0.01996402356085437,-0.0713226167542594,-0.025808374373503928,-0.050494881625601784,0.05886198488599189,0.024411860101544197,,-0.0837268977655913,0.07654188330179579,0.10972572357893179,0.008579146792899072
LQ_Customer_Name,0.06616125405088323,0.11342762110673178,0.09486928394178255,1.0,0.16925917858382708,0.09203687701576636,0.2344520611926138,-0.08434096041338061,-0.04840463520373309,-0.15025395995786867,-0.19086147613363355,-0.025728764627146523,-0.19912494999315017,0.17079113585650377,0.210071562981917,-0.07212351914129213,0.06610816624375195,-0.1644452498283582,-0.264832822945955,-0.04032405250625413,0.22730162950814298,-0.08069732440235768,0.03750978153330161,-0.09156147564364217,0.10929370266569301,0.04254757523341958,-0.09072412004015792,-0.09198730730348739,-0.0002569937424211935,-0.1982020665334581,-0.0896688519881099,-0.030945062305494635,0.047500568127992214,-0.01982155331503426,-0.035050898130788634,-0.14134847667247874,0.0017110314187139886,-0.10209891596979738,-0.12003492807208911,-0.0854443710550901,-0.12741331284433835,,-0.0829760391258766,-0.11279261886167723,0.021562087079515572,-0.1442896398308901
Calls Count,0.033485301238240256,-0.04442564390655397,0.0627628263446373,0.16925917858382708,1.0,0.5583515879936244,0.04159353717573191,-0.20158380546798008,0.11325618094856314,-0.11849800842739046,-0.24253446693695116,0.11548264192790404,-0.13700518860255828,0.1806865328606927,0.22583322313417362,-0.004535124849127367,0.08509739390592837,-0.10639384213826,-0.02844153345219556,-0.02254344608324317,0.2095691715494685,0.02791437409533396,0.10698200136649219,0.13449865984630105,-0.038531375495424465,-0.03668791173245426,-0.00911454627219498,0.010212821185989688,-0.04823740562490673,-0.13961373728776913,-0.08622644100550712,0.058880262034043555,0.06435654145091572,-0.031953199838212015,-0.10066356687921603,-0.03184547270753453,0.006264233202035235,0.02290856608429276,0.04153237181886519,0.16743170858353193,0.06803318282699579,,-0.05471005281112306,-0.11328315228224338,0.02698965159538072,0.013146883280748227
Connection Made Calls,0.07849571503012545,-0.0717408188056497,-0.11294979643954695,0.09203687701576636,0.5583515879936244,1.0,-0.03246951964652592,-0.08271609595594326,0.04400637948121558,-0.038779603299418784,-0.1475688112989746,-0.11325201034741493,-0.08022465395793402,0.16864559966898685,0.17557269777366047,-0.06995291882911805,0.09508253349175644,-0.08174178814198713,-0.040461132990422116,0.015154098103437898,0.22846527619955853,0.05348533911588684,0.0015933794398227908,0.19336245297132965,-0.037771793248962765,-0.006036732218339605,-0.014672881519339693,0.0184840621170806,-0.07087628679703634,0.023481411920658626,-0.026171360464362522,0.13747371039297265,0.2250326040447897,0.0011053233169830315,-0.06228843264273995,-0.034565958944295136,0.0677912611374885,0.0004942065049279926,0.08720532749829484,0.1359280200570779,0.018192313158828948,,-0.06104790205840635,-0.026167686676168946,-0.11030173062578343,0.07999036691490984
TO_Event_O,0.11881112035893254,0.024956353779051407,-0.05803800714182946,0.2344520611926138,0.04159353717573191,-0.03246951964652592,1.0,-0.15043825345030412,-0.23022013142522943,-0.033568981298077546,-0.1896948667287088,0.0005219937723682151,-0.22214909210152065,-0.09808541097599129,-0.0287575629516575,0.1258813171543431,-0.12789108788850967,-0.12728885896342307,-0.06129827168419394,0.17020897489330986,0.19715687671771503,-0.055204769060439016,0.35440689939724984,-0.0976642611091125,-0.07574224546585555,0.055578848860922396,0.11811734113835072,0.01958653081392101,0.14254218933283122,-0.011333687124743154,-0.17544450469783737,-0.15976741621132928,0.15517172856064923,0.08680728587239016,-0.16728251664094498,-0.1998649164010609,-0.09714918149159375,-0.25179286215257146,-0.24746011449756075,-0.1166978360824586,-0.13827527001571702,,-0.1078122804940796,-0.03353478824518846,0.16172009529095258,-0.09928477523272643
timezone,-0.18089002781057156,-0.06484551087584756,0.20642217797442824,-0.08434096041338061,-0.20158380546798008,-0.08271609595594326,-0.15043825345030412,1.0,0.2240293408462473,0.12665044600880593,-0.0762274329340552,-0.12108261734300371,-0.0217872937549588,-0.08004112268559915,0.0865894541859691,0.025613712363879045,-0.05178231061100909,0.054537925867710425,0.07453219022754139,0.0019964559774551726,0.030733112952290757,0.21400562645085797,-0.1301521292486719,-0.050685668788827125,0.018696849928567443,-0.20051586568401836,-0.010420988903588502,0.15421187171183665,0.08850183843211222,-0.004644522929665968,-0.14116616140003538,0.08877140515837834,-0.031301864492319795,-0.14724455765214997,0.002476923057068802,-0.033624216644950376,-0.08848279021363081,-0.03156368275494568,0.005386560931014354,-0.23267784012333603,-0.10082487221923606,,0.006955749203914195,-0.03336533233873021,0.09450678104443794,-0.055307739520718054
season_status,-0.010689430610222959,0.08445939159932471,0.10803840505304206,-0.04840463520373309,0.11325618094856314,0.04400637948121558,-0.23022013142522943,0.2240293408462473,1.0,0.028818173078240708,-0.011729383013350747,-0.06110623038633587,-0.01949255158325942,0.009064543740131678,0.16649891123150276,-0.10042435458105771,-0.00411314447295832,0.10685814951824336,-0.12059708713391698,0.08460208235054985,0.09229582069908972,0.2123780839975084,0.05295102101603693,0.0931220389182576,-0.17103655786923425,-0.08414100936734452,0.1335423086867469,0.10515440411481472,-0.011155766893443112,-0.07362431232709067,-0.054566307555289136,0.2995475702452206,-0.13837354858098205,-0.1303966242599837,-0.12376014144811973,-0.05044085829452797,0.023316137619971474,-0.06007742423118069,-0.16208627695253114,-0.01589856520999573,0.03692434080926345,,-0.14348941544147548,-0.057064430359992487,-0.04295250284905903,0.009587958219780849
TO_User_M,-0.10674751386040053,-0.03293648679481884,-0.021352314355611194,-0.15025395995786867,-0.11849800842739046,-0.038779603299418784,-0.033568981298077546,0.12665044600880593,0.028818173078240708,1.0,0.15752378092724276,0.14428041169459763,-0.24445791038133674,0.06137314263015388,0.05175483723901176,-0.03852623861269021,0.1916980355620777,0.011212869131356606,0.07422427669503258,-0.011176851485549786,-0.10827011160636041,0.10700917048377855,-0.12001304630361256,-0.07159891554091173,0.02364396393721607,0.041856877632706346,0.05997061901958374,-0.10956131760788484,-0.09321438945889932,0.16585601944492037,0.09439058022123083,0.20275781878670526,0.05887709018235166,0.03652171534271643,0.07116839715689968,0.07230765355423877,0.13500279929292117,0.08256419073944657,0.09113441529663993,-0.1120772180698395,0.09916739060213163,,-0.1179287098357054,0.021214008866261628,-0.15635703896820846,0.0942360970502405
lgs_sentiment_style,-0.10346475606600906,-0.021150574792914417,-0.017111097335589784,-0.19086147613363355,-0.24253446693695116,-0.1475688112989746,-0.1896948667287088,-0.0762274329340552,-0.011729383013350747,0.15752378092724276,1.0,0.02591222147151732,-0.03602258566923177,0.1796423356565763,0.021552911867294553,-0.036971755085427646,0.1768118141986176,0.28422612167478334,-0.024779296946302796,0.1821284064401407,-0.02680834334266696,-0.18128103157291547,-0.1874478398183246,0.04791611098412224,-0.10583651922985303,0.015402722132152791,0.14439938904687086,0.050906035817883284,0.09238191961860749,-0.04097853892328227,0.06017188771838899,-0.06862131120359352,-0.15002355464947192,0.0036842832473605058,-0.044292460022913024,0.03510160800141713,-0.11836158803906953,-0.2148554846939835,-0.16849587521061038,-0.1508276529381477,-0.2518357944925763,,-0.2515880532710372,-0.17214228609732146,0.10736574738661792,-0.08371805320523228
lgs_agent_gender,-0.05331228520292372,0.0541017651735304,-0.015405832710569316,-0.025728764627146523,0.11548264192790404,-0.11325201034741493,0.0005219937723682151,-0.12108261734300371,-0.06110623038633587,0.14428041169459763,0.02591222147151732,1.0,-0.09212905956396318,0.1902232320099448,0.019810380854621095,-0.22655699097393373,0.05208061512537378,-0.10931433231750953,-0.13262402718410987,0.1607144020099996,0.08985179063458242,0.07702771463036073,0.17644474381869327,-0.1645180165596629,-0.16598962082572688,0.0490560444685224,0.039266249831706304,-0.07062426066339687,0.10667728340554757,0.020708978221257102,0.05984739873868283,-0.046681547649451954,-0.03978909579779139,-0.036463748136186365,-0.026419454655828376,-0.13925369455134715,-0.07265209335818264,-0.14531481169225605,-0.0972331146621843,-0.014682512084158793,-0.08286574748329682,,-0.06895702067168379,-0.03647126343899165,-0.06797455071607236,0.019382720298228073
TO_length_in_sec,-0.007376365426557871,0.07379520874819205,0.0673218676734074,-0.19912494999315017,-0.13700518860255828,-0.08022465395793402,-0.22214909210152065,-0.0217872937549588,-0.01949255158325942,-0.24445791038133674,-0.03602258566923177,-0.09212905956396318,1.0,-0.021926372192715243,-0.2385430608861724,-0.06322967525899982,0.07285776209493611,0.1425739020566995,0.19087719115098617,-0.07521392739287024,-0.29053146149951364,0.023954179936012777,0.061491950660933554,0.16724929115789003,0.02291317458345118,0.08829466467317494,-0.07353525536976559,-0.024664228390417462,-0.021844966006735467,0.014391732517463226,0.025799671970034955,0.06753702944912242,0.03715970744279136,-0.012596484050090164,0.08633327224695808,0.10680844451854633,0.07414556295109673,0.19005278217365365,0.09263550071694948,0.14324505897725703,0.07356040257772385,,0.18238932670618718,0.10013289043169764,0.00022917621122299053,0.017149388760937957
