Variable,Correlation,Abs_Correlation,P_Value,Significant,Direction,Strength
TO_Event_O,0.9999269360637395,0.9999269360637395,1.8541066341240463e-124,Yes,Positive,Strong
LQ_Company_Address,0.9348908588719187,0.9348908588719187,1.7179056841688443e-30,Yes,Positive,Strong
LQ_Customer_Name,0.9168711175246673,0.9168711175246673,3.2258339673792938e-27,Yes,Positive,Strong
LQ_Company_Name,0.8263610516225407,0.8263610516225407,1.307553004814853e-17,Yes,Positive,Strong
LQ_Service,0.7474257669091253,0.7474257669091253,5.645965579792303e-13,Yes,Positive,Strong
total_discovery_questions,0.5185725642579553,0.5185725642579553,8.182517601980014e-06,Yes,Positive,Strong
total_buying_signals,0.48430281589624163,0.48430281589624163,3.784659197470969e-05,Yes,Positive,Moderate
TO_OMC_Disposiion,0.47180468163300926,0.47180468163300926,6.359647941947399e-05,Yes,Positive,Moderate
TO_User_M,0.46173500975661014,0.46173500975661014,9.52343848050805e-05,Yes,Positive,Moderate
lgs_agent_gender,0.42650522007646113,0.42650522007646113,0.00035571739166831076,Yes,Positive,Moderate
customer_sentiment_omc,0.38158037915840154,0.38158037915840154,0.0015707655095510804,Yes,Positive,Moderate
total_interruptions,0.348661070756675,0.348661070756675,0.004117243042382123,Yes,Positive,Moderate
objections_acknowledged,0.341355455507971,0.341355455507971,0.0050318979319929815,Yes,Positive,Moderate
commitment_type,0.3048664899627188,0.3048664899627188,0.012810789505807213,Yes,Positive,Moderate
call_result_tag,0.30292833131881436,0.30292833131881436,0.01342196160053372,Yes,Positive,Moderate
location_mentioned,0.28985880041871465,0.28985880041871465,0.018237703373714224,Yes,Positive,Weak
objections_rebutted,0.2886105264941595,0.2886105264941595,0.018766704633858662,Yes,Positive,Weak
TO_length_in_sec,0.27202121224376574,0.27202121224376574,0.0271375599629638,Yes,Positive,Weak
omc_agent_sentiment_style,0.2645297981517078,0.2645297981517078,0.03184237310691575,Yes,Positive,Weak
technical_quality_issues,0.2502509718683882,0.2502509718683882,0.042706001357986356,Yes,Positive,Weak
season_status,0.20938775844976684,0.20938775844976684,0.09153933487117094,No,Positive,Weak
timezone,0.18876108000101996,0.18876108000101996,0.12904374683618053,No,Positive,Weak
total_objections,0.18068220584513908,0.18068220584513908,0.14655667083716892,No,Positive,Weak
forbidden_industry,0.1640999131215905,0.1640999131215905,0.18796350366162817,No,Positive,Weak
omc_who_said_hello_first,0.13743556402044463,0.13743556402044463,0.2711446595277447,No,Positive,Weak
Connection Made Calls,0.1350819488710212,0.1350819488710212,0.2795152844494714,No,Positive,Weak
business_type_mentioned,0.13232511434525968,0.13232511434525968,0.28953585615337374,No,Positive,Weak
within_45_seconds,0.1262574658567223,0.1262574658567223,0.31241289428189906,No,Positive,Weak
customer_knows_marketing,0.11255619358418069,0.11255619358418069,0.36822488245212814,No,Positive,Weak
customer_sentiment_lgs,0.1018262100390424,0.1018262100390424,0.415901657586751,No,Positive,Weak
call_structure_framed,0.09268764172357687,0.09268764172357687,0.4591748360818517,No,Positive,Weak
time_to_reason_seconds,-0.07992405375110531,0.07992405375110531,0.5235246137057019,No,Negative,Weak
who_said_hello_first_lgs,0.07901889163039633,0.07901889163039633,0.5282535179748574,No,Positive,Weak
customer_language,-0.07888096452217347,0.07888096452217347,0.5289759612281626,No,Negative,Weak
ready_for_customers,0.07498823344820518,0.07498823344820518,0.5495657999914383,No,Positive,Weak
ready_to_transfer,0.0746795338273652,0.0746795338273652,0.5512149599172141,No,Positive,Weak
technical_quality_score,0.06949539771462523,0.06949539771462523,0.5792592397753165,No,Positive,Weak
timeline_mentions_final_2min,-0.06108162183515403,0.06108162183515403,0.6261141240566337,No,Negative,Weak
customer_marketing_experience,0.053543926894318625,0.053543926894318625,0.6693879253955897,No,Positive,Weak
contract_mentions_final_2min,0.050734107965298744,0.050734107965298744,0.6858072585060682,No,Positive,Weak
customer_availability,0.050140032450334146,0.050140032450334146,0.6892977172353543,No,Positive,Weak
customer_talk_percentage,0.03813772631808163,0.03813772631808163,0.7611102763723331,No,Positive,Weak
is_decision_maker,0.033480033469468914,0.033480033469468914,0.7895684801214755,No,Positive,Weak
price_mentions_final_2min,-0.023895140763577977,0.023895140763577977,0.8489619152167923,No,Negative,Weak
Calls Count,0.012435570868083536,0.012435570868083536,0.9210584229890652,No,Positive,Weak
lgs_sentiment_style,0.009460668722779234,0.009460668722779234,0.9399028386673723,No,Positive,Weak
