Variable,RF_Importance,XGB_Importance,Abs_Correlation,RF_Importance_Norm,XGB_Importance_Norm,Abs_Correlation_Norm,Combined_Score
total_buying_signals,0.20559668265342174,0.51710993,0.6077145064567888,1.0,1.0,0.7177605789964143,0.9153281677384598
total_discovery_questions,0.1024399391134334,0.115336254,0.5145267729066334,0.4982567704466242,0.2230401,0.6076982374237287,0.4347633727824124
objections_rebutted,0.0860187755916247,0.15020642,0.3713662772154986,0.41838600935321607,0.2904729,0.43861397304474614,0.3796848069143825
LQ_Company_Address,0.029553886501606914,0.026614528,0.8386585959008226,0.1437469035014853,0.051467836,0.9905244534703173,0.36548249408766564
TO_Event_O,0.01314434690146234,0.0010612402,0.8466813645665886,0.06393267990427655,0.0020522526,1.0,0.3230947263811427
LQ_Service,0.021345787180790263,0.023915937,0.7554888792135397,0.10382359727454,0.046249233,0.8922942098770181,0.3202137539969092
LQ_Customer_Name,0.008064848106129011,0.0023357833,0.8185951552457591,0.039226547831630536,0.0045169955,0.9668278876845168,0.3053586064057587
LQ_Company_Name,0.023465538482761065,0.017258825,0.6791647617510783,0.11413383805573056,0.033375543,0.8021491793417928,0.29227303647705927
technical_quality_issues,0.03805071620592199,0.10407748,0.3438308853632112,0.1850745630466461,0.20126761,0.40609242124895034,0.2570474909124201
total_interruptions,0.07145162287767003,0.0,0.3818592541455238,0.3475329560551198,0.0,0.451007037743172,0.2569386459422435
price_mentions_final_2min,0.06678969930446549,0.0,0.320832104397348,0.32485786464295324,0.0,0.37892897827222183,0.22737894610670017
customer_marketing_experience,0.040220248133320945,0.0,0.3287809150343087,0.19562693139908774,0.0,0.388317174315759,0.1849645782844084
TO_User_M,0.020482136818756415,0.022682376,0.3209966172513423,0.09962289543982354,0.04386374,0.3791232814196385,0.1639573065799824
omc_agent_sentiment_style,0.032028198354864604,0.0,0.2983786592731338,0.15578168840814982,0.0,0.3524096215650998,0.16024647741238238
call_result_tag,0.01990139389503511,0.0,0.3513405017477434,0.09679822474851536,0.0,0.4149618929283894,0.15836794654049718
TO_OMC_Disposiion,0.00578222546050946,0.0,0.4079213770934363,0.028124118472556622,0.0,0.48178853836265656,0.15438000297419177
objections_acknowledged,0.029546132006510926,0.0,0.291675859804184,0.14370918647708633,0.0,0.34449306670814844,0.15364613527942475
total_objections,0.02985973205318478,0.0,0.2670811404038158,0.14523450314380754,0.0,0.31544468979842627,0.1454654830398605
customer_sentiment_omc,0.023867040715520572,0.0,0.2746251785037601,0.1160867014364901,0.0,0.3243548163414925,0.13793679040521928
commitment_type,0.009041211969596905,0.0,0.2875986781710273,0.04397547593137895,0.0,0.339677581445586,0.11729469100965843
location_mentioned,0.010478201214308152,0.0,0.2432248200566363,0.05096483600356265,0.0,0.2872684226150905,0.10401821938577407
customer_sentiment_lgs,0.01198411473132721,0.0,0.2311263685177716,0.058289436272320895,0.0,0.2729791609811607,0.10229505098966052
technical_quality_score,0.01435222190894359,0.008148156,0.1627370022976016,0.06980765313775712,0.015757106,0.1922057211934808,0.0876093822349889
lgs_sentiment_style,0.004038573315782139,0.0,0.2203159421784886,0.019643183263759367,0.0,0.2602111625443263,0.08493846290561366
contract_mentions_final_2min,0.0,0.0,0.2387723942715197,0.0,0.0,0.28200974329197137,0.08460292298759141
timeline_mentions_final_2min,0.011676193237197296,0.0,0.172088384735443,0.056791739470232985,0.0,0.20325046934691193,0.08085224961865511
TO_length_in_sec,0.016279748831708615,0.00070995325,0.144191350435044,0.07918293535480676,0.0013729252,0.17030178821622552,0.07928508766676859
time_to_reason_seconds,0.014801936844021951,0.007056637,0.1190305865407064,0.07199501788155727,0.0136463,0.1405848664233179,0.07214992112174676
customer_talk_percentage,0.014283627025860352,0.003486547,0.1188681444576735,0.06947401505470074,0.006742371,0.14039300902591784,0.06879363781996489
omc_who_said_hello_first,0.0002017309872691546,0.0,0.1476501003287359,0.0009811976762738744,0.0,0.1743868549703077,0.05265947567778817
call_structure_framed,0.0005702488980346516,0.0,0.1444339627188856,0.002773628886784769,0.0,0.17058833318342906,0.05214727006540339
season_status,0.0,0.0,0.1226030307550144,0.0,0.0,0.14480421547694533,0.0434412646430836
business_type_mentioned,0.0008198484302248683,0.0,0.1173824614076121,0.003987653981785798,0.0,0.1386382957273419,0.0429871676118276
ready_to_transfer,0.0014827835736716955,0.0,0.110864339091006,0.007212098729098913,0.0,0.13093985970478614,0.04180619246662046
forbidden_industry,0.0,0.0,0.0944916698573254,0.0,0.0,0.11160239709030936,0.03348071912709281
is_decision_maker,0.0,0.0,0.0918221678863295,0.0,0.0,0.10844949673993681,0.03253484902198104
