Variable,RF_Importance
total_buying_signals,0.20559668265342174
total_discovery_questions,0.1024399391134334
objections_rebutted,0.0860187755916247
total_interruptions,0.07145162287767003
price_mentions_final_2min,0.06678969930446549
customer_marketing_experience,0.040220248133320945
technical_quality_issues,0.03805071620592199
omc_agent_sentiment_style,0.032028198354864604
total_objections,0.02985973205318478
LQ_Company_Address,0.029553886501606914
objections_acknowledged,0.029546132006510926
customer_sentiment_omc,0.023867040715520572
LQ_Company_Name,0.023465538482761065
LQ_Service,0.021345787180790263
TO_User_M,0.020482136818756415
call_result_tag,0.01990139389503511
TO_length_in_sec,0.016279748831708615
time_to_reason_seconds,0.014801936844021951
technical_quality_score,0.01435222190894359
customer_talk_percentage,0.014283627025860352
TO_Event_O,0.01314434690146234
customer_sentiment_lgs,0.01198411473132721
timeline_mentions_final_2min,0.011676193237197296
location_mentioned,0.010478201214308152
commitment_type,0.009041211969596905
LQ_Customer_Name,0.008064848106129011
timezone,0.006016935249877797
TO_OMC_Disposiion,0.00578222546050946
within_45_seconds,0.00486009693591321
lgs_agent_gender,0.004246231492481132
lgs_sentiment_style,0.004038573315782139
ready_for_customers,0.0027851674823264096
customer_availability,0.0020370887837714595
who_said_hello_first_lgs,0.0017988694824803502
ready_to_transfer,0.0014827835736716955
business_type_mentioned,0.0008198484302248683
Calls Count,0.0006362192482132438
call_structure_framed,0.0005702488980346516
omc_who_said_hello_first,0.0002017309872691546
is_decision_maker,0.0
Connection Made Calls,0.0
season_status,0.0
customer_language,0.0
forbidden_industry,0.0
customer_knows_marketing,0.0
contract_mentions_final_2min,0.0
