Feature,Importance_RF,Importance_GB,Avg_Importance
total_buying_signals,0.3233954256802398,0.4115385865808504,0.3674670061305451
call_result_tag,0.0699298645703301,0.13789896758485043,0.10391441607759026
TO_Event_O,0.1687103373388903,0.01841748286950113,0.09356391010419571
TO_length_in_sec,0.022426110723246306,0.15583945553873924,0.08913278313099277
total_discovery_questions,0.11113806000018647,0.01762500304525482,0.06438153152272065
ready_for_customers,0.006618317972286842,0.0989677469938451,0.05279303248306597
LQ_Company_Name,0.04386546700936639,0.02943921004805667,0.036652338528711526
TO_OMC_Disposiion,0.05464118483925661,0.009161779403108883,0.031901482121182746
LQ_Company_Address,0.016545663561110185,0.03504322536179158,0.025794444461450884
total_interruptions,0.035706865938576166,0.011239394497928762,0.023473130218252463
time_to_reason_seconds,0.019953439583628062,0.012608112518797175,0.016280776051212618
customer_talk_percentage,0.008541183495403728,0.006810492773716025,0.007675838134559876
timeline_mentions_final_2min,0.0023987189926702366,0.012459237181137745,0.007428978086903991
customer_sentiment_omc,0.013001180263478192,0.0012492020470818176,0.0071251911552800045
LQ_Customer_Name,0.01008033768713877,0.0021952515723796316,0.006137794629759201
Connection Made Calls,0.002980439661210791,0.00814015773956819,0.00556029870038949
price_mentions_final_2min,0.009184950847049933,0.0008257994907462884,0.00500537516889811
technical_quality_score,0.006662863608286445,0.00226470564553065,0.004463784626908548
TO_User_M,0.004403190202610245,0.003976332482125304,0.004189761342367775
LQ_Service,0.006370669780805807,0.0015776464312369865,0.003974158106021397
timezone,0.002933322893408389,0.0049136564439212355,0.003923489668664812
objections_acknowledged,0.004527706440831768,0.00330392204093692,0.003915814240884344
omc_who_said_hello_first,0.00723165823386454,5.077560736864584e-05,0.003641216920616593
call_structure_framed,0.007164995808406365,3.602317817026286e-05,0.003600509493288314
within_45_seconds,0.0026159035822140657,0.004229632607072665,0.0034227680946433657
total_objections,0.0034620844264758037,0.0011295550317383218,0.0022958197291070626
is_decision_maker,0.0037809089707891348,0.00016619247639288362,0.0019735507235910093
ready_to_transfer,0.0030809926232393705,0.0008351058959765801,0.001958049259607975
technical_quality_issues,0.0032735101713937454,0.00030799672708796134,0.0017907534492408535
customer_knows_marketing,0.0012891570902339475,0.002109254424262569,0.0016992057572482583
lgs_sentiment_style,0.0033119436899826616,7.216962999330428e-05,0.001692056659987983
lgs_agent_gender,0.0024976638754225853,0.000772104855861327,0.0016348843656419562
business_type_mentioned,0.002260544248514059,0.000624043788159503,0.0014422940183367809
omc_agent_sentiment_style,0.001978518564431654,0.0006617833267929877,0.0013201509456123208
Calls Count,0.002005403231711738,0.0005252225550483056,0.0012653128933800219
customer_sentiment_lgs,0.0020176745938750673,0.0005011017939892892,0.0012593881939321782
objections_rebutted,0.0018802226785150232,0.0003329223011220722,0.0011065724898185478
customer_marketing_experience,0.001834016660138916,0.00019194408231473285,0.0010129803712268244
who_said_hello_first_lgs,0.0009006327235064445,0.0009465400116253818,0.0009235863675659131
contract_mentions_final_2min,0.0017316250477884387,2.738725163896742e-06,0.0008671818864761677
customer_language,0.0013251767351616893,1.0471354324593598e-07,0.0006626407243524676
location_mentioned,0.000952381364628166,9.569060156744976e-05,0.0005240359830978079
season_status,0.0006292396835858513,0.00036325923288493844,0.0004962494582353949
commitment_type,0.00034060323462790416,0.0005451644205617659,0.00044288382759483504
customer_availability,0.00041362998986451885,5.263736587843087e-06,0.00020944686322618098
forbidden_industry,6.2116816166581975e-06,4.198560919721481e-08,3.1268336129277063e-06
