Feature,Importance
total_buying_signals,0.4115385865808504
TO_length_in_sec,0.15583945553873924
call_result_tag,0.13789896758485043
ready_for_customers,0.0989677469938451
LQ_Company_Address,0.03504322536179158
LQ_Company_Name,0.02943921004805667
TO_Event_O,0.01841748286950113
total_discovery_questions,0.01762500304525482
time_to_reason_seconds,0.012608112518797175
timeline_mentions_final_2min,0.012459237181137745
total_interruptions,0.011239394497928762
TO_OMC_Disposiion,0.009161779403108883
Connection Made Calls,0.00814015773956819
customer_talk_percentage,0.006810492773716025
timezone,0.0049136564439212355
within_45_seconds,0.004229632607072665
TO_User_M,0.003976332482125304
objections_acknowledged,0.00330392204093692
technical_quality_score,0.00226470564553065
LQ_Customer_Name,0.0021952515723796316
customer_knows_marketing,0.002109254424262569
LQ_Service,0.0015776464312369865
customer_sentiment_omc,0.0012492020470818176
total_objections,0.0011295550317383218
who_said_hello_first_lgs,0.0009465400116253818
ready_to_transfer,0.0008351058959765801
price_mentions_final_2min,0.0008257994907462884
lgs_agent_gender,0.000772104855861327
omc_agent_sentiment_style,0.0006617833267929877
business_type_mentioned,0.000624043788159503
commitment_type,0.0005451644205617659
Calls Count,0.0005252225550483056
customer_sentiment_lgs,0.0005011017939892892
season_status,0.00036325923288493844
objections_rebutted,0.0003329223011220722
technical_quality_issues,0.00030799672708796134
customer_marketing_experience,0.00019194408231473285
is_decision_maker,0.00016619247639288362
location_mentioned,9.569060156744976e-05
lgs_sentiment_style,7.216962999330428e-05
omc_who_said_hello_first,5.077560736864584e-05
call_structure_framed,3.602317817026286e-05
customer_availability,5.263736587843087e-06
contract_mentions_final_2min,2.738725163896742e-06
customer_language,1.0471354324593598e-07
forbidden_industry,4.198560919721481e-08
