Feature,Importance
total_buying_signals,0.3233954256802398
TO_Event_O,0.1687103373388903
total_discovery_questions,0.11113806000018647
call_result_tag,0.0699298645703301
TO_OMC_Disposiion,0.05464118483925661
LQ_Company_Name,0.04386546700936639
total_interruptions,0.035706865938576166
TO_length_in_sec,0.022426110723246306
time_to_reason_seconds,0.019953439583628062
LQ_Company_Address,0.016545663561110185
customer_sentiment_omc,0.013001180263478192
LQ_Customer_Name,0.01008033768713877
price_mentions_final_2min,0.009184950847049933
customer_talk_percentage,0.008541183495403728
omc_who_said_hello_first,0.00723165823386454
call_structure_framed,0.007164995808406365
technical_quality_score,0.006662863608286445
ready_for_customers,0.006618317972286842
LQ_Service,0.006370669780805807
objections_acknowledged,0.004527706440831768
TO_User_M,0.004403190202610245
is_decision_maker,0.0037809089707891348
total_objections,0.0034620844264758037
lgs_sentiment_style,0.0033119436899826616
technical_quality_issues,0.0032735101713937454
ready_to_transfer,0.0030809926232393705
Connection Made Calls,0.002980439661210791
timezone,0.002933322893408389
within_45_seconds,0.0026159035822140657
lgs_agent_gender,0.0024976638754225853
timeline_mentions_final_2min,0.0023987189926702366
business_type_mentioned,0.002260544248514059
customer_sentiment_lgs,0.0020176745938750673
Calls Count,0.002005403231711738
omc_agent_sentiment_style,0.001978518564431654
objections_rebutted,0.0018802226785150232
customer_marketing_experience,0.001834016660138916
contract_mentions_final_2min,0.0017316250477884387
customer_language,0.0013251767351616893
customer_knows_marketing,0.0012891570902339475
location_mentioned,0.000952381364628166
who_said_hello_first_lgs,0.0009006327235064445
season_status,0.0006292396835858513
customer_availability,0.00041362998986451885
commitment_type,0.00034060323462790416
forbidden_industry,6.2116816166581975e-06
