,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
TO_length_in_sec,0.1041134162836963,0.053714212104463616,-0.16500725644350672,0.17988924939627352,0.13912263231363942,-0.05529910504125119,0.10718831433297106,-0.12674647643097564,-0.19310675260166357,0.24750195058025073,0.41579140953563687
TO_OMC_Duration,-0.02397005916924992,-0.12063080082949824,-0.08282354871264148,0.052750103935244604,0.3168548010160427,0.09439910915082442,0.07672386495585468,-0.14355764562694368,-0.02025981745036151,0.2118410798041219,-0.2661924352775627
Calls Count,-0.020599266551617364,0.09869743025398527,0.031055611877942434,0.30696913369194995,0.19633291118244395,-0.025205974854738467,0.0006573425979125924,0.00779300481730557,-0.03856760476173973,-0.10126608750056512,0.08898516243494342
Dial Attempt Calls,-0.0088016096698869,0.14056650825301334,0.0366477138541637,0.26359362157523514,0.2085405690367201,-0.02527547209958298,0.08646198046590935,0.08905095580014716,0.07278668038351545,-0.05749065610754809,-0.16781322929957967
lgs_sentiment_style,0.09379129006502127,0.028811700873293565,-0.026634518693912437,-0.09081776428162625,0.06461090319077845,-0.15808440296703957,-0.15813272669621597,0.4049743099809992,0.29136318891416124,0.017610435073903176,0.40665421258885365
forbidden_industry,0.1258744881668477,-0.02960872305652901,-0.024620975593448842,0.1819728413460885,-0.18399079016498,-0.08453976231378514,0.18760581271479385,0.1394602425650744,0.045830683423778544,0.29629433308721154,-0.1287451087719033
lgs_call_not_transferred,-0.013635082229921257,-0.17489710466567282,-0.13132214064668762,-0.08597059617824679,-0.18876528507400894,0.018252756822270077,0.013852585161744872,-0.010576073097359386,0.16362076411815987,0.39372296577737104,0.26688196685843313
customer_sentiment_lgs,0.04083993051817289,0.19363849391280716,-0.1727081881545214,0.11453288717654897,0.10311257610678708,-0.08393319209168244,-0.07033514338370983,0.19847640431357674,0.1402807326659439,0.10550411036752622,-0.28754989749011894
customer_marketing_experience,0.20009679589202573,0.11181124760252517,0.03949734331353511,-0.048119258846519464,0.12062065470236884,0.03934011588457401,0.023143162668721705,0.16952468312869387,-0.16681063916452601,0.11803321436218263,-0.03090052950085621
technical_quality_score,-0.19930594842692875,-0.14503303952389698,-0.002230639721300804,-0.03314551304135476,-0.08323372102451917,-0.04390970003328627,0.1459627645494356,0.04440089023949668,-0.167159257552621,-0.04770212271230111,-0.14177195389880437
technical_quality_issues,-0.16731236320997211,-0.15724147511694742,-0.012593510614629011,-0.014990038194882349,-0.06516441505976109,-0.18080569934303162,0.17621686594993408,0.09455984206570978,0.04083070314650437,0.08923858078293248,0.07881222403558649
customer_talk_percentage,0.11577400576376341,-0.003150508562700428,-0.22679039750238447,-0.009204585846178412,0.007705786437016641,-0.04910798503148616,0.27865567339163444,0.1321219509037996,-0.21785769828838306,0.0038594664480460098,0.0432206415997381
agent_talk_percentage,-0.09109666190229611,0.003180577079943623,0.24829367472562508,-0.014355024938774462,0.007172506009612301,0.06813810626000566,-0.23381458375279435,-0.13132079127744395,0.2668460495208849,-0.05113310803503819,0.06967162803581507
total_discovery_questions,0.17616148758675435,-0.18331161281191574,-0.13610056204833387,0.018651123355964052,0.02967135776840194,-0.035416954756249314,-0.022123420330938472,0.0914112593168453,0.0529537141410286,-0.025746414069478064,-0.1260002201187524
goal1_questions,0.15438248030800145,-0.20765343349639778,-0.10300138327071445,-0.08555284990480853,0.013401123827999286,0.07851748348566052,0.005888388826037314,0.09808083381963126,0.05900729577061224,-0.05222975524306111,0.008945001642028098
goal2_questions,0.12114025477448165,-0.0817967089340897,-0.17267863057454536,0.21840646018750776,0.04323684551668824,-0.1462600033198134,-0.06480647381953025,0.03877595988425047,0.06842894155624162,0.035240957813079656,-0.2479188051640409
goal3_questions,0.18333799370313894,-0.06601769490430646,0.01798214651816227,-0.08013699503537915,0.03667736547139241,-0.2606127925644467,-0.02100590089161726,0.07301905607792694,-0.11850106732699454,-0.04020647278845332,0.05010767720118496
advanced_discovery_used,0.047449082648867665,-0.11422159073396707,-0.014827350095146758,0.2186460113601,-0.24324494282025566,0.1382518766092662,-0.1352872618858515,-0.032864732080621746,-0.043763159518704596,0.011176065430251831,-0.08963353392899627
total_buying_signals,0.08721985027132495,-0.23033866419546822,0.033893357129418336,-0.17805681519116967,-0.04877157366104069,-0.011716803041482763,-0.08532477774080459,-0.045372050924822646,-0.1950664678883413,0.024010705923096017,-0.040264976972884434
total_resistance_signals,0.21635752440225525,0.008070795743840186,0.07149737710632259,-0.15390875092393172,0.016927963872748655,-0.1216348143039304,-0.06293857118362699,-0.027897365291751297,0.026040917763277154,0.00966181926097535,0.01670682627995504
signal_ratio,0.15779646599378597,-0.07268813122027128,0.028531116634935003,-0.20941065764900163,-0.07437290725058666,0.0792095660882016,0.18769547417539167,-0.18152754342220048,0.04262224072277287,0.09572407396551803,-0.055596493097549875
customer_sentiment_omc,-0.01911061909129492,0.19367713576192266,-0.041841838018969076,-0.21640567604917718,0.060210535590351645,-0.09832210476721222,-0.18513118291785438,-0.05715428392712568,-0.20667702570047874,0.08439634346039276,-0.13767189599233765
omc_agent_sentiment_style,-0.12825619935768956,-0.08577927720194715,-0.026462892298917164,0.03280220638792054,-0.05674190425624786,-0.2985260056815752,-0.19161692926133447,0.07586917245946274,-0.08252758554394005,-0.17858585548775707,-0.018769430065971225
time_to_reason_seconds,0.08627725376552163,0.0673405417114691,0.06644524543425885,0.014032306087378828,-0.09749913853935271,0.29731765806181126,0.15780937441272844,0.2722620648736954,0.034377159640047394,-0.15940830304968526,0.14896797896748268
call_structure_clarity,0.0031727774233876516,-0.08803021104330255,0.19653036396953638,0.013096232591016561,0.22630703519380913,-0.08836061868354102,0.1980782791024898,-0.1423526483915818,0.16517830174442633,-0.1783917636164095,0.011664488876191391
total_objections,0.2165907072541458,0.05293097679914293,0.11699882078354623,-0.11043392872749129,0.017700605003982416,-0.09548434153386595,-0.032188662677347116,-0.08619371332166692,0.030855250479725628,-0.03131882524317481,-0.11085271316209623
objections_acknowledged,0.17987625566224258,0.07815601555135679,-0.07439695187408824,0.10529200498644431,-0.165595003448916,-0.04560714809924242,-0.07282653143857822,-0.22100367270826504,0.11302893664369845,0.015246136867530465,-0.0487868583998744
objections_rebutted,0.15497055507238175,-0.10202820381701494,0.19702368993350813,-0.12823479833609816,0.03281254885286419,-0.04759964461316762,-0.052214742962712446,-0.10612182920252194,0.16561625716225087,-0.024787011293039195,-0.12187018771195007
acknowledgement_rate,0.07995001448021766,0.11341762553266715,-0.17203775834982477,0.11203121411810434,-0.2337672747486368,0.021903026852523468,-0.03363191245253817,-0.2097040627779239,0.09584558562157676,0.012285957108625315,0.06921471611288925
price_mentions_final_2min,0.07635780376262846,-0.025819988291449086,0.0585585595177861,0.01672776150904327,-0.01955738190221059,0.38970101525589557,-0.10745263845037081,0.06816895300148049,-0.1433216526911614,0.04074009584741438,0.072503111959541
timeline_mentions_final_2min,-0.11124641311973305,0.11284786369288705,0.19107996030282842,0.07829552510581556,-0.17241910400858512,0.023877252202416127,0.08675623027661783,0.008811531567293474,0.22971961553307632,0.16787211437606392,-0.05546517589026857
price_timeline_contract_before_dropoff,0.06465166758899123,0.06217771559605874,0.12400439113558484,0.049336862516138814,-0.13660899623172806,0.33524739047175706,0.060252654046633505,0.12059761255841216,-0.10232645135054855,0.03459667968672893,-0.04237016444347037
average_monologue_length,-0.16337125215206214,0.10381241131953292,0.23538064113593402,0.043546563570027744,0.004886593350276122,0.008865614784874654,-0.09526482566926632,0.018829427778491573,-0.03548704537384937,0.028083896671204384,-0.01667199609895637
longest_monologue_length,-0.10588052825788777,0.06933982401456827,0.2619525480685538,0.027299878163575965,-0.018537099836648176,0.02376499105113953,-0.17456217054791054,-0.05207237549162214,-0.14059055087169892,0.23821590941729673,-0.039977305536380486
extended_monologues_count,0.1239942513731919,0.008589660103643126,0.21369472316722912,0.16425500338925877,-0.14583034653229404,-0.12426058340383549,0.040783706200885984,-0.018365059661283302,-0.05074791349399419,-0.05396877443711545,0.16438982858457155
short_monologues,0.14594048290184017,-0.15405825277913704,-0.058243212207772885,-0.13860216071546233,0.10796797989278042,0.17207782436248092,-0.08956189439907593,-0.02188273005857642,0.12210866089474665,-0.04600153618063587,-0.013481104792841082
medium_monologues,0.20668579112552415,-0.120876127688292,-0.04752282035410637,-0.0591230376894954,0.010415590729740604,0.09913189612594082,0.03752191089274696,-0.07436659810141902,0.09275821391756847,-0.23148651809371626,-0.07693832777405642
long_monologues,0.12314653972035466,-0.1104627264030399,0.174001730951138,0.10742143629482935,-0.17543788840709654,-0.11724611632193602,0.04527970921328677,-0.04931436992809954,-0.14411590007043898,-0.1189134857923161,-0.027940372224007862
very_long_monologues,0.1528757648377988,0.05165613541800847,0.2282410232476291,0.1355870886481171,-0.04367871358546238,-0.055461153118136354,0.0190245332797702,-0.11521562442543425,-0.011817192462736846,0.11433161475523766,-0.010975354456201998
total_interruptions,0.19544708635865188,0.09823242025943278,0.0011432026357654692,0.1707036877730788,0.10027730523918862,0.007345381660890724,0.11256283792903315,-0.11105287495565092,0.019941658534260283,-0.02931908949389626,0.032817522430336095
interruption_rate,0.15280634670760435,0.1582864652434423,-0.09665781886307596,0.08300782291161034,0.1774633142968434,0.055217485703525124,0.048889358270448435,-0.12042504842846558,0.10826494659377597,0.059948157111528295,0.06264842290314994
