,TO_Lead_ID,TO_Phone,TO_length_in_sec,Calls Count,Connection Made Calls,Dial Attempt Calls,lead_id,technical_quality_score,customer_talk_percentage,agent_talk_percentage,total_discovery_questions,goal1_questions,goal2_questions,goal3_questions,total_buying_signals,total_resistance_signals,time_to_reason_seconds,total_objections,objections_acknowledged,objections_rebutted,acknowledgement_rate,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,price_timeline_contract_before_dropoff,average_monologue_length,longest_monologue_length,extended_monologues_count,short_monologues,medium_monologues,long_monologues,very_long_monologues,total_interruptions,interruption_rate,name_usage_count,rapport_elements_count,empathy_responses,empathy_response_rate,total_call_duration,time_in_final_stage,LQ_User_encoded,LQ_Customer_Name_encoded,LQ_Company_Name_encoded,LQ_Company_Address_encoded,LQ_Service_encoded
TO_Lead_ID,1.0,-0.021233590193569966,0.19245199167738622,0.1308389908902668,0.021232266485852018,0.14241082104264613,1.0,-0.04099374049998801,0.06388219448205967,-0.06289856012433027,0.19039558645932286,0.18584395161923703,0.14177128383093046,0.047433151877724004,0.17109571216589223,0.015346418069354082,0.013550559325585243,0.026246125065711574,0.02533608650445503,0.06520906872785939,0.019853292055146205,0.10270450938821432,0.08133849195833139,0.05242726034026871,0.10683060415714227,0.020856455019114643,0.11066805960504196,0.1543335098479194,0.14719615922309873,0.18902725862688627,0.14593053596465572,0.10933190526682983,0.09854940111485172,0.06020952593140644,0.01768870871133559,0.11370527690935159,0.045241457069825734,0.04749133282236845,0.21089553768191757,0.11156616354096442,-0.2638582088806774,0.04971146743403631,0.24728192301483495,-0.014176295049930085,0.03987087998646377
TO_Phone,-0.021233590193569966,1.0,-0.010961775530584656,0.019292937658468158,0.03721544929236212,0.0040026089565563016,-0.021233590193569966,-0.017234155564896693,-0.027086828537391743,0.029830662144524355,0.008806543201321052,0.006196893844170259,0.008213681952091004,-0.0008779069550630935,-0.011445275159497385,-0.02884047880307605,0.009003123855862282,-0.04200135285377996,-0.007566679661553011,-0.023235450887060517,-0.0021602749485893366,-0.03544428343941655,-0.04093137251567389,0.026426105635226474,-0.04869411513386441,0.016782280848409433,0.01225078418911936,0.012847193908643645,-0.006463604540859581,-0.01884817844878444,0.017739011900471467,-0.007102346081969028,-0.009231872385152991,-0.0043536390505673,0.010597717152361505,0.009730956535107332,0.027146462329379867,0.02641404378516355,-0.017488399857764403,0.006676615494888572,0.0172310659097796,-0.025613844926516086,-0.007237789645154176,-0.07087914064838884,0.014875248634992514
TO_length_in_sec,0.19245199167738622,-0.010961775530584656,1.0,-0.06529223006248312,-0.09520043772101172,-0.037851322173148516,0.19245199167738622,-0.03975193633528263,0.07613904082207601,-0.06327041870729477,0.142116417809742,0.12470597224371102,0.12004891441178192,0.06989640965532323,0.14589424036026766,0.12696321910651895,0.051578562322529636,0.13603502646082136,0.0909695203834945,0.1143660479143737,0.08211550613667688,0.08238788838482487,0.11436011375955843,0.017989801773518756,0.12424947229936689,0.0199916295395355,0.1224799993161793,0.15301123987887622,0.1562439213611152,0.15699012035076346,0.14639436313415075,0.1081988294853188,0.11279179852995692,0.07065015483246648,0.06890971682177063,0.08504938275813112,0.06745675773881164,0.06300662727485531,0.2192041452370198,0.15917579407040078,-0.04078003613583481,-0.01596339953465549,0.043705816599691714,0.02071419102659193,0.037295546178555634
Calls Count,0.1308389908902668,0.019292937658468158,-0.06529223006248312,1.0,0.4365922362743213,0.937701920999008,0.1308389908902668,-0.06442396976738478,-0.006906372362795284,0.001722302924767703,-0.01313707764914114,-0.020971420268361646,0.001648783750816734,0.019549603050041643,0.013962692072694016,-0.06274234810958294,0.00702319144898685,-0.04076362700156199,-0.04698219648499891,-0.006653998227429524,-0.04300572787478897,0.010784769802530476,-0.027564880950394187,-0.02427383986237025,-0.015038250371405302,0.012441068882359648,0.008759559260407813,0.0027137911740615704,-0.005426502473406394,-0.019519879851625843,0.008995577352300877,-0.01105026144526801,-0.0019969406796025656,-0.001460919727550711,-0.014846758611634151,0.00497582129513332,-0.017904765745091013,-0.013192744878060521,-0.012596360035132037,-0.004774277974068724,-0.04173286821535754,-0.05014250945945735,0.037246578532569956,-0.042506156407863344,0.06423657368571525
Connection Made Calls,0.021232266485852018,0.03721544929236212,-0.09520043772101172,0.4365922362743213,1.0,0.16424842713215632,0.021232266485852018,-0.022812838040925147,0.0019893151686129324,-0.010108903559179002,0.001572223797133751,0.006247710410923756,-0.01206135923696964,-0.005166314563882514,0.005827147537785955,-0.013953704156803512,-0.026277553053042562,-0.005926329017768781,-0.016499629823497286,0.015814702948795487,-0.017131539121562157,-0.014047623220261193,-0.006751757973869641,0.0011755598021797357,-0.00791472520996715,0.0046955801265405476,-0.016173455859586378,-0.0011508884004736966,-0.006839484441484247,-0.008008550799738418,-0.0011426493904600301,-0.016872864045658235,0.027144368648827393,0.023494831034912064,-0.0036330101954726176,0.012153733891153488,-4.231983915733739e-06,-0.0030249826085379326,-0.005522558862635133,-0.019081402212015253,-0.03686568824628472,0.002330894549105559,-0.05169133089955605,0.03729838073904396,0.007279648748329106
Dial Attempt Calls,0.14241082104264613,0.0040026089565563016,-0.037851322173148516,0.937701920999008,0.16424842713215632,1.0,0.14241082104264613,-0.06408569012078899,-0.008669880491203782,0.005444984397722361,-0.01624292036571709,-0.02432655569384869,0.0011455012049001734,0.020749176509434395,0.01704968269841855,-0.05520989517532723,0.01972975204322773,-0.03303431642956492,-0.03811504156171406,-0.002555850004101265,-0.03365056182456367,0.023592140220611478,-0.018226396948217743,-0.028414179494498433,-0.005057398303328887,0.004261589218548772,0.007853293808079349,0.001724497989932571,0.003550311323997996,-0.013791909978486555,0.010721200725357743,-0.01299512371839137,0.0007770835846945854,0.004631112761120574,-0.00913068325886621,0.007444817165269476,-0.008549360915570061,-0.002468915091870362,-0.008750103149631105,0.0046449325698598365,-0.042022458209669454,-0.05215631580848941,0.06115617344739998,-0.05246358941444957,0.06859203200328627
lead_id,1.0,-0.021233590193569966,0.19245199167738622,0.1308389908902668,0.021232266485852018,0.14241082104264613,1.0,-0.04099374049998801,0.06388219448205967,-0.06289856012433027,0.19039558645932286,0.18584395161923703,0.14177128383093046,0.047433151877724004,0.17109571216589223,0.015346418069354082,0.013550559325585243,0.026246125065711574,0.02533608650445503,0.06520906872785939,0.019853292055146205,0.10270450938821432,0.08133849195833139,0.05242726034026871,0.10683060415714227,0.020856455019114643,0.11066805960504196,0.1543335098479194,0.14719615922309873,0.18902725862688627,0.14593053596465572,0.10933190526682983,0.09854940111485172,0.06020952593140644,0.01768870871133559,0.11370527690935159,0.045241457069825734,0.04749133282236845,0.21089553768191757,0.11156616354096442,-0.2638582088806774,0.04971146743403631,0.24728192301483495,-0.014176295049930085,0.03987087998646377
technical_quality_score,-0.04099374049998801,-0.017234155564896693,-0.03975193633528263,-0.06442396976738478,-0.022812838040925147,-0.06408569012078899,-0.04099374049998801,1.0,0.029885584442953392,-0.02409543127023459,0.005695315576568214,0.0018032118009347823,0.006024976591422997,0.008864789596941937,0.04444345897326322,0.016310611090641986,0.0059372703493971194,0.012509207846766153,-0.02662591006920099,0.010547035056908462,-0.017904245025640628,0.009738446906902735,0.009338794187363988,0.019526214663527056,-0.005961516888652864,-0.006769929759937473,-0.0003035138475717557,0.0192199833320343,0.006786641430342227,0.01517916559622402,0.035868829225676455,-0.03464930176764874,0.0007950078073279392,0.0028979531562467065,-0.006784100823779405,-0.015113292904093507,-0.02465022973381954,-0.017989793323467267,0.010108779552740558,-0.03237798659023779,0.0025448733296736157,0.03504686692571622,0.004920301133388406,0.03328286761009921,-0.017811607823692132
customer_talk_percentage,0.06388219448205967,-0.027086828537391743,0.07613904082207601,-0.006906372362795284,0.0019893151686129324,-0.008669880491203782,0.06388219448205967,0.029885584442953392,1.0,-0.9800852877701556,0.24964192834029636,0.23355190381193205,0.20794563026680016,0.07245584675953733,0.17314261860396551,0.2761830111161672,0.020211111776237113,0.27094511520224246,0.1560517965757981,0.18647001643729172,0.14174898039854325,0.06889574951665799,0.14064785021548734,0.015790389402111863,0.13172630636622384,0.1791776519621471,0.18321873775971534,0.28664065933657923,-0.028171005093173888,0.1984758530110026,0.27381331351745125,0.12326272543356315,0.15165984331092017,0.12481591093518676,0.03357236559388047,0.12678133385848425,0.10604944000233386,0.09796817435410819,0.29730028785904133,0.18350794589638916,-0.01337573748530319,0.018533642122015307,0.04198127486892071,-0.003031271859156646,0.023451070785783533
agent_talk_percentage,-0.06289856012433027,0.029830662144524355,-0.06327041870729477,0.001722302924767703,-0.010108903559179002,0.005444984397722361,-0.06289856012433027,-0.02409543127023459,-0.9800852877701556,1.0,-0.23287502393195517,-0.21723654306922138,-0.19533139064474578,-0.06768613343133126,-0.16209392446496204,-0.26139617442802787,0.0006971710464712496,-0.2561673219477219,-0.14679382610365233,-0.17601673050546635,-0.1324517488162845,-0.061234353523612825,-0.13239430491330462,-0.013135791326459458,-0.12138885051305108,-0.15941292933610113,-0.163096735917949,-0.2701389698877497,0.04713988602224188,-0.18036675425247808,-0.2579160258580958,-0.11568728727812583,-0.14033242582436187,-0.11408141060923441,-0.01448180203834785,-0.10605352047586672,-0.09963007062438356,-0.09143237533344543,-0.2767771560184205,-0.16237226702226518,0.00621022709213389,-0.02089079675283364,-0.04719387639269694,-0.0025266644173692018,-0.019763959821328166
