feature,correlation
acknowledgement_rate,0.06378315894206474
business_type_mentioned,0.06323120332532468
ready_to_transfer,0.06111321362158605
name_usage_count,0.05230009090344634
signal_ratio,0.051547056635740524
objections_acknowledged,0.048716976375082
total_buying_signals,0.0474492911861351
name_used_first_minute,0.046191058796477225
talk_ratio_classification,0.04420211956866086
lgs_call_not_transferred,0.04208633909226144
total_call_duration,0.041709699134759026
stages_skipped,0.0388076325186278
conversation_balance,0.03847814189168934
rapport_elements_count,0.037108372652476934
long_monologues,0.03566806074962237
customer_talk_percentage,0.03549114057068487
TO_length_in_sec,0.034934396039482556
Connection Made Calls,0.03492046702693259
advanced_discovery_used,0.034299310636140785
very_long_monologues,0.03415044936588641
sentiment_opening,0.032794507439605367
stages_out_of_order,0.031208859826312763
contract_mentions_final_2min,0.030300142585216336
empathy_responses,0.02997291152812767
sentiment_early_middle,0.028061357676761763
season_month,0.026602489052620814
forbidden_industry,0.024583102132999506
common_ground_established,0.024375983064525018
full_sale_closed,0.023115030349950123
technical_quality_score,0.019769224342313783
extended_monologues_count,0.018647778763156403
customer_language,0.017387946773010893
customer_knows_marketing,0.01633652242988245
total_interruptions,0.013680796891174846
time_in_final_stage,0.013670785483190978
personal_greeting,0.012274329887788139
TO_OMC_Duration,0.011236468271137294
empathy_response_rate,0.011127084000664342
goal3_questions,0.01089630449428779
interruption_pattern,0.009912859112751473
total_objections,0.009807644835057354
technical_quality_issues,0.008922756496438216
commitment_type,0.007778890258217155
notable_sentiment_shifts,0.007302619572559495
longest_monologue_length,0.005961174536268167
is_decision_maker,0.005770722475480894
total_resistance_signals,0.005692677646035105
medium_monologues,0.005581132632572722
primary_disconnect_reason,0.0055068885221552155
premature_closing_attempt,0.004225122040751915
price_timeline_contract_before_dropoff,0.002900259653531715
customer_sentiment_omc,0.0019594518985341616
who_said_hello_first_lgs,0.0013596847203684599
objections_rebutted,0.0012054804938303578
commitment_clarity,0.0010178291336119883
goal1_questions,0.0005514378206802103
sentiment_closing,9.788175119933025e-05
payment_info_collected,-0.0007942087742200694
timeline_mentions_final_2min,-0.000932820869833931
price_mentions_final_2min,-0.0009473609221272805
discovery_quality,-0.0013513528684956895
total_discovery_questions,-0.0015121295604586845
within_45_seconds,-0.001643786948678999
customer_marketing_experience,-0.002245591726560972
location_mentioned,-0.0024502905725218376
sentiment_late_middle,-0.0028599776405177696
interruption_rate,-0.004432192005519129
customer_availability,-0.005429106131782067
followup_scheduled,-0.006225547054077943
short_monologues,-0.009883938147010702
timezone,-0.010254379610304648
roi_calculation_presented,-0.010410741955380956
lgs_agent_gender,-0.010986958467411524
omc_who_said_hello_first,-0.011435298326687772
goal2_questions,-0.011453388647112595
hang_up_initiated_by,-0.013982810961493144
Calls Count,-0.015469008355571705
assumptive_language_used,-0.018383193458805604
customer_frustrations,-0.01962655330024009
omc_agent_sentiment_style,-0.021683805399975938
ready_for_customers,-0.023023756799572186
customer_sentiment_lgs,-0.023066415934986484
call_structure_clarity,-0.023885113955068076
disconnect_stage,-0.02522140098319541
sentiment_progression,-0.02555415085604496
Dial Attempt Calls,-0.026284086346508806
average_monologue_length,-0.027303591073023253
call_result_tag,-0.02737078671039821
season_status,-0.02739254095133191
call_structure_framed,-0.02753088236117491
script_adherence,-0.028447682132911684
agent_talk_percentage,-0.040429476573005406
lgs_sentiment_style,-0.05720520068969586
time_to_reason_seconds,-0.057392224082895765
tone_assessment,-0.0591379890168692
