feature,rf_gini,xgb_gain,rf_permutation,xgb_permutation,avg_importance
interruption_rate,0.05223678964332538,0.06874848,0.0,0.0,0.03024631780374993
sentiment_progression,0.028782086249930006,0.03354415,0.0,0.020000000000000018,0.02058155887493053
longest_monologue_length,0.039476472488896394,0.019233609,0.0,0.020000000000000018,0.019677520276818763
call_result_tag,0.01992650329410935,0.049642358,0.0,0.0,0.017392215317338467
agent_talk_percentage,0.031384405240818695,0.030494116,0.0,0.007500000000000007,0.01734463037187975
primary_disconnect_reason,0.021202777660520665,0.04215719,0.0,0.0,0.01583999236092761
stages_skipped,0.021309343961537833,0.0392868,0.0,0.0,0.015149035922602055
sentiment_early_middle,0.027539535612491072,0.029427461,0.0,0.0,0.01424174923465334
technical_quality_score,0.019590135219726572,0.036509737,0.0,0.0,0.014024968148031237
conversation_balance,0.018344098176269866,0.035943422,0.0,0.0,0.01357188016069659
customer_marketing_experience,0.020701616983531197,0.032805756,0.0,0.0,0.013376843179493714
TO_OMC_Duration,0.027581777360048836,0.022880657,0.0,0.0,0.0126156085011877
time_to_reason_seconds,0.027187581128369907,0.021474013,0.0,0.0,0.012165398558351184
average_monologue_length,0.028903551659690604,0.01773519,0.0,0.0,0.01165968558731359
total_interruptions,0.02300295372551351,0.023199854,0.0,0.0,0.01155070203603722
total_resistance_signals,0.0051117924893606835,0.04089352,0.0,0.0,0.011501328412311999
medium_monologues,0.023165665919789174,0.022674583,0.0,0.0,0.011460062204601492
customer_talk_percentage,0.01986346136325572,0.023044148,0.0,0.0,0.010726902455821568
call_structure_clarity,0.026225902728467303,0.015116464,0.0,0.0,0.010335591768778641
Dial Attempt Calls,0.012800697552653638,0.02844509,0.0,0.0,0.010311446697138868
timezone,0.020539598831552885,0.019079179,0.0,0.0,0.009904694350813485
TO_length_in_sec,0.025706745225491722,0.012889497,0.0,0.0,0.009649060551897338
extended_monologues_count,0.008124283996551617,0.02896123,0.0,0.0,0.009271378516487624
disconnect_stage,0.016754418675940252,0.019204091,0.0,0.0,0.008989627489159758
total_call_duration,0.024825248710953395,0.009509457,0.0,0.0,0.008583676496556203
hang_up_initiated_by,0.011839028820205717,0.021268314,0.0,0.0,0.008276835642707593
name_usage_count,0.01716444656318418,0.0154870665,0.0,0.0,0.008162878258317689
interruption_pattern,0.02400258602024108,0.008472451,0.0,0.0,0.008118759257274344
total_discovery_questions,0.014636141402549959,0.014509245,0.0,0.0,0.007286346556128913
notable_sentiment_shifts,0.02290887200918583,0.0058906884,0.0,0.0,0.00719989010061271
within_45_seconds,0.002364357114167026,0.024991818,0.0,0.0,0.0068390437216388714
goal1_questions,0.013458308846293553,0.012930901,0.0,0.0,0.006597302409022714
sentiment_closing,0.018315607896251702,0.0076616188,0.0,0.0,0.006494306663561171
script_adherence,0.005083929427861848,0.019494087,0.0,0.0,0.006144503982961098
technical_quality_issues,0.012016451986699053,0.011195389,0.0,0.0,0.005802960152320253
sentiment_late_middle,0.010923103483685732,0.011381514,0.0,0.0,0.005576154463531793
signal_ratio,0.011915208902367877,0.010049337,0.0,0.0,0.005491136373060179
