feature,importance,std
call_structure_clarity,0.06490683229813664,0.0035788472772392355
time_to_reason_seconds,0.017236024844720498,0.002329192546583841
stages_skipped,0.006801242236024863,0.000996212107599117
call_structure_framed,0.003633540372670796,0.0007088641124542446
total_call_duration,0.00260869565217392,0.000504598658673021
TO_length_in_sec,0.0021739130434782704,0.000760711100243229
time_in_final_stage,0.0016459627329192595,0.0005900621118012583
TO_OMC_Duration,0.0013354037267080733,0.0007088641124542446
tone_assessment,0.0012111801242235876,0.00046996105436092827
name_usage_count,0.0009006211180124235,0.00025796968518379423
average_monologue_length,0.0006211180124223503,0.00027777241956520915
notable_sentiment_shifts,0.0004968944099378759,0.0003167092865585556
customer_talk_percentage,0.0004968944099378647,0.00034582387346771806
primary_disconnect_reason,0.0004347826086956386,0.0002846320307426019
goal1_questions,0.0004037267080745033,0.00014231601537132763
Calls Count,0.000310559006211153,0.00019641476150114546
longest_monologue_length,0.00031055900621114186,0.0002405579718141157
call_result_tag,0.00027950310559003987,0.00021739130434782642
ready_for_customers,0.00027950310559002876,0.0002579696851837782
disconnect_stage,0.0002484472049689268,0.00023240107992384594
signal_ratio,0.0002484472049689157,0.00018633540372670063
ready_to_transfer,0.0002484472049689046,0.0001242236024844523
conversation_balance,0.00021739130434779154,0.00014231601537127676
sentiment_late_middle,0.00021739130434779154,0.00014231601537127676
sentiment_opening,0.00018633540372667846,0.00015214222004862043
omc_agent_sentiment_style,0.00018633540372667846,0.0001521422200486204
short_monologues,0.00015527950310556538,0.00015527950310556538
interruption_rate,0.0001242236024844523,0.0001521422200486204
goal3_questions,9.316770186333923e-05,0.00014231601537127676
sentiment_closing,9.316770186333923e-05,0.00014231601537127676
customer_marketing_experience,6.211180124222615e-05,0.0001242236024844523
lgs_call_not_transferred,3.1055900621113074e-05,9.316770186333923e-05
Connection Made Calls,3.1055900621113074e-05,9.316770186333923e-05
stages_out_of_order,3.1055900621113074e-05,9.316770186333923e-05
sentiment_early_middle,3.1055900621113074e-05,9.316770186333923e-05
discovery_quality,0.0,0.0
goal2_questions,0.0,0.0
talk_ratio_classification,0.0,0.0
total_discovery_questions,0.0,0.0
customer_language,0.0,0.0
customer_knows_marketing,0.0,0.0
customer_sentiment_lgs,0.0,0.0
customer_availability,0.0,0.0
is_decision_maker,0.0,0.0
lgs_agent_gender,0.0,0.0
lgs_sentiment_style,0.0,0.0
forbidden_industry,0.0,0.0
season_month,0.0,0.0
Dial Attempt Calls,0.0,0.0
timezone,0.0,0.0
season_status,0.0,0.0
agent_talk_percentage,0.0,0.0
who_said_hello_first_lgs,0.0,0.0
technical_quality_score,0.0,0.0
technical_quality_issues,0.0,0.0
objections_rebutted,0.0,0.0
customer_sentiment_omc,0.0,0.0
location_mentioned,0.0,0.0
business_type_mentioned,0.0,0.0
omc_who_said_hello_first,0.0,0.0
total_buying_signals,0.0,0.0
total_resistance_signals,0.0,0.0
advanced_discovery_used,0.0,0.0
interruption_pattern,0.0,0.0
total_interruptions,0.0,0.0
very_long_monologues,0.0,0.0
long_monologues,0.0,0.0
extended_monologues_count,0.0,0.0
medium_monologues,0.0,0.0
roi_calculation_presented,0.0,0.0
price_timeline_contract_before_dropoff,0.0,0.0
price_mentions_final_2min,0.0,0.0
acknowledgement_rate,0.0,0.0
timeline_mentions_final_2min,0.0,0.0
contract_mentions_final_2min,0.0,0.0
within_45_seconds,0.0,0.0
total_objections,0.0,0.0
objections_acknowledged,0.0,0.0
name_used_first_minute,0.0,0.0
common_ground_established,0.0,0.0
personal_greeting,0.0,0.0
sentiment_progression,0.0,0.0
rapport_elements_count,0.0,0.0
script_adherence,0.0,0.0
premature_closing_attempt,0.0,0.0
empathy_response_rate,0.0,0.0
empathy_responses,0.0,0.0
hang_up_initiated_by,0.0,0.0
customer_frustrations,0.0,0.0
commitment_type,0.0,0.0
commitment_clarity,0.0,0.0
full_sale_closed,0.0,0.0
assumptive_language_used,0.0,0.0
followup_scheduled,0.0,0.0
payment_info_collected,0.0,0.0
