Variable,LIME_RF,LIME_XGB,LIME_Avg
call_structure_clarity,0.015446058917016635,0.07155432768801893,0.04350019330251778
payment_info_collected,0.012679311821391785,0.06080302096851901,0.036741166394955393
commitment_type,0.012548484427836659,0.06051718487272114,0.0365328346502789
lgs_call_not_transferred,0.013796322822855643,0.058825916424146495,0.036311119623501066
full_sale_closed,0.012736101513945582,0.05669169664317932,0.034713899078562455
time_to_reason_seconds,0.026504904637256074,0.03592920779836162,0.031217056217808847
tone_assessment,0.01846462529547778,0.04388062363192187,0.031172624463699825
is_decision_maker,0.00929381744369087,0.04343039640324541,0.026362106923468142
customer_language,0.007712640974934657,0.042508843466324886,0.02511074222062977
goal3_questions,0.0058825619789939845,0.04209725480561168,0.023989908392302833
season_month,0.008723014736005405,0.03578747216347355,0.022255243449739476
customer_knows_marketing,0.007874399046781284,0.034784027953267384,0.021329213500024334
stages_out_of_order,0.0036649443236785586,0.038154203031860914,0.020909573677769737
customer_availability,0.00414486102341563,0.0376652858369841,0.020905073430199865
forbidden_industry,0.005637465426105383,0.03561670485455259,0.020627085140328984
signal_ratio,0.009210797859303916,0.027451177433065858,0.018330987646184887
common_ground_established,0.006227279469766231,0.028369628072132565,0.017298453770949396
lgs_sentiment_style,0.008577735566520672,0.02508430157943711,0.01683101857297889
ready_to_transfer,0.008599319565102187,0.02444453201205831,0.01652192578858025
disconnect_stage,0.0054183840051072844,0.027020157430799132,0.016219270717953208
TO_length_in_sec,0.009641823948065984,0.022491190437278704,0.016066507192672344
contract_mentions_final_2min,0.005834480184638972,0.02590348125674888,0.015868980720693926
stages_skipped,0.008300420524959983,0.022340003365257037,0.015320211945108509
omc_who_said_hello_first,0.0049051103038283885,0.02345546383964607,0.01418028707173723
commitment_clarity,0.004950790001437745,0.022671453390473526,0.013811121695955636
Connection Made Calls,0.00554656463480271,0.021781446084971245,0.013664005359886978
total_buying_signals,0.009310042748645938,0.017062589048899936,0.013186315898772937
extended_monologues_count,0.003047400570265183,0.022118857229918337,0.01258312890009176
TO_OMC_Duration,0.004568933796451041,0.020235683527368667,0.012402308661909854
total_call_duration,0.0047585707066199355,0.019888771517936523,0.01232367111227823
acknowledgement_rate,0.008269856585443056,0.01580107181719717,0.012035464201320113
long_monologues,0.004215483924719049,0.018589184646062407,0.011402334285390728
goal1_questions,0.0034064792448211065,0.019316483140626346,0.011361481192723726
agent_talk_percentage,0.004520046663961795,0.018117831814792068,0.011318939239376932
notable_sentiment_shifts,0.005148153491081842,0.01657588566625595,0.010862019578668896
hang_up_initiated_by,0.0035989815550854093,0.01793128194760174,0.010765131751343575
total_resistance_signals,0.003963736417535245,0.017290546059596183,0.010627141238565714
sentiment_early_middle,0.0032689155543594267,0.01786883229206212,0.010568873923210773
call_structure_framed,0.003650773144417672,0.017455408127304377,0.010553090635861025
season_status,0.0036440295946121824,0.01737483997933475,0.010509434786973465
advanced_discovery_used,0.003612699402878999,0.017256282272448176,0.010434490837663587
goal2_questions,0.003235572715618965,0.01746377368676611,0.010349673201192539
Dial Attempt Calls,0.00411300044276809,0.01653216089042401,0.01032258066659605
sentiment_opening,0.0037389649695248133,0.016523442048284726,0.010131203508904769
ready_for_customers,0.0063144700904923514,0.013768232371880946,0.010041351231186648
longest_monologue_length,0.00345908490675664,0.016439434938562626,0.009949259922659633
name_usage_count,0.006431726771687366,0.012858670187049991,0.009645198479368679
customer_frustrations,0.005576537270086642,0.013704646145584505,0.009640591707835574
followup_scheduled,0.003500130111206713,0.015644431588739006,0.009572280849972858
empathy_response_rate,0.0029290428098588048,0.01610456560345114,0.009516804206654973
premature_closing_attempt,0.0032908200405212602,0.015502011190454721,0.00939641561548799
omc_agent_sentiment_style,0.0035250575737710605,0.014925804255533432,0.009225430914652246
customer_talk_percentage,0.005247011424716356,0.01293051254897281,0.009088761986844583
call_result_tag,0.004033039660507709,0.014030307823285874,0.009031673741896791
sentiment_closing,0.0028535777176569377,0.01520388200686362,0.009028729862260278
total_discovery_questions,0.0032440256366358384,0.014501628728526238,0.008872827182581039
conversation_balance,0.004735211536135599,0.01293049677969817,0.008832854157916886
primary_disconnect_reason,0.0029908507981328504,0.014408858542068565,0.008699854670100707
average_monologue_length,0.003955615629467608,0.013416844690428089,0.008686230159947848
time_in_final_stage,0.003913233805166069,0.013247197264181658,0.008580215534673863
objections_rebutted,0.0031249754263543393,0.013989322361943156,0.008557148894148749
roi_calculation_presented,0.003093408135733173,0.013938722346004987,0.00851606524086908
assumptive_language_used,0.003129642602291395,0.013895712703653624,0.00851267765297251
who_said_hello_first_lgs,0.0031416267082278707,0.01368453179240311,0.008413079250315491
within_45_seconds,0.002841789210113456,0.013921153364854643,0.00838147128748405
short_monologues,0.003069508254918685,0.013637021905339107,0.008353265080128895
total_objections,0.0037107350684649058,0.012957290918736885,0.008334012993600896
medium_monologues,0.0028330497120095544,0.013812349352580376,0.008322699532294964
empathy_responses,0.0028674192161022693,0.0137477685520832,0.008307593884092735
interruption_rate,0.00373256436536091,0.012756766078094369,0.00824466522172764
total_interruptions,0.002634841841446419,0.013824526135257855,0.008229683988352138
price_mentions_final_2min,0.0035291183012280286,0.012862963251482257,0.008196040776355143
rapport_elements_count,0.0031943131449798743,0.013037326301800925,0.0081158197233904
lgs_agent_gender,0.002693336259739136,0.013489487512136801,0.008091411885937969
technical_quality_issues,0.0029070907654957074,0.013126544940356422,0.008016817852926064
very_long_monologues,0.0031295807418713294,0.012740300187294381,0.007934940464582855
script_adherence,0.0026996257911607825,0.013085039617343797,0.00789233270425229
interruption_pattern,0.0029146952174423646,0.01286980291684272,0.007892249067142542
timeline_mentions_final_2min,0.0030240191568309182,0.012704668556084804,0.00786434385645786
customer_sentiment_lgs,0.0029819899037893576,0.012661686067768201,0.00782183798577878
sentiment_late_middle,0.002828088117421399,0.012664063450610613,0.007746075784016006
customer_marketing_experience,0.002651556897429977,0.012704529281225924,0.00767804308932795
timezone,0.002771393359417561,0.012470691240694602,0.007621042300056081
customer_sentiment_omc,0.0030532667442554106,0.012149868773952605,0.007601567759104007
Calls Count,0.003151149123693468,0.012013869829957292,0.00758250947682538
price_timeline_contract_before_dropoff,0.002850041330627385,0.01217606503661732,0.007513053183622352
technical_quality_score,0.0031440489604283592,0.01179861868487943,0.007471333822653895
sentiment_progression,0.0025832421774445048,0.012299076464150752,0.007441159320797628
objections_acknowledged,0.002707603470156282,0.012136760114456252,0.0074221817923062665
