feature,mean_weight,abs_mean_weight,frequency
interruption_rate,0.03597710086224733,0.0683090850438456,4
longest_monologue_length,0.017597705963331243,0.04221093763945832,3
interruption_pattern,-0.03566921623184975,0.03566921623184975,2
sentiment_progression,-0.03432926679635168,0.03432926679635168,3
sentiment_early_middle,-0.0046805228852510785,0.030967500635581055,2
agent_talk_percentage,-0.028618989997838913,0.028618989997838913,2
total_interruptions,0.0035624495087917193,0.027738845044037785,4
call_result_tag,0.026975900190511673,0.026975900190511673,1
0.00,0.02441096786660069,0.02441096786660069,2
technical_quality_score,0.024093895858870104,0.024093895858870104,2
2.00,0.006281699422281253,0.02271618326069027,5
1.00,0.019459034030216014,0.019459034030216014,3
conversation_balance,-0.019412098587665173,0.019412098587665173,4
4.50,-0.01919427884369612,0.01919427884369612,1
customer_talk_percentage,-0.018913898192977445,0.018913898192977445,2
customer_availability,-0.018063077647241806,0.018063077647241806,4
6.00,0.008159100111307426,0.017742107752873822,3
goal1_questions,0.01667936357711383,0.01667936357711383,1
total_call_duration,0.016649721950131154,0.016649721950131154,1
primary_disconnect_reason,0.01633708000310635,0.01633708000310635,1
name_usage_count,0.00561519391896833,0.0162723508031869,2
TO_OMC_Duration,-0.016078437468625067,0.016078437468625067,1
customer_marketing_experience,0.015238689941831177,0.015238689941831177,2
ready_for_customers,0.013845913120895703,0.013845913120895703,1
Dial Attempt Calls,0.012770779855841572,0.012770779855841572,1
medium_monologues,-0.012116013818679603,0.012116013818679603,1
5.00,0.011466009891893971,0.011466009891893971,1
sentiment_opening,-0.010927480498384408,0.010927480498384408,1
