TO_length_in_sec,TO_OMC_Duration,Calls Count,Connection Made Calls,Dial Attempt Calls,timezone,season_status,season_month,lgs_sentiment_style,lgs_agent_gender,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,lgs_call_not_transferred,customer_sentiment_lgs,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,customer_talk_percentage,agent_talk_percentage,talk_ratio_classification,total_discovery_questions,goal1_questions,goal2_questions,goal3_questions,discovery_quality,advanced_discovery_used,total_buying_signals,total_resistance_signals,signal_ratio,customer_sentiment_omc,omc_agent_sentiment_style,omc_who_said_hello_first,time_to_reason_seconds,business_type_mentioned,location_mentioned,within_45_seconds,call_structure_framed,call_structure_clarity,total_objections,objections_acknowledged,objections_rebutted,acknowledgement_rate,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,price_timeline_contract_before_dropoff,roi_calculation_presented,average_monologue_length,longest_monologue_length,extended_monologues_count,short_monologues,medium_monologues,long_monologues,very_long_monologues,total_interruptions,interruption_rate,interruption_pattern,conversation_balance,script_adherence,stages_skipped,stages_out_of_order,premature_closing_attempt,name_used_first_minute,name_usage_count,rapport_elements_count,tone_assessment,personal_greeting,common_ground_established,sentiment_progression,sentiment_opening,sentiment_early_middle,sentiment_late_middle,sentiment_closing,notable_sentiment_shifts,customer_frustrations,empathy_responses,empathy_response_rate,total_call_duration,disconnect_stage,hang_up_initiated_by,time_in_final_stage,commitment_type,commitment_clarity,assumptive_language_used,full_sale_closed,payment_info_collected,followup_scheduled,call_result_tag,primary_disconnect_reason
104.0,718,1.0,0,0.0,5,1,1,1,0,6,2,4,5,175,10,0,2,1,1,2,5.0,67,25.0,75.0,0,1.0,1.0,0.0,0.0,7,22,0.0,0.0,0,14,0,0,13.0,1,1,2,1,895,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3.33,7.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3,0,2,299,552,0,0,0.0,4,7,1,0,11,8,68,70,83,2545,0,0.0,0.0,47.0,32,58,8.0,47,2,0,0,0,0,2,460
239.0,1091,1.0,0,0.0,1,1,1,3,1,6,2,4,1,175,16,0,2,2,1,4,5.0,67,37.5,62.5,0,0.0,0.0,0.0,0.0,7,0,0.0,2.0,2,25,0,0,13.0,1,1,2,1,885,2.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,4.0,7.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,3,0,4,206,552,0,1,2.0,4,7,1,0,1,7,68,70,22,1394,37,0.0,0.0,93.0,63,9,49.0,47,2,0,0,0,0,6,393
86.0,519,2.0,0,1.0,1,0,1,3,0,6,6,4,5,175,2,0,2,1,0,4,5.0,67,41.67,54.17,2,11.0,6.0,4.0,0.0,1,22,2.0,2.0,99,14,0,0,9.0,1,0,0,0,1563,2.0,2.0,2.0,100.0,1.0,0.0,0,1.0,0,2.69,6.0,1.0,7.0,5.0,1.0,0.0,0.0,0.0,3,3,1,162,552,0,1,5.0,3,7,1,0,11,8,23,70,24,240,0,0.0,0.0,291.0,32,9,28.0,47,2,0,0,0,0,2,83
277.0,183,1.0,0,0.0,1,1,1,3,1,0,2,5,0,175,10,0,2,1,0,2,5.0,67,41.67,58.33,2,2.0,1.0,1.0,0.0,7,0,0.0,2.0,2,25,2,0,29.0,1,0,0,1,548,2.0,2.0,1.0,100.0,0.0,0.0,0,0.0,0,2.92,7.0,3.0,7.0,3.0,3.0,0.0,0.0,0.0,3,3,1,299,552,0,1,2.0,3,7,1,0,1,26,68,70,62,1188,0,0.0,0.0,139.0,32,0,32.0,19,1,0,0,0,0,2,245
132.0,1042,3.0,2,0.0,1,1,1,11,0,6,3,4,5,175,15,0,2,2,0,4,4.2,36,33.33,66.67,0,0.0,0.0,0.0,0.0,7,0,1.0,1.0,77,27,2,0,10.0,1,1,2,0,468,1.0,1.0,0.0,100.0,0.0,0.0,0,0.0,0,2.57,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3,0,4,76,552,0,1,1.0,4,7,1,0,11,26,68,70,68,145,0,0.0,0.0,87.0,58,20,5.0,40,1,0,0,0,1,8,393
430.0,130,5.0,0,4.0,0,1,1,3,2,6,1,4,1,175,5,0,2,2,1,5,4.4,21,45.45,54.55,2,1.0,1.0,0.0,0.0,7,0,0.0,5.0,5,25,0,0,9.0,1,1,2,1,1145,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2.0,5.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,3,3,4,299,552,0,1,2.0,4,7,1,0,1,26,50,52,18,733,56,0.0,0.0,125.0,32,9,52.0,47,2,0,0,0,0,9,98
162.0,120,2.0,1,0.0,2,0,1,3,0,6,2,4,1,175,13,0,2,1,1,14,5.0,67,50.0,50.0,2,6.0,6.0,0.0,0.0,7,0,0.0,2.0,2,25,2,0,26.0,1,1,0,0,1546,2.0,0.0,1.0,0.0,0.0,3.0,0,3.0,0,3.0,6.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,3,3,4,299,552,0,1,4.0,4,7,1,0,1,8,19,70,18,491,10,0.0,0.0,123.0,32,9,87.0,47,2,0,0,0,0,2,373
159.0,499,2.0,1,0.0,3,1,1,3,0,6,4,4,3,175,2,0,2,1,0,4,4.0,51,50.0,50.0,2,5.0,5.0,0.0,0.0,1,0,1.0,2.0,78,25,0,0,6.0,1,1,2,1,836,3.0,0.0,1.0,0.0,3.0,0.0,0,3.0,0,3.0,6.0,1.0,8.0,3.0,1.0,0.0,0.0,0.0,3,3,1,316,552,0,1,3.0,4,7,1,0,1,8,58,70,18,2245,37,1.0,50.0,276.0,104,9,56.0,47,2,0,0,0,0,3,245
219.0,1125,1.0,0,0.0,2,1,1,3,1,6,2,4,5,175,2,0,2,1,0,11,4.0,51,41.67,58.33,2,0.0,0.0,0.0,0.0,7,0,0.0,1.0,1,25,0,0,52.0,1,1,2,0,1540,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3.57,6.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,3,0,4,83,552,0,1,5.0,4,7,1,0,1,8,68,70,62,793,10,0.0,0.0,99.0,51,0,15.0,47,2,0,0,0,0,6,245
91.0,1022,1.0,0,0.0,2,1,1,3,1,6,2,4,1,57,10,0,2,1,0,2,3.6,51,44.44,55.56,2,2.0,1.0,1.0,0.0,7,22,0.0,0.0,0,14,2,0,25.0,1,1,2,1,293,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,5.0,9.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,3,3,1,299,552,0,1,3.0,4,7,1,0,11,8,50,52,54,2545,0,0.0,0.0,84.0,32,69,24.0,47,2,0,0,0,0,2,364
