Variable,SHAP_RF,SHAP_XGB,SHAP_Avg
call_structure_clarity,0.020841930867838417,0.9810102,0.5009260647304891
time_to_reason_seconds,0.011977958384808309,0.38405192,0.1980149386841339
stages_skipped,0.006940513102984185,0.25826055,0.13260053060888038
call_structure_framed,0.004117036590022613,0.227292,0.1157045189187143
name_usage_count,0.0056942922737817855,0.19906722,0.10238075618280078
TO_OMC_Duration,0.003994108002299356,0.2005154,0.1022547561729522
signal_ratio,0.008480002163036352,0.18282406,0.09565203124194527
total_call_duration,0.005895542730453575,0.18222773,0.09406163674074558
tone_assessment,0.0070536604418547505,0.1786628,0.0928582335955993
TO_length_in_sec,0.006573955216937426,0.16687423,0.08672409256246347
time_in_final_stage,0.005099407497225889,0.16071622,0.08290781411686475
goal1_questions,0.004057787749415214,0.15358481,0.078821297930303
longest_monologue_length,0.004062250945775195,0.14829208,0.07617716525684222
notable_sentiment_shifts,0.0031292070440682245,0.13830882,0.07071901507637066
ready_to_transfer,0.005658915281253936,0.13206363,0.06886127126214796
hang_up_initiated_by,0.0035542721725628553,0.1308001,0.06717718517666686
total_resistance_signals,0.0039488828892008864,0.12767804,0.0658134597894796
average_monologue_length,0.0027800913069567067,0.12620798,0.06449403442014857
sentiment_closing,0.0012644347691550292,0.12637228,0.06381835625290942
interruption_rate,0.0027227639831727104,0.12361411,0.06316843701787915
goal2_questions,0.0028410814290238872,0.122813195,0.06282713820959099
goal3_questions,0.001429675757319646,0.12349701,0.062463342517331696
stages_out_of_order,0.003984539148800013,0.11227296,0.058128751038309154
business_type_mentioned,0.005163770924337471,0.11005579,0.05760978013790039
call_result_tag,0.0033239934637014044,0.10564488,0.054484437594506344
ready_for_customers,0.004161889891180185,0.10432117,0.0542415283820792
lgs_sentiment_style,0.004100179575547737,0.103822745,0.053961462479166764
disconnect_stage,0.002686788002450538,0.10476988,0.05372833304593924
total_buying_signals,0.0052884200783613715,0.1016792,0.053483809261125496
omc_agent_sentiment_style,0.0016320931387507668,0.10234146,0.051986775670079574
conversation_balance,0.002109734238952476,0.09878554,0.050447638095304406
sentiment_early_middle,0.0020151743172001904,0.09771033,0.04986275031558633
objections_rebutted,0.0022920182730304024,0.09705196,0.049671990741568146
short_monologues,0.002244079234551821,0.09614173,0.049192906231856064
agent_talk_percentage,0.004116759960815804,0.092568725,0.04834274265416736
primary_disconnect_reason,0.0018834485372175105,0.090960555,0.04642200165789671
extended_monologues_count,0.0014931751193516325,0.089593455,0.04554331515738929
advanced_discovery_used,0.0016142175837259246,0.08849262,0.04505341729739809
total_discovery_questions,0.0043107501247152255,0.08158066,0.04294570568097753
sentiment_opening,0.002429594871368286,0.07670784,0.0395687174185943
technical_quality_issues,0.002003254604553675,0.07464716,0.0383252064944384
medium_monologues,0.0016835615563252574,0.07371759,0.03770057412623659
customer_talk_percentage,0.004052864506346943,0.07053889,0.037295878924182534
acknowledgement_rate,0.005509090448064418,0.06491855,0.035213819158396525
lgs_call_not_transferred,0.004135309348145354,0.0656099,0.03487260574581187
within_45_seconds,0.0009705160411857386,0.0684986,0.03473455629510993
customer_marketing_experience,0.0011509729633478892,0.06513355,0.03314226111818098
timezone,0.0014106234723607412,0.06387166,0.03264114140541751
customer_frustrations,0.0037481991812332066,0.061317407,0.032532802887993234
customer_sentiment_omc,0.0015697313536827203,0.063302994,0.032436362564048395
commitment_type,0.0011863105416752492,0.060907844,0.031047077497862657
season_status,0.0010287486833059588,0.056872595,0.02895067189245044
customer_sentiment_lgs,0.0015971266403845112,0.05506848,0.028332804176958958
lgs_agent_gender,0.0011176752527640777,0.055492315,0.028304995347067045
empathy_response_rate,0.0007811190439498218,0.054841053,0.02781108589238106
script_adherence,0.0008892876786331137,0.05342666,0.02715797413797874
sentiment_late_middle,0.0015927688360423513,0.051465582,0.026529175469289755
assumptive_language_used,0.001026622059720815,0.05054137,0.02578399658341113
long_monologues,0.0012761303006332777,0.048680123,0.02497812662118284
total_interruptions,0.0010652773614022774,0.046938382,0.024001829725270155
Calls Count,0.0007079191829115882,0.042294107,0.021501013280220367
technical_quality_score,0.0018346813167253177,0.04059052,0.021212601132448466
total_objections,0.00325287699197895,0.038495943,0.020874409971113835
empathy_responses,0.0008090893956485285,0.037263703,0.019036395998421454
rapport_elements_count,0.0011340462994719753,0.03666843,0.018901238656647265
location_mentioned,0.0006512371741196205,0.036471397,0.018561316929383113
timeline_mentions_final_2min,0.0009202347107501738,0.03564052,0.018280376911549365
Dial Attempt Calls,0.0015081177053183595,0.033732004,0.0176200610844955
omc_who_said_hello_first,0.0005355802379137956,0.03216805,0.016351814801597926
price_mentions_final_2min,0.0011159335134090591,0.02682939,0.013972661684337338
Connection Made Calls,0.0006635284102692522,0.02638432,0.01352392426017594
sentiment_progression,0.0009401118509796398,0.025801608,0.013370860094965853
objections_acknowledged,0.0012004192973546692,0.023285395,0.01224290691591166
price_timeline_contract_before_dropoff,0.0012093281717423107,0.021653956,0.011431641987031872
is_decision_maker,0.00041488750091970807,0.02238965,0.01140226892288417
forbidden_industry,0.00026541720362596765,0.02189057,0.01107799334094968
commitment_clarity,0.000581481489992328,0.020410528,0.010496004948246571
roi_calculation_presented,0.0007963141504616827,0.019469716,0.010133014902655845
customer_language,0.00016772117010359613,0.018188216,0.009177968481141352
customer_knows_marketing,0.0005909750875715748,0.0153453965,0.007968185780787684
followup_scheduled,0.0005383531268813755,0.013325876,0.00693211437594784
very_long_monologues,0.0012738480522242915,0.010852949,0.006063398407350368
common_ground_established,0.00033155548684987664,0.01057063,0.0054510929590125545
discovery_quality,0.0003656106637392249,0.00995187,0.005158740310444127
personal_greeting,5.252350857549887e-05,0.009034061,0.0045432921908333595
customer_availability,0.0001718694283809962,0.008498277,0.00433507300611569
who_said_hello_first_lgs,0.00034679434625865254,0.0074763293,0.003911561842032081
talk_ratio_classification,0.000532091717381236,0.006326881,0.0034294862445240007
interruption_pattern,0.0008756538451238011,0.0043026903,0.002589172058205979
premature_closing_attempt,0.00024261447210735803,0.0031130055,0.001677810007617507
name_used_first_minute,0.0008851762135528141,0.0014348134,0.0011599947917748299
contract_mentions_final_2min,0.0002394285434932165,0.000858283,0.0005488557815589335
full_sale_closed,1.348558075197178e-05,0.0,6.74279037598589e-06
payment_info_collected,3.0970214578425775e-06,0.0,1.5485107289212888e-06
