Category,Industries / Services,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HVAC / Heating & AC,"HVAC, Heating and Air Conditioning repairs and installation, Heating Air Conditioning/HVAC Handyman Painter, Air duct cleaning,",High season,High season,,,,High season,High season,High season,,,,High season
Plumbing,"Plumber, Plumbing, Plumbing Heating Air Conditioning, Plumbing Pool, Plumbing Electrical Tile…, Bathroom installation",High season,High season,High season,High season,High season,High season,,,,,,
Electrical,"Electrical services and remodeling, Electrical contractors, Wiring/panel upgrades, Lighting installation, Electrician, Solar Installation & lighting,",Low season,Low season,High season,High season,High season,High season,,Low season,,High season,High season,High season
Handyman,"Handyman Services, HANDYMAN / HANDY MAN, Trusted Handyman Services, small repair/assembly, “Handyman Service junk removal”, “Handyman Siding Painters”",Low season,,High season,High season,High season,High season,Low season,Low season,High season,High season,High season,Low season
Remodeling / General Contractor,"Kitchen & bathroom remodeling, REMODELING, General Contractor, Construction Services, Home improvement/renovations, interior & exterior remodel, framing, additions",Low season,Low season,High season,High season,High season,High season,High season,High season,High season,High season,,Low season
Roofing / Gutters / Siding,"ROOFING, Roofing Services, Roofing and Renovation, Roofing repairs, Roof-siding-windows, Roofing Contractor, Roofing siding and sheet metal, Gutter Cleaning Services, Gutter Service, Gutters services",Low season,Low season,,,High season,High season,High season,High season,High season,High season,,Low season
Landscaping / Lawn / Gardening,"Landscaper, Landscaping, LANDSCAPING, Lawn Care, Lawn Services, Lawn mowing services, Gardening, Mulching, irrigation, “Lawn Care / Landscaping”",Low season,Low season,,High season,High season,High season,High season,High season,High season,,,Low season
Tree Services / Land Clearing,"Tree Service, TREE SERVICES / Tree maintenance and removal, Tree trimming & pruning, Land clearing, Excavation/Demolition/Land clearing",Low season,Low season,High season,High season,High season,High season,,,High season,High season,High season,
Junk Removal / Hauling / Dumpster,"JUNK REMOVAL, Junk Removal & Hauling, Junk removal services, Hauling Service, Dumpster rental/roll-off, Junk removal & demolition, cleanouts, “Junk Removal / Roadside assistance” (junk side)",Low season,Low season,,High season,High season,High season,High season,High season,High season,High season,,Low season
Pressure Washing / Exterior Cleaning,"Pressure washing service, Pressure Washers, Pressure Washing & Junk Removal, Driveway cleaning, Window Cleaning, exterior house washing, roof blowing",Low season,Low season,,High season,High season,High season,High season,High season,High season,,Low season,Low season
Painting / Drywall / Flooring / Tile,"Painters, Painting Services, interior/exterior painting, Drywall installation & repair, Flooring, Tile installation, Stucco, Carpentry finishing, Cabinetry",,,High season,High season,High season,High season,,,High season,High season,High season,
Concrete / Masonry / Fence / Decks,"Concrete Service, Concrete Contractors, Concrete Work, Masonry, Masonry/Concrete, Stucco contractor, Fencing service, Fence & gates, decks, dock builder, paving",Low season,Low season,,,High season,High season,High season,High season,High season,,Low season,Low season
Pool Cleaning / Pool Remodeling,"Pool cleaning service, Pool Remodeling, Pool cleaner, Plumbing Pool",Low season,Low season,,,High season,High season,High season,High season,High season,,Low season,Low season
Auto Repair / Mobile Mechanic / Towing,"Auto repair shop, Auto Repairs, Mobile mechanic, Mechanic / Car mechanic, Roadside and mechanic services, Towing and roadside service, Fast Roadside Assistance",High season,High season,,,,High season,High season,High season,,,,
Auto Detailing / Car Wash / Tint,"Auto detailing, Car wash, Mobile Detailing, Car Wash/Auto Detailing, Window tinting, Auto glass shop, upholstery cleaning (vehicle-related)",Low season,Low season,,High season,High season,High season,High season,High season,High season,,Low season,Low season
Moving / Delivery (household moves),"Moving services, Moving/Hauling, “Best Professional Moving”, local delivery/courier services where moving is core.",Low season,Low season,Low season,,High season,High season,High season,High season,,,Low season,Low season
Snow Removal,"Snow Removal, Snow Removal Service, “Snow removal, Junk removal” (snow portion)",High season,High season,,,Low season,Low season,Low season,Low season,Low season,Low season,,High season
Pest Control,Pest Control,Low season,Low season,Low season,High season,High season,High season,High season,High season,High season,,,Low season
Holiday Lights Install,"Holiday Lighting Installations, Christmas Lights Installation",Low season,Low season,Low season,Low season,Low season,Low season,Low season,Low season,Low season,,High season,High season
Taxi / Limo / Airport Shuttle,"Limousine service, Taxi Service, airport shuttle, transportation services",Low season,Low season,,,,High season,High season,High season,,,High season,High season
House Cleaning / Upholstery / Houseplant,"Home cleaning, Upholstery cleaning, Houseplant care service, some “Painters / Home Cleaning” hybrids (cleaning portion)",,,High season,High season,High season,,Low season,Low season,Low season,High season,High season,High season
Phone repair,Phone repair,,,,,,,,,,,,
Hair salons,Hair salons,,,,,,,,,,,,
Restaurants,Restaurants,,,,,,,,,,,,
Courier/“fast deliveries” separate from moving,Courier/“fast deliveries” separate from moving,,,,,,,,,,,,
Truck parking/storage,Truck parking/storage,,,,,,,,,,,,
